,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+11 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+11 Quarters
0,Cash & Equivalents,4284,4284,13595,15684,12844,10089,4765,8706,8968,4301,4195,5286,2626,-,2328,2834,2040,1880,-,2236,Upgrade
1,Cash & Short-Term Investments,4284,4284,13595,15684,12844,10089,4765,8706,8968,4301,4195,5286,2626,-,2328,2834,2040,1880,-,2236,Upgrade
2,Cash Growth,-66.64%,-57.53%,185.32%,80.16%,43.22%,134.55%,13.60%,64.70%,241.50%,-,80.21%,86.51%,28.71%,-,-,26.72%,7.42%,-15.14%,-,-44.91%,Upgrade
3,Accounts Receivable,87586,87586,115332,105733,88579,95611,96893,96296,94859,81771,75762,72999,54794,-,56759,56472,43322,45813,-,51692,Upgrade
4,Other Receivables,510.89,510.89,1136,2019,1458,812.04,958.35,1316,3085,21912,17467,18042,17309,-,17304,18397,18113,19599,-,20144,Upgrade
5,Receivables,88097,88097,116468,107752,90037,96423,97852,97613,97944,103684,93229,91041,72103,-,74062,74870,61435,65413,-,71836,Upgrade
6,Inventory,78054,78054,96779,145906,109557,84513,97406,131337,41670,44630,214463,108398,52784,-,88062,55470,36175,62269,-,16468,Upgrade
7,Prepaid Expenses,177.23,177.23,64.7,1873,904.07,1505,1956,748.74,654.52,709.04,331.82,1061,706.55,-,657.72,1019,1932,2001,-,4116,Upgrade
8,Other Current Assets,1111,1111,517.27,672.1,2023,3999,11402,15700,11852,12126,8907,9431,219.74,-,1230,753.6,773.14,354.65,-,182.48,Upgrade
9,Total Current Assets,171724,171724,227424,271888,215364,196529,213381,254104,161088,165451,321125,215217,128439,-,166340,134946,102356,131917,-,94839,Upgrade
10,"Property, Plant & Equipment",106911,106911,111721,106405,107075,76781,69021,71089,66159,62564,64195,59486,60506,-,59136,58330,54548,53892,-,55018,Upgrade
11,Long-Term Investments,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,-,9360,9360,9360,9360,-,9360,Upgrade
12,Other Intangible Assets,27269,27269,27846,27512,27749,27985,28222,28458,28695,28937,29178,28287,28472,-,28842,29027,29213,28979,-,29253,Upgrade
13,Long-Term Deferred Tax Assets,2581,2581,1441,1737,2052,1598,1598,1755,2184,1459,1459,1459,1651,-,192.86,889.24,796,300.84,-,284.69,Upgrade
14,Other Long-Term Assets,34271,34271,32865,33821,35284,36819,37092,35537,37383,39229,41164,34498,31970,-,32316,32747,26041,27690,-,29104,Upgrade
15,Total Assets,352116,352116,410656,450723,396884,349073,358673,400304,304868,306999,466481,348307,260398,-,296186,265300,222313,252139,-,217859,Upgrade
16,Accounts Payable,102999,102999,135823,188968,142084,96046,126864,162086,84988,100261,237720,123216,22996,-,79931,56399,18307,62746,-,27372,Upgrade
17,Accrued Expenses,41049,41049,33460,17153,19972,35792,28275,16740,14774,28103,24547,12885,13287,-,19909,15914,11981,22186,-,10070,Upgrade
18,Short-Term Debt,-,-,3142,4776,6411,1026,1960,2828,3467,2815,3135,2560,1557,-,-,-,-,-,-,-,Upgrade
19,Current Portion of Long-Term Debt,6866,6866,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
20,Current Income Taxes Payable,160.8,160.8,40961,37790,33114,33619,29209,33194,20631,11709,27242,46171,51537,-,47402,47333,45686,38081,-,45414,Upgrade
21,Current Unearned Revenue,115.74,115.74,185.19,233,280.81,39.27,-,13.09,26.18,39.27,52.36,1044,13.09,-,-,13.09,-,39.27,-,-,Upgrade
22,Other Current Liabilities,9104,9104,8015,6932,5428,10914,7580,7657,7079,12199,11052,10574,5898,-,10816,6819,5131,3715,-,4770,Upgrade
23,Total Current Liabilities,160295,160295,221588,255852,207290,177437,193888,222518,130964,155125,303748,196450,95289,-,158057,126479,81105,126768,-,87626,Upgrade
