,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+11 Quarters
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+11 Quarters
0,Market Capitalization,84096,88768,84096,88768,86899,85965,85030,94374,86899,73817,97582,83722,135116,174769,121127,94306,138431,153264,167272,201880,217536,Upgrade
1,Market Cap Growth,3.26%,3.26%,-1.10%,-5.94%,0%,16.46%,-12.86%,12.72%,-35.69%,-57.76%,-19.44%,-11.22%,-2.39%,14.03%,-27.59%,-53.29%,-36.36%,-15.45%,8.56%,29.63%,40.43%,Upgrade
2,Enterprise Value,120502,113997,109325,113541,114366,94230,97753,103511,94917,86041,110544,93406,161511,177445,123803,95215,146996,152023,165036,199644,225637,Upgrade
3,Last Close Price,9000.00,9500.00,9000.00,9500.00,8642.42,8549.49,8456.57,9385.86,7856.75,6674.01,9208.45,7900.55,12750.40,15801.11,10951.26,8526.34,11990.88,13275.61,14488.98,17129.82,18458.26,Upgrade
4,PE Ratio,7.31,7.72,8.27,6.88,7.67,8.09,2.67,5.79,3.41,2.98,-,4.76,9.32,10.33,5.21,3.68,10.43,15.37,14.41,-,23.54,Upgrade
5,PS Ratio,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.06,0.09,0.07,0.06,0.10,0.10,0.10,0.11,0.11,Upgrade
6,PB Ratio,0.53,0.56,0.53,0.58,0.55,0.55,0.55,0.63,0.53,0.46,0.71,0.56,0.97,1.27,-,0.71,1.02,1.17,1.34,-,1.67,Upgrade
7,P/TBV Ratio,0.68,0.68,0.64,0.71,0.66,0.67,0.67,0.78,0.65,0.56,0.89,0.70,1.22,1.60,-,0.90,1.31,1.51,1.75,-,2.15,Upgrade
8,P/FCF Ratio,-,-,-,-11.71,-12.20,-,6.82,14.38,-,4.56,-,-,8.26,-,-,34.41,402.44,-,-,-,96.79,Upgrade
