,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,574,778,681,564,622,788,798,1119,1751,1216,1420,Upgrade
1,Market Cap Growth,37.93%,37.93%,9.37%,-28.40%,-21.95%,-29.57%,-54.44%,-8.00%,23.29%,-30.94%,-27.00%,Upgrade
2,Enterprise Value,238,203,670,-289,729,576,-625,449,1035,993,970,Upgrade
3,Last Close Price,0.06,0.08,0.07,0.05,0.06,0.08,0.08,0.11,0.17,0.11,0.13,Upgrade
4,PE Ratio,3.81,5.17,4.39,-24.25,-,9.53,-,-5.43,-,26.71,13.30,Upgrade
5,PS Ratio,1.41,1.91,1.64,1.55,1.64,2.34,2.38,2.86,3.76,2.60,3.06,Upgrade
6,PB Ratio,0.13,0.15,0.13,0.11,0.12,0.15,0.14,0.21,0.34,0.24,0.27,Upgrade
7,P/TBV Ratio,0.17,0.17,0.15,0.13,0.14,0.16,0.16,0.23,0.37,0.26,0.30,Upgrade
8,P/FCF Ratio,-,-,-30.15,-,-,-,-,2.03,-110.51,-,-,Upgrade
9,P/OCF Ratio,-,-,-30.84,-,-,-,-,2.03,-113.40,-,-,Upgrade
10,EV/Sales Ratio,0.59,0.50,1.61,-,1.92,1.71,-,1.15,2.22,2.13,2.09,Upgrade
11,EV/EBITDA Ratio,0.72,0.61,2.16,-,-,22.65,-,-2.71,-,3.90,3.34,Upgrade
12,EV/EBIT Ratio,0.75,0.61,2.18,-,-,24.87,-,-2.67,-,3.94,3.37,Upgrade
13,EV/FCF Ratio,-8.13,-,-29.68,-,-,-,-,0.82,-65.31,-,-,Upgrade
14,Debt / Equity Ratio,0.49,0.49,0.50,0.57,0.25,0.25,0.25,0.20,0.43,0.48,0.59,Upgrade
15,Debt / FCF Ratio,-,-,-113.12,-,-,-,-,1.96,-139.84,-,-,Upgrade
16,Return on Capital Employed (ROCE),4.43%,4.43%,4.08%,0.19%,-,0.37%,-,-2.62%,-,4.17%,3.62%,Upgrade
17,Earnings Yield,26.25%,19.36%,22.79%,-4.12%,0.49%,10.49%,16.71%,-18.42%,-17.02%,3.74%,7.52%,Upgrade
18,FCF Yield,-5.11%,-3.77%,-3.32%,-4.73%,-6.22%,-5.29%,65.03%,49.18%,-0.90%,-6.01%,54.92%,Upgrade
19,Dividend Yield,5.86%,-,8.33%,4.07%,-,-,-,-,-,-,-,Upgrade
20,Total Shareholder Return,5.86%,-,8.33%,4.07%,-,-,-,-,-,-,-,Upgrade
