,Fiscal Quarter,Current,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Market Capitalization,485,573,256,330,357,357,425,782,964,903,944,Upgrade
1,Market Cap Growth,73.47%,73.47%,-28.30%,-7.55%,-15.87%,-54.31%,-55.94%,-13.43%,2.14%,-43.93%,-65.00%,Upgrade
2,Last Close Price,0.07,0.09,0.04,0.05,0.05,0.05,0.06,0.12,0.14,0.13,0.14,Upgrade
3,PE Ratio,7.31,8.63,-1.56,-,-1.63,-,-,-,-2.62,-,-,Upgrade
4,PS Ratio,1.28,1.51,1.82,1.44,0.99,2.13,3.91,2.41,2.19,1.89,2.69,Upgrade
5,PB Ratio,0.14,0.17,0.07,0.10,0.10,0.10,0.11,0.20,0.22,0.20,0.19,Upgrade
6,P/FCF Ratio,1.02,1.20,0.52,0.89,0.95,0.77,0.93,0.25,2.27,-,0.52,Upgrade
7,P/OCF Ratio,1.19,1.19,0.51,0.88,0.93,0.76,0.93,0.25,2.26,-,0.52,Upgrade
8,Debt / Equity Ratio,0.00,0.00,0.00,0.07,0.09,0.12,0.19,0.23,0.31,0.86,0.37,Upgrade
9,Debt / FCF Ratio,0.03,0.03,0.03,0.62,0.83,0.94,1.61,0.28,3.32,-,1.00,Upgrade
10,Earnings Yield,13.67%,11.58%,-64.12%,-48.63%,-61.30%,-83.76%,-156.54%,-73.68%,-38.18%,-76.36%,-59.81%,Upgrade
11,FCF Yield,98.32%,83.28%,193.95%,112.70%,105.20%,129.77%,107.57%,404.12%,44.10%,-177.48%,191.46%,Upgrade
