,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,10006,9252,7959,8962,9832,10354,11797,11200,10272,10015,12609,13472,-,-,-,-,-,-,-,-
1,Market Cap Growth,-10.65%,-10.65%,-32.54%,-19.99%,-4.28%,3.39%,-6.44%,-16.86%,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,9474,8682,7153,7679,8550,8890,9939,8820,7892,7496,10081,14382,-,-,-,-,-,-,-,-
3,Last Close Price,12.07,11.16,9.60,10.74,11.79,12.41,14.14,13.32,12.22,11.91,15.00,15.85,-,-,-,-,-,-,-,-
4,PE Ratio,-,-,-,-,571.63,-,116.96,58.12,38.74,32.14,32.41,34.35,-,-,-,-,-,-,-,-
5,PS Ratio,3.00,2.19,1.94,2.34,2.60,2.66,3.23,2.96,2.65,2.66,3.05,3.25,-,-,-,-,-,-,-,-
6,PB Ratio,1.84,1.70,1.45,1.61,1.76,1.86,2.11,1.97,1.82,1.79,2.26,2.40,-,-,-,-,-,-,-,-
7,P/TBV Ratio,1.73,1.73,1.48,1.64,1.80,1.90,2.15,2.01,1.86,1.82,2.31,2.45,-,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,-,-,-,-,-142.88,-,83.44,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-49.56,-,-,-16.38,-,-,-,22.99,-,39.95,-,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,2.24,2.05,1.74,2.01,2.26,2.28,2.72,2.33,2.04,1.99,2.44,3.47,-,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,372.82,260.78,-,110.47,72.51,65.06,50.70,29.10,19.80,15.19,16.61,22.38,-,-,-,-,-,-,-,-
12,EV/EBIT Ratio,-,-,-,-,-,-,-,56.96,-,21.74,21.84,28.94,-,-,-,-,-,-,-,-
13,EV/FCF Ratio,-13.40,-,-,-,-,-,-,-,-109.77,-,66.71,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.14,0.14,0.16,0.13,0.11,0.10,0.09,0.03,0.03,0.02,0.02,0.11,0.50,-,0.57,0.51,0.51,0.51,0.46,0.46
15,Debt / EBITDA Ratio,33.44,11.20,-,19.02,12.46,8.12,3.90,0.85,1.29,0.35,0.19,0.96,2.08,-,1.54,1.60,3.01,3.11,3.74,3.74
16,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-2.20,-,0.70,-,10.39,-,-4.63,-,-,-,-,-
17,Asset Turnover,0.64,0.66,0.51,0.59,0.62,0.56,0.55,0.72,0.51,0.66,0.76,-,-,-,-,0.99,0.99,0.69,-,
18,Inventory Turnover,6.68,6.46,7.07,5.92,6.82,6.83,6.00,6.57,9.32,5.85,7.28,7.46,-,-,-,-,9.91,9.82,7.01,-
19,Quick Ratio,2.45,2.45,2.39,2.81,3.44,4.36,5.85,7.86,10.01,11.52,13.85,5.79,0.96,-,0.81,-,0.73,0.73,0.60,0.60
20,Current Ratio,3.00,3.00,2.98,3.39,4.12,5.18,6.98,9.24,11.21,13.18,15.85,6.55,1.35,-,1.17,-,1.11,1.11,0.95,0.95
