,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,1184,1142,892.46,896.67,1078,844.47,853.95,1015,836.8,979.95,943.26,893.2,1192,997.84,881.38,692.71,692.71,489.76,489.76
1,Other Revenue,-35.81,35.81,-,111.16,-54.28,54.28,-,99.94,-56.09,56.09,-,116.93,-46.73,46.73,-,29.85,29.85,17.68,17.68
2,Revenue,1148,1177,892.46,1008,1024,898.75,853.95,1115,780.71,1036,943.26,1010,1146,1045,881.38,722.56,722.56,507.44,507.44
3,Revenue Growth (YoY),12.12%,31.01%,4.51%,-9.60%,31.16%,-13.25%,-9.47%,10.36%,-31.85%,-0.82%,7.02%,39.80%,58.54%,105.85%,73.69%,-,-,-,-
4,Cost of Revenue,1144,1190,896.48,1001,1014,886.11,807.37,1060,735.02,908.51,794.99,855.4,960.94,876.24,751.1,655.72,655.72,472.21,472.21
5,Gross Profit,4.41,-12.31,-4.01,6.38,9.84,12.64,46.58,55,45.69,127.52,148.27,154.74,184.6,168.32,130.28,66.85,66.85,35.23,35.23
6,"Selling, General & Admin",8.05,9.08,5.34,11.79,6.34,3.59,10.08,10.43,9.01,11.91,13.49,16.83,9.29,7.68,7.9,9.78,9.78,5.35,5.35
7,Research & Development,14.83,13.86,17.05,23.73,21.6,14.34,13.62,14.54,14.48,16.82,21.36,30.02,19.72,18.01,11.02,15.12,15.12,9.15,9.15
8,Other Operating Expenses,-7.98,6.46,0.11,1.51,0.12,-1.91,1.34,29.98,-9.75,-3.53,1.51,21.15,-4.51,1.87,1.29,3.54,3.54,2.94,2.94
9,Operating Expenses,26.29,37.82,25.62,33.81,30.5,18.41,25.55,61.41,7.17,25.81,32,66.49,29.27,31.17,27,29.43,29.43,18.44,18.44
10,Operating Income,-21.88,-50.13,-29.64,-27.43,-20.66,-5.78,21.02,-6.41,38.51,101.72,116.27,88.25,155.32,137.16,103.28,37.42,37.42,16.79,16.79
11,Interest Expense,-9.03,-7.39,-4.98,-5.28,-5.3,-4.92,-1.91,-6.52,-2.74,-6.24,-11.52,-16.09,-17.16,-17.29,-15.35,-12.13,-12.13,-9.2,-9.2
12,Interest & Investment Income,5.37,2.53,8.27,13.74,6.05,6.22,13.37,18.48,11.51,7.9,7.64,0.15,0.18,0.18,0.1,0.12,0.12,0.18,0.18
13,Currency Exchange Gain (Loss),-0.3,0.3,-,0.47,-0.51,0.51,-,-0.44,0.01,-0.01,-,0.14,-0.14,0.14,-,0.07,0.07,-0.04,-0.04
14,Other Non Operating Income (Expenses),0.13,-0.29,0.14,-0.81,0.89,-0.27,0.2,-11.39,0.18,11.12,0.04,-1.2,-0.18,1.39,-0.01,-0.02,-0.02,-0.01,-0.01
15,EBT Excluding Unusual Items,-25.71,-54.97,-26.21,-19.31,-19.53,-4.24,32.69,-6.27,47.47,114.48,112.43,71.25,138.03,121.57,88.02,25.46,25.46,7.72,7.72
16,Gain (Loss) on Sale of Investments,0.25,2.59,-0.69,-3.21,1.22,2.7,-2.46,-5.77,3.21,4.78,0.36,-0.38,0.29,-0.04,-0.06,0.02,0.02,-0.12,-0.12
17,Gain (Loss) on Sale of Assets,-,-,-,-,-,0.64,0.26,-,0.38,-,0.13,-,0.44,-0.34,0.01,0.01,0.01,-,-
18,Asset Writedown,-31.08,8.88,-8.88,4.46,-4.46,1.42,-1.42,9.62,-9.62,0.64,-0.64,0.64,-0.97,-2.16,0.61,-0.17,-0.17,-0.25,-0.25
19,Other Unusual Items,0.8,-2.07,0.01,15.94,-,-,-,44.13,-,-6.17,6.17,23.51,-,-,-,4.66,4.66,4.84,4.84
20,Pretax Income,-55.74,-45.57,-35.76,-2.12,-22.77,0.53,29.07,41.71,41.45,113.73,118.44,95.01,137.79,119.02,88.58,29.97,29.97,12.19,12.19
21,Income Tax Expense,-14.15,-14.49,-8.07,-13.47,-0.42,-1.72,3.12,4.43,6.06,19.65,20.08,11.21,24.93,21.81,14.94,4.3,4.3,1.76,1.76
22,Earnings From Continuing Operations,-41.59,-31.08,-27.7,11.36,-22.35,2.25,25.95,37.28,35.39,94.08,98.36,83.8,112.86,97.21,73.63,25.66,25.66,10.43,10.43
23,Minority Interest in Earnings,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.24,-0.24
24,Net Income,-41.59,-31.08,-27.7,11.36,-22.35,2.25,25.95,37.28,35.39,94.08,98.36,83.8,112.86,97.21,73.63,25.66,25.66,10.19,10.19
25,Net Income to Common,-41.59,-31.08,-27.7,11.36,-22.35,2.25,25.95,37.28,35.39,94.08,98.36,83.8,112.86,97.21,73.63,25.66,25.66,10.19,10.19
26,Net Income Growth,-,-,-,-69.54%,-,-97.61%,-73.62%,-55.52%,-68.64%,-3.22%,33.58%,226.53%,339.77%,853.69%,622.38%,-,-,-,-
27,Shares Outstanding (Basic),830,756,923,1686,829,1015,865,682,858,854,820,641,585,652,614,516,516,680,680
28,Shares Outstanding (Diluted),830,756,923,1686,829,1015,865,682,858,854,820,641,585,652,614,516,516,680,680
29,Shares Change (YoY),0.11%,-25.49%,6.73%,147.30%,-3.38%,18.86%,5.53%,6.34%,46.74%,30.96%,33.58%,24.36%,13.39%,-4.07%,-9.70%,-,-,-,-
30,EPS (Basic),-0.05,-0.04,-0.03,0.01,-0.03,0.00,0.03,0.05,0.04,0.11,0.12,0.13,0.19,0.15,0.12,0.05,0.05,0.01,0.01
31,EPS (Diluted),-0.05,-0.04,-0.03,0.01,-0.03,0.00,0.03,0.05,0.04,0.11,0.12,0.13,0.19,0.15,0.12,0.05,0.05,0.01,0.01
32,EPS Growth,-,-,-,-87.68%,-,-97.99%,-75.00%,-58.17%,-78.63%,-26.10%,0%,162.57%,287.84%,894.12%,700.00%,-,-,-,-
33,Free Cash Flow,-98,-119.89,-452.89,-36.3,-246.51,-256.1,-669.27,71.65,-150.47,116.9,-109.97,47.16,97.02,70.25,-114.02,-93.65,-93.65,-34.62,-34.62
34,Free Cash Flow Per Share,-0.12,-0.16,-0.49,-0.02,-0.30,-0.25,-0.77,0.11,-0.18,0.14,-0.13,0.07,0.17,0.11,-0.19,-0.18,-0.18,-0.05,-0.05
35,Dividend Per Share,-,-,-,0.060,-,-,-,0.100,-,-,-,0.150,-,-,-,-,-,-,-
36,Dividend Growth,-,-,-,-40.00%,-,-,-,-33.33%,-,-,-,-,-,-,-,-,-,-,-
37,Gross Margin,0.38%,-1.05%,-0.45%,0.63%,0.96%,1.41%,5.45%,4.93%,5.85%,12.31%,15.72%,15.32%,16.11%,16.11%,14.78%,9.25%,9.25%,6.94%,6.94%
38,Operating Margin,-1.91%,-4.26%,-3.32%,-2.72%,-2.02%,-0.64%,2.46%,-0.57%,4.93%,9.82%,12.33%,8.74%,13.56%,13.13%,11.72%,5.18%,5.18%,3.31%,3.31%
39,Profit Margin,-3.62%,-2.64%,-3.10%,1.13%,-2.18%,0.25%,3.04%,3.34%,4.53%,9.08%,10.43%,8.30%,9.85%,9.31%,8.35%,3.55%,3.55%,2.01%,2.01%
40,Free Cash Flow Margin,-8.54%,-10.18%,-50.75%,-3.60%,-24.07%,-28.50%,-78.37%,6.43%,-19.27%,11.28%,-11.66%,4.67%,8.47%,6.73%,-12.94%,-12.96%,-12.96%,-6.82%,-6.82%
41,EBITDA,17.39,-5.56,9.63,11.84,16.34,31.71,58.02,30.59,75.73,138.8,153.49,125.47,189.37,174.33,137.32,72.88,70.59,50.56,50.56
42,EBITDA Margin,1.51%,-0.47%,1.08%,1.17%,1.60%,3.53%,6.79%,2.74%,9.70%,13.40%,16.27%,12.42%,16.53%,16.69%,15.58%,10.09%,9.77%,9.96%,9.96%
43,D&A For EBITDA,39.26,44.57,39.26,39.26,36.99,37.49,36.99,36.99,37.22,37.08,37.22,37.22,34.04,37.17,34.04,35.46,33.17,33.77,33.77
44,EBIT,-21.88,-50.13,-29.64,-27.43,-20.66,-5.78,21.02,-6.41,38.51,101.72,116.27,88.25,155.32,137.16,103.28,37.42,37.42,16.79,16.79
45,EBIT Margin,-1.91%,-4.26%,-3.32%,-2.72%,-2.02%,-0.64%,2.46%,-0.57%,4.93%,9.82%,12.33%,8.74%,13.56%,13.13%,11.72%,5.18%,5.18%,3.31%,3.31%
46,Effective Tax Rate,-,-,-,-,-,-,10.73%,10.63%,14.61%,17.28%,16.96%,11.80%,18.09%,18.32%,16.87%,14.36%,14.36%,14.41%,14.41%
47,Revenue as Reported,1148,1177,892.46,1008,1024,898.75,853.95,1115,780.71,1036,943.26,1010,1146,1045,881.38,722.56,722.56,507.44,507.44
