,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,708.16,735.9,1238,1277,1109,1207,1856,1613,2086,1469,2019,248.93,-,159.66,-,42.91,42.91,132.19,132.19
1,Trading Asset Securities,602.9,702.64,300.06,501.12,703.92,752.38,200.03,1002,400.2,1156,1100,-,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,1311,1439,1538,1778,1813,1959,2056,2615,2486,2625,3120,248.93,-,159.66,42.91,42.91,42.91,132.19,132.19
3,Cash Growth,-27.68%,-26.56%,-25.18%,-32.01%,-27.08%,-25.37%,-34.10%,950.64%,-,1544.12%,7170.92%,480.16%,-,20.78%,-67.54%,-,-,-,-
4,Accounts Receivable,1773,1679,1723,1461,1482,1344,1252,850.54,1064,929.42,980.13,840.54,-,744.02,-,566.67,566.67,442.94,442.94
5,Other Receivables,29.55,2.61,19.61,-,13.62,3.13,5.76,-,0.71,10.8,8.69,0.04,-,10.41,-,0.02,0.02,3.17,3.17
6,Receivables,1803,1682,1742,1461,1496,1347,1258,850.54,1064,940.22,988.82,840.58,-,754.42,-,566.69,566.69,446.11,446.11
7,Inventory,687.29,729.6,616.92,595.47,579.27,608.04,574.1,408.76,501.39,503.68,494.83,357.46,-,361.72,-,264.68,264.68,269.52,269.52
8,Other Current Assets,8.93,49.87,60.29,40.64,41.82,31.21,10.17,4.13,8.86,11.47,40.77,88.05,-,48.9,-,54.29,54.29,70.41,70.41
9,Total Current Assets,3810,3900,3958,3875,3930,3945,3898,3879,4061,4080,4644,1535,-,1325,-,928.56,928.56,918.23,918.23
10,"Property, Plant & Equipment",3075,3067,2965,2859,2560,2228,2154,2148,1909,1785,1692,1716,-,1746,-,1807,1807,1837,1837
11,Other Intangible Assets,102.14,103.35,104.64,105.93,107.22,107.08,108.36,109.64,110.91,112.19,113.47,114.75,-,114.87,-,117.39,117.39,119.91,119.91
12,Long-Term Deferred Tax Assets,106.69,92.44,78.98,71.09,52.36,52.32,53.1,52.75,53.67,53.83,50.75,52.46,-,50.65,-,50.69,50.69,48.52,48.52
13,Other Long-Term Assets,28.11,27.99,30.52,29.31,72.76,119.58,85.84,11.04,7.28,15.53,37.16,15.71,-,3.23,-,3.23,3.23,20.22,20.22
14,Total Assets,7122,7190,7137,6940,6722,6452,6300,6200,6142,6047,6537,3434,-,3239,-,2907,2907,2943,2943
15,Accounts Payable,617.29,630.28,570.78,539.02,329.96,163.91,159.98,176.18,187.88,139.19,106.74,114.81,-,33.69,-,144.85,78.97,328.76,328.76
16,Accrued Expenses,4.45,11.39,5.9,19.16,10.04,15.79,16.19,28.39,17.17,24.9,16.62,38.38,-,55.46,-,20.38,44.63,33.52,33.52
17,Short-Term Debt,504.7,594.84,450.19,307.95,240.35,304.86,100.02,60,-,-,427.75,879,-,898.43,-,599.55,599.55,520.63,520.63
18,Current Portion of Long-Term Debt,16.13,16.13,16.15,16.16,16.14,16.06,16.03,16.03,16.04,16.04,66,66,-,66,-,38.56,38.56,27.28,27.28
19,Current Income Taxes Payable,9.31,0.17,7.65,4.19,4.47,-,7.9,5.47,15.66,20.51,32.52,21.9,-,23.96,-,7.83,7.83,4.02,4.02
20,Current Unearned Revenue,1.92,48.62,1.91,48.56,1.53,57.74,2.39,55.71,8.59,15.67,3.32,13.4,-,14.86,-,17.68,17.68,8.62,8.62
21,Other Current Liabilities,116.11,6.2,115.39,6.33,156.48,6.76,119.34,4.36,62.77,41.11,56.15,4.48,-,39.15,-,5.97,47.6,40.94,40.94
22,Total Current Liabilities,1270,1308,1168,941.35,758.97,565.12,421.85,346.14,308.1,257.41,709.09,1138,-,1132,-,834.83,834.83,963.77,963.77
23,Long-Term Debt,258,258,266,266,274,174,82,82,90,90,98,98,-,106,-,239.44,239.44,208.72,208.72
24,Long-Term Unearned Revenue,158.66,152.01,150.8,153.73,118.8,121.24,123.69,126.13,134.74,124.75,127.11,122.47,-,123.02,-,125.55,125.55,114.6,114.6
25,Long-Term Deferred Tax Liabilities,-,-,-,-,0.76,0.43,0.01,-,0.03,0.87,0.07,0.06,-,0.03,-,-,-,-,-
26,Total Liabilities,1687,1718,1585,1361,1153,860.8,627.55,554.27,532.87,473.03,934.27,1358,-,1361,-,1200,1200,1287,1287
27,Common Stock,829.02,829.02,829.02,829.02,829.02,829.02,829.02,829.02,829.02,829.02,829.02,621.76,-,621.76,-,621.76,621.76,621.76,621.76
28,Additional Paid-In Capital,4171,4171,4171,4171,4171,4171,4171,4171,4171,4171,4171,947.81,-,947.81,-,947.81,947.81,947.81,947.81
29,Retained Earnings,430.55,472.15,552.97,580.66,569.31,591.66,672.31,646.36,609.09,573.7,603.97,505.61,-,308.95,-,138.11,138.11,86.78,86.78
30,Comprehensive Income & Other,4.73,0.55,-,-0.96,0.93,0.11,0.01,-,-,0.57,-0.49,0.41,-,0.14,-,-0.94,-0.94,-,-
31,Shareholders' Equity,5435,5472,5553,5579,5570,5591,5672,5646,5609,5574,5603,2076,-,1879,1707,1707,1707,1656,1656
32,Total Liabilities & Equity,7122,7190,7137,6940,6722,6452,6300,6200,6142,6047,6537,3434,-,3239,-,2907,2907,2943,2943
33,Total Debt,778.83,868.98,732.34,590.1,530.49,494.92,198.05,158.03,106.04,106.04,591.75,1043,-,1070,877.55,877.55,877.55,756.63,756.63
34,Net Cash (Debt),532.24,569.56,805.9,1188,1282,1464,1858,2457,2380,2519,2528,-794.07,-,-910.78,-834.64,-834.64,-834.64,-624.44,-624.44
35,Net Cash Growth,-58.49%,-61.10%,-56.62%,-51.66%,-46.12%,-41.88%,-26.51%,-,-,-,-,-,-,-,-,-,-,-,-
36,Net Cash Per Share,0.64,0.75,0.87,0.70,1.55,1.44,2.15,3.60,2.77,2.95,3.08,-1.24,-,-1.40,-1.36,-1.62,-1.62,-0.92,-0.92
37,Filing Date Shares Outstanding,829.02,829.02,829.02,829.02,829.02,829.02,829.02,829.02,829.02,829.02,829.02,829.02,584.73,621.76,613.61,621.76,621.76,621.76,621.76
38,Total Common Shares Outstanding,829.02,829.02,829.02,829.02,829.02,829.02,829.02,829.02,829.02,829.02,829.02,621.76,584.73,621.76,613.61,621.76,621.76,621.76,621.76
39,Working Capital,2540,2592,2790,2934,3171,3380,3476,3533,3752,3823,3935,397.05,-,193.15,-,93.74,93.74,-45.53,-45.53
40,Book Value Per Share,6.56,6.60,6.70,6.73,6.72,6.74,6.84,6.81,6.77,6.72,6.76,3.34,-,3.02,2.75,2.75,2.75,2.66,2.66
41,Tangible Book Value,5333,5369,5448,5473,5463,5484,5564,5536,5498,5462,5490,1961,-,1764,1589,1589,1589,1536,1536
42,Tangible Book Value Per Share,6.43,6.48,6.57,6.60,6.59,6.62,6.71,6.68,6.63,6.59,6.62,3.15,-,2.84,2.56,2.56,2.56,2.47,2.47
43,Buildings,-,696.57,-,492.85,-,482.04,-,478.08,-,410.94,-,410.94,-,409.46,-,410.22,410.22,360.55,360.55
44,Machinery,-,3178,-,2838,-,2302,-,2296,-,2290,-,2289,-,2285,-,2275,2275,2067,2067
45,Construction In Progress,-,589.66,-,841.19,-,679.25,-,538.42,-,178.63,-,39.33,-,2.72,-,1.47,1.47,221.38,221.38
