,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,4075,3834,2669,3671,4206,4635,4758,5437,4746,4832,8241,6990,8993,6389,-,-,-,-,-,-
1,Market Cap Growth,-17.28%,-17.28%,-43.90%,-32.48%,-11.37%,-4.06%,-42.26%,-22.22%,-47.23%,-24.38%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,3812,3640,2385,3387,3922,4315,4473,5056,4366,4448,7735,6517,8520,5965,-,-,-,-,-,-
3,Last Close Price,9.97,9.38,6.44,8.68,9.95,10.97,11.26,12.74,11.12,11.33,19.32,16.21,20.86,14.82,-,-,-,-,-,-
4,PE Ratio,31.60,29.21,20.70,44.26,-,111.66,74.20,127.23,-,25.65,45.39,37.87,51.56,34.17,-,-,-,-,-,-
5,Forward PE,24.32,21.81,9.26,13.58,16.66,18.51,19.95,-,-,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,5.66,5.23,3.74,6.12,6.44,5.65,5.34,6.20,5.66,5.42,10.05,9.21,12.62,9.10,-,-,-,-,-,-
7,PB Ratio,2.71,2.37,1.63,2.31,2.69,2.88,2.99,3.47,3.12,3.01,5.32,4.42,6.18,4.61,-,-,-,-,-,-
8,P/TBV Ratio,3.09,3.09,2.12,3.04,3.56,3.93,4.10,4.80,4.38,4.26,7.45,6.12,8.13,5.97,-,-,-,-,-,-
9,P/FCF Ratio,26.88,25.29,-,-,81.98,-,-226.20,-,-199.18,-,-,-,-43.63,-,-,-,-,-,-,-
10,P/OCF Ratio,17.46,17.46,26.65,-,30.42,-,47.88,-,66.40,35.82,-,168.62,-97.23,-,-,-,-,-,-,-
11,EV/Sales Ratio,5.20,4.97,3.34,5.65,6.01,5.26,5.02,5.77,5.20,4.99,9.44,8.59,11.95,8.50,-,-,-,-,-,-
12,EV/EBITDA Ratio,28.87,27.68,17.10,39.86,-,43.93,44.10,66.00,-,20.24,36.09,29.06,40.49,27.38,-,-,-,-,-,-
13,EV/EBIT Ratio,36.60,34.95,21.03,53.63,-,54.64,54.43,88.49,-,22.21,39.52,31.48,44.09,29.66,-,-,-,-,-,-
14,EV/FCF Ratio,25.14,24.01,-,-,76.45,-,-212.66,-,-183.22,-,-,-,-41.33,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.01,0.01,0.05,0.07,0.13,0.01,0.01,0.01,0.01,0.01,-,-,-,-,-,-,-,-,-,-
16,Debt / EBITDA Ratio,0.16,0.20,0.17,0.98,-,0.08,0.04,0.04,-,0.06,-,-,-,-,-,-,-,-,-,-
17,Debt / FCF Ratio,0.14,0.14,-,-,4.11,-,-0.52,-,-0.40,-,-,-,-,-,-,-,-,-,-,-
18,Asset Turnover,0.20,0.60,0.21,0.12,0.16,0.44,0.31,0.39,0.29,0.48,0.31,0.63,0.23,0.49,0.28,-,-,-,-,
19,Inventory Turnover,1.84,1.70,3.48,1.29,0.89,0.86,3.10,2.58,3.23,3.04,6.25,4.26,4.74,1.57,3.99,2.29,-,-,-,-
20,Quick Ratio,1.37,1.37,1.44,1.27,1.25,1.26,1.42,1.51,1.43,1.51,1.80,2.10,1.97,2.42,2.10,2.23,2.06,-,-,-
21,Current Ratio,1.77,1.77,1.86,1.74,1.59,1.69,1.81,1.89,1.68,1.84,2.10,2.49,2.20,3.13,2.48,2.63,2.32,-,-,-
22,Return on Equity (ROE),5.25%,26.80%,5.98%,-8.11%,4.23%,16.58%,11.89%,-24.03%,10.24%,12.88%,9.62%,19.50%,9.93%,15.60%,9.73%,-,-,-,-,
23,Return on Assets (ROA),2.15%,11.15%,2.03%,-5.01%,2.95%,6.47%,4.92%,-6.51%,3.55%,4.58%,5.46%,10.80%,4.16%,7.76%,4.74%,-,-,-,-,
24,Return on Capital (ROIC),3.17%,16.81%,3.19%,-8.00%,4.73%,10.18%,7.88%,-10.38%,5.33%,6.35%,7.35%,14.46%,5.62%,10.79%,6.72%,-,-,-,-,
25,Return on Capital Employed (ROCE),6.38%,6.38%,6.57%,3.71%,-,4.82%,5.07%,3.59%,-,12.36%,12.51%,12.98%,13.17%,14.40%,16.63%,14.92%,13.80%,-,-,-
26,Earnings Yield,3.22%,3.42%,4.83%,2.26%,2.47%,0.90%,1.35%,0.79%,0.69%,3.90%,2.20%,2.64%,1.94%,2.93%,-,-,-,-,-,-
27,FCF Yield,3.72%,3.95%,1.00%,2.72%,1.22%,-1.03%,-0.44%,-2.19%,-0.50%,0.36%,-0.56%,-0.77%,-2.29%,-2.47%,-,-,-,-,-,-
28,Dividend Yield,2.17%,-,3.88%,-,1.51%,-,-,-,0.90%,-,-,-,0.96%,-,-,-,-,-,-,-
29,Payout Ratio,78.96%,216.85%,56.39%,2.34%,-,10.43%,61.92%,-,-,-,193.90%,-,-,-,-,-,-,-,164.27%,-
30,Buyback Yield / Dilution,-1.00%,0.07%,-4.55%,4.16%,-3.97%,0.01%,3.37%,-3.35%,-8.73%,4.25%,-15.61%,-6.95%,2.73%,-23.69%,-2.13%,-3.94%,-,-,-,-
31,Total Shareholder Return,1.17%,0.07%,-0.67%,4.16%,-2.47%,0.01%,3.37%,-3.35%,-7.83%,4.25%,-15.61%,-6.95%,3.69%,-23.69%,-2.13%,-3.94%,-,-,-,-
