,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Revenue,120.9,389.77,142.45,79.6,101.5,276.17,195.81,246.99,172.77,261.34,157.88,298.91,101.59,200.38,111.89,288.02,124.31,132.69,35.52
1,Revenue Growth (YoY),19.12%,41.13%,-27.25%,-67.77%,-41.25%,5.68%,24.03%,-17.37%,70.07%,30.42%,41.09%,3.78%,-18.28%,51.02%,215.04%,-,-,-,-
2,Cost of Revenue,98.22,238.36,98.98,70,63.06,183.82,125.57,155.78,127.72,192.32,103.84,178.2,70.46,133.67,69.32,171.84,75.27,98.09,16.37
3,Gross Profit,22.68,151.41,43.47,9.59,38.43,92.36,70.24,91.21,45.05,69.03,54.03,120.71,31.13,66.72,42.57,116.18,49.04,34.59,19.15
4,"Selling, General & Admin",12.54,18.76,15.74,13.77,12.39,10.8,10.98,12.32,9.09,9.97,7,12.5,8.11,7.43,7.37,6.1,9.02,5.97,5.24
5,Research & Development,6.66,6.75,5.51,-5.74,11.7,18.21,5.38,14.83,5.12,6.7,5.46,5.63,5.21,6.26,2.78,9.53,2.78,3.09,1.63
6,Other Operating Expenses,-5.16,4.4,-1.42,3.32,-4.04,-0.03,-1.09,3.47,-2.02,-0.5,-0.45,1.76,0.18,1.26,0.09,1.74,0.39,1.03,0.2
7,Operating Expenses,1.39,36.35,21.3,63.97,7.9,27.53,21.23,156.6,11.31,29.24,9.4,38.55,1.97,15.62,11.74,26.14,18.62,11.23,5.74
8,Operating Income,21.3,115.06,22.17,-54.38,30.54,64.82,49.01,-65.39,33.74,39.79,44.63,82.16,29.15,51.09,30.83,90.03,30.42,23.36,13.41
9,Interest Expense,-0.34,-0.56,-0.42,-0.63,-1.65,-0.32,-,-0.47,-,-,-,-,-,-,-,-,-,-0.1,-
10,Interest & Investment Income,1.5,5.95,1.12,18.13,0.09,3.44,1.1,16.63,0.83,2.29,0.62,2.91,0.93,3.51,1.34,6.48,3.85,3.98,0.61
11,Currency Exchange Gain (Loss),-,-,-,0,-,-,-,-0.02,0.02,-0.02,-,-0.02,-,-,-,0,-0,0,-
12,Other Non Operating Income (Expenses),0.71,4.17,3.19,-0.15,-0.29,3.17,2.24,-41.93,15.39,2.05,2.84,3.03,1.12,-0.27,-2.1,0.53,0.3,-0.54,-0.03
13,EBT Excluding Unusual Items,23.17,124.61,26.06,-37.02,28.68,71.11,52.35,-91.19,49.98,44.11,48.08,88.08,31.2,54.34,30.08,97.05,34.57,26.7,13.99
