,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,66.06,117.42,146.62,389.43,63.78,174.59,136.29,145.34,181.43,182.68,255.89,161.24,246.4,350.73,71.27,629.19,-,-,-
1,Trading Asset Securities,331.32,270.98,360.34,273.12,366.4,291.02,290.73,407.42,341.03,315.79,356.52,369.55,244.13,90.58,411.56,-,-,-,-
2,Cash & Short-Term Investments,397.38,388.39,506.95,662.55,430.18,465.61,427.02,552.76,522.46,498.47,612.41,530.79,490.54,441.31,482.83,629.19,-,-,549.48
3,Cash Growth,-7.63%,-16.58%,18.72%,19.86%,-17.66%,-6.59%,-30.27%,4.14%,6.51%,12.95%,26.84%,-15.64%,-,-,-12.13%,-,-,-,-
4,Accounts Receivable,608.94,629.79,579.35,628.01,675.95,748.53,811.63,759.61,748.23,659.69,371.68,442.41,504.87,530.38,455.42,401.77,-,-,-
5,Other Receivables,108.84,109.56,120.19,104.24,144.44,102.97,79.35,72.17,63.04,71.84,62.85,62.04,9.47,26.38,24.48,19.66,-,-,-
6,Receivables,717.77,739.36,699.54,732.25,820.39,851.49,890.97,831.78,811.27,731.53,434.53,504.44,514.34,556.76,479.9,421.43,-,-,-
7,Inventory,224.38,238.15,310.11,305.03,326.06,262.72,211.91,177.34,208.74,127.67,118.33,76.81,223.82,135.84,132.3,109.94,-,-,-
8,Prepaid Expenses,-,0.81,-,-,22.23,19.11,8.58,-,30.68,28.83,23.92,24.26,-,-,-,0.08,-,-,-
