,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,349.71,354.98,184.4,165.3,149.48,98.48,74.58,85.92,112.68,131.75
1,Short-Term Investments,0.06,0.25,6.16,1.2,-,0.14,-,0.01,-,0.21
2,Trading Asset Securities,112.16,110.83,105.86,152.28,149.68,127.6,123.6,76.56,-,-
3,Cash & Short-Term Investments,461.93,466.07,296.41,318.77,299.16,226.22,198.18,162.5,112.68,131.96
4,Cash Growth,55.84%,46.21%,-0.92%,40.91%,50.95%,39.21%,75.88%,23.14%,-,-
5,Accounts Receivable,74.18,113.26,80.64,110.94,86.04,127.1,71.38,78.88,61.47,82.56
6,Other Receivables,15.14,9.69,17.93,12.27,38.74,12.64,9.5,3.6,3.99,2.83
7,Receivables,89.32,122.95,98.56,123.21,124.78,139.74,80.88,82.49,65.46,85.39
8,Inventory,216.04,81.66,235.41,84.7,209.95,146.96,202.19,103.32,139.06,114.57
9,Prepaid Expenses,84.78,-,-,-,-,-,-,-,-,-
10,Other Current Assets,-,64.9,106.1,107.9,67.38,80.19,41.29,27.49,27.74,29.98
11,Total Current Assets,852.07,735.57,736.48,634.59,701.26,593.11,522.55,375.8,344.93,361.9
12,"Property, Plant & Equipment",189.31,195.05,179.05,185.18,197.32,194.93,195.52,197.96,196.54,201.04
13,Long-Term Deferred Tax Assets,8.21,6.89,2.59,1.63,3.74,1.82,4.91,2.3,4.12,2.88
14,Other Long-Term Assets,2.81,2.91,1.45,1.45,1.62,1.63,1.76,1.74,2,2.86
15,Total Assets,1052,940.41,919.57,822.85,903.94,791.49,724.73,577.8,547.59,568.68
16,Accounts Payable,107.52,51.14,108.21,31.99,151.24,93.17,117.57,47.97,84.54,39.93
17,Accrued Expenses,65.42,67.09,46.56,52.98,59.74,60.67,49.85,57.75,27.02,36.58
18,Short-Term Debt,7.81,-,-,-,9.36,35.52,84.32,-,-,-
19,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,19.5,111.22
20,Current Portion of Leases,1.75,2.14,3.01,3.57,3.68,1.07,1.88,2.2,2.26,2.26
21,Current Income Taxes Payable,15.77,19.03,17.94,19.38,29.16,15.93,24.74,12.82,13.79,6.68
22,Other Current Liabilities,132.42,55.69,64.24,66.72,136.27,31.92,22.62,24.77,65.97,28.2
23,Total Current Liabilities,330.7,195.08,239.96,174.64,389.44,238.28,300.98,145.52,213.08,224.87
24,Long-Term Debt,-,-,-,-,-,-,-,-,-,0.55
25,Long-Term Leases,13.69,14.53,4.61,5.42,9.15,0.58,0.95,1.23,2.2,3.34
26,Long-Term Deferred Tax Liabilities,5.11,5.12,-,-,-,-,-,-,-,-
27,Total Liabilities,349.5,214.73,244.57,180.06,398.59,238.86,301.93,146.74,215.28,228.76
28,Common Stock,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5
29,Additional Paid-In Capital,113.54,113.54,113.54,113.54,113.54,113.54,113.54,113.54,113.54,113.54
30,Retained Earnings,576.91,594.62,514.43,474.2,335.85,375.4,248.75,262.09,186.52,184.98
31,Comprehensive Income & Other,-0.05,5.03,8.3,13.62,17.7,23.25,21.19,15.69,-4.34,4.09
32,Total Common Equity,702.89,725.68,648.76,613.86,479.58,524.68,395.98,403.81,308.22,315.1
33,Minority Interest,-,-,26.24,28.93,25.77,27.95,26.82,27.25,24.09,24.81
34,Shareholders' Equity,702.89,725.68,675,642.79,505.34,552.63,422.8,431.06,332.31,339.92
35,Total Liabilities & Equity,1052,940.41,919.57,822.85,903.94,791.49,724.73,577.8,547.59,568.68
36,Total Debt,23.26,16.67,7.62,9,22.19,37.17,87.15,3.43,23.96,117.37
37,Net Cash (Debt),438.67,449.4,288.79,309.78,276.97,189.05,111.03,159.07,88.72,14.59
38,Net Cash Growth,51.90%,45.07%,4.27%,63.86%,149.45%,18.85%,25.16%,990.63%,-,-
39,Net Cash Per Share,0.35,0.36,0.23,0.25,0.22,0.15,0.09,0.13,0.07,0.01
40,Filing Date Shares Outstanding,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250
41,Total Common Shares Outstanding,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250
42,Working Capital,521.37,540.48,496.52,459.95,311.82,354.83,221.57,230.28,131.86,137.03
43,Book Value Per Share,0.56,0.58,0.52,0.49,0.38,0.42,0.32,0.32,0.25,0.25
44,Tangible Book Value,702.89,725.68,648.76,613.86,479.58,524.68,395.98,403.81,308.22,315.1
45,Tangible Book Value Per Share,0.56,0.58,0.52,0.49,0.38,0.42,0.32,0.32,0.25,0.25
46,Land,-,160.14,-,163.44,-,157.52,-,154.03,-,149.07
47,Machinery,-,60,-,57.97,-,55.05,-,49.11,-,45.87
48,Construction In Progress,-,3.56,-,0.67,-,15.42,-,12.85,-,11.71
49,Leasehold Improvements,-,3.3,-,3.07,-,3.12,-,3.03,-,2.11
