,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,385.09,750.75,363.46,744.36,476.41,820.11,361.5,587.01,270.42,418.18
1,Revenue Growth (YoY),5.95%,0.86%,-23.71%,-9.24%,31.79%,39.71%,33.68%,40.37%,-4.48%,125.79%
2,Cost of Revenue,277.38,495.19,263.83,493.17,354.33,596.82,274.32,421.87,193.44,287.13
3,Gross Profit,107.71,255.56,99.63,251.19,122.08,223.29,87.18,165.13,76.98,131.06
4,"Selling, General & Admin",56.76,73.69,50.11,52.4,53.34,67.27,51.6,64.69,38.2,52.2
5,Operating Expenses,56.76,73.69,50.11,52.4,53.34,67.27,51.6,64.69,38.2,52.2
6,Operating Income,50.95,181.87,49.52,198.79,68.74,156.02,35.58,100.45,38.79,78.86
7,Interest Expense,-7.3,-13.05,-5.02,-8.28,-3.48,-3.4,-1.49,-1.86,-3.42,-4.66
8,Interest & Investment Income,-,9.74,-,8.85,-,10.43,-,1.03,-,0.29
9,Currency Exchange Gain (Loss),1.4,-5.02,3.2,-32.38,-,3.2,-,-1.23,-,-0.89
10,Other Non Operating Income (Expenses),7.55,-3.82,8.21,25.02,-18.3,-2.45,4.65,3.76,0.24,-20.65
11,EBT Excluding Unusual Items,52.61,169.73,55.91,192.01,46.95,163.8,38.74,102.15,35.61,52.95
12,Gain (Loss) on Sale of Investments,1.3,-5.27,-4.1,-19.17,-,-6.99,-,0.03,-,-
13,Gain (Loss) on Sale of Assets,-,0.31,-,0.03,-,0.07,-,-3.92,-,-0.02
14,Other Unusual Items,-,-,-,-,-,-1.8,1.8,-,-,-
15,Pretax Income,53.91,164.77,51.81,172.87,46.95,155.08,40.54,98.26,35.61,52.93
16,Income Tax Expense,11,28.99,10.46,30.23,13.69,27.69,9.65,21.69,5.96,10.74
17,Earnings From Continuing Operations,42.91,135.78,41.35,142.64,33.26,127.39,30.89,76.58,29.65,42.2
18,Minority Interest in Earnings,-,-0.59,-1.12,-4.28,0.93,-0.74,0.78,-1.01,0.4,-1.57
19,Net Income,42.91,135.19,40.23,138.36,34.19,126.65,31.67,75.56,30.05,40.63
20,Net Income to Common,42.91,135.19,40.23,138.36,34.19,126.65,31.67,75.56,30.05,40.63
21,Net Income Growth,6.66%,-2.29%,17.64%,9.25%,7.98%,67.61%,5.39%,85.97%,155.24%,276.00%
22,Shares Outstanding (Basic),1250,1250,1250,1250,1250,1250,1250,1250,1250,998
23,Shares Outstanding (Diluted),1250,1250,1250,1250,1250,1250,1250,1250,1250,998
24,Shares Change (YoY),-,-,-,-,-,-,-,25.29%,37.94%,19.04%
25,EPS (Basic),0.03,0.11,0.03,0.11,0.03,0.10,0.03,0.06,0.02,0.04
26,EPS (Diluted),0.03,0.11,0.03,0.11,0.03,0.10,0.03,0.06,0.02,0.04
27,EPS Growth,6.66%,-2.29%,17.64%,9.25%,7.98%,67.61%,5.55%,48.46%,84.76%,215.80%
28,Free Cash Flow,-11.51,278.23,-12.87,116.5,112,81.86,-5.94,100.49,83.19,51.81
29,Free Cash Flow Per Share,-0.01,0.22,-0.01,0.09,0.09,0.07,-0.00,0.08,0.07,0.05
30,Operating Margin,13.23%,24.23%,13.63%,26.71%,14.43%,19.02%,9.84%,17.11%,14.34%,18.86%
31,Profit Margin,11.14%,18.01%,11.07%,18.59%,7.18%,15.44%,8.76%,12.87%,11.11%,9.72%
32,Free Cash Flow Margin,-2.99%,37.06%,-3.54%,15.65%,23.51%,9.98%,-1.64%,17.12%,30.76%,12.39%
33,EBITDA,57.61,189.05,56.22,205.28,74.89,162.9,41.3,106.44,44.69,83.17
34,D&A For EBITDA,6.66,7.18,6.7,6.49,6.15,6.88,5.73,5.99,5.9,4.31
35,EBIT,50.95,181.87,49.52,198.79,68.74,156.02,35.58,100.45,38.79,78.86
