,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Cash & Equivalents,9189,8094,10982,10439,13808,10011,11460,8294,8434,7119,Upgrade
1,Trading Asset Securities,42.79,64.1,27.59,104.54,104.77,104.64,231.16,686.63,1.23,4.54,Upgrade
2,Cash & Short-Term Investments,9232,8158,11010,10544,13913,10115,11691,8980,8435,7124,Upgrade
3,Cash Growth,-16.15%,-22.62%,-20.86%,4.23%,19.00%,12.64%,38.60%,26.06%,-6.56%,-46.20%,Upgrade
4,Accounts Receivable,22966,17938,22284,22986,21275,27900,29029,25287,23244,20092,Upgrade
5,Other Receivables,2652,6655,2034,4120,8149,2978,2445,3149,1943,2811,Upgrade
6,Receivables,25618,24684,24319,27571,29424,31383,31474,28985,25187,23416,Upgrade
7,Inventory,7464,7799,8534,9516,9522,9709,9377,8564,7021,5518,Upgrade
8,Prepaid Expenses,1503,1377,1553,1225,1164,1284,804.09,791.39,716.24,707.19,Upgrade
9,Other Current Assets,3473,3229,3015,3365,2659,2932,3277,3074,2876,2744,Upgrade
10,Total Current Assets,47290,45247,48430,52220,56683,55423,56623,50394,44235,39509,Upgrade
11,"Property, Plant & Equipment",75205,72539,71044,73566,68177,74657,69725,61722,55100,49110,Upgrade
12,Long-Term Investments,22758,22793,22113,23213,21658,23624,19419,18457,16116,15666,Upgrade
13,Goodwill,3125,3078,3048,3230,3150,3473,3452,3298,3230,3010,Upgrade
14,Other Intangible Assets,3230,3245,3298,3601,3533,4053,3776,3830,3616,3613,Upgrade
15,Long-Term Deferred Tax Assets,1504,1459,1083,1012,1111,705.01,596.05,488.58,285.45,259.63,Upgrade
16,Other Long-Term Assets,361.12,337.14,339.45,448.1,2499,1211,1136,2531,1931,932.4,Upgrade
17,Total Assets,153474,148698,149355,157291,156811,163146,154726,140721,124514,112100,Upgrade
18,Accounts Payable,13745,13418,15655,14876,15488,16430,15384,15393,14653,13576,Upgrade
19,Accrued Expenses,1251,1109,1220,1242,1743,1338,1860,1663,2410,1616,Upgrade
20,Short-Term Debt,-,28.76,-,-,-,-,-,-,-,-,Upgrade
21,Current Portion of Long-Term Debt,20570,23043,22077,21908,22668,22143,11368,17272,18494,24151,Upgrade
22,Current Portion of Leases,59.8,58.15,203.06,200.71,195.93,213.8,212.43,209.61,208.03,75.05,Upgrade
23,Current Income Taxes Payable,668.91,606.66,430.58,806.27,956.34,1269,847.32,1021,1082,1246,Upgrade
24,Current Unearned Revenue,8269,8568,8820,9080,8338,9443,8760,8037,7465,5998,Upgrade
25,Other Current Liabilities,3238,3549,3728,3668,2936,3451,2784,2718,2528,2685,Upgrade
26,Total Current Liabilities,47802,50382,52133,51780,52326,54287,41215,46313,46840,49347,Upgrade
27,Long-Term Debt,40026,36022,33353,38103,35968,33986,38251,31717,22991,15568,Upgrade
28,Long-Term Leases,115.37,114.9,1101,1175,1249,1356,1439,1506,1583,157.87,Upgrade
29,Long-Term Deferred Tax Liabilities,1365,1431,1450,1442,1353,1447,1380,1320,1197,1226,Upgrade
30,Total Liabilities,89308,87950,88037,92501,90896,91077,82285,80857,72611,66300,Upgrade
31,Common Stock,54.36,54.36,54.36,54.4,54.4,54.4,55.54,52.12,52.12,52.19,Upgrade
32,Additional Paid-In Capital,20232,20232,20232,20276,20276,20276,21856,11522,11522,11655,Upgrade
33,Retained Earnings,47132,45372,47009,45178,47205,43945,40943,39347,34479,31477,Upgrade
34,Treasury Stock,-1084,-1084,-1084,-1085,-1085,-1085,-393.56,-,-,-,Upgrade
35,Comprehensive Income & Other,-9211,-10646,-11539,-6523,-8373,387.84,1510,1015,-1366,-3580,Upgrade
36,Total Common Equity,57123,53928,54672,57901,58077,63578,63971,51937,44688,39605,Upgrade
37,Minority Interest,7042,6820,6646,6890,7838,8491,8470,7927,7214,6195,Upgrade
38,Shareholders' Equity,64165,60747,61318,64790,65915,72069,72441,59864,51902,45800,Upgrade
39,Total Liabilities & Equity,153474,148698,149355,157291,156811,163146,154726,140721,124514,112100,Upgrade
40,Total Debt,60771,59267,56735,61387,60081,57699,51270,50705,43276,39953,Upgrade
41,Net Cash (Debt),-51540,-51109,-45725,-50843,-46168,-47584,-39579,-41724,-34841,-32829,Upgrade
42,Net Cash Per Share,-9.57,-9.49,-8.49,-9.53,-8.49,-8.69,-7.17,-8.00,-6.68,-6.29,Upgrade
43,Filing Date Shares Outstanding,5436,5436,5436,5440,5440,5440,5554,5212,5212,5219,Upgrade
44,Total Common Shares Outstanding,5436,5436,5436,5440,5440,5440,5554,5212,5212,5219,Upgrade
45,Working Capital,-511.99,-5135,-3703,440.24,4357,1136,15408,4081,-2605,-9838,Upgrade
46,Book Value Per Share,10.51,9.92,10.06,10.64,10.68,11.69,11.52,9.96,8.57,7.59,Upgrade
47,Tangible Book Value,50768,47605,48325,51069,51394,56052,56744,44809,37842,32982,Upgrade
48,Tangible Book Value Per Share,9.34,8.76,8.89,9.39,9.45,10.30,10.22,8.60,7.26,6.32,Upgrade
49,Land,-,7175,-,6858,-,7188,-,5427,-,4682,Upgrade
50,Machinery,-,10773,-,9742,-,9993,-,8778,-,6824,Upgrade
51,Construction In Progress,-,8522,-,11849,-,13472,-,13560,-,12226,Upgrade
