,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,108.61,86.32,96.85,80.51,85.63,67.25,79.02,71.74,82.26,84.62,141.52,123.73,121.01,186.71,157.8,133
1,Other Revenue,-,-0.09,0.09,-,2.21,-0.78,0.78,-,1.15,-0.96,0.96,-,2.13,-1.48,1.01,0.74
2,Revenue,108.61,86.23,96.94,80.51,87.84,66.46,79.8,71.74,83.41,83.66,142.48,123.73,123.15,185.23,158.81,133.74
3,Revenue Growth (YoY),23.65%,29.74%,21.48%,12.23%,5.31%,-20.55%,-43.99%,-42.02%,-32.27%,-54.84%,-10.28%,-7.48%,-,-,-,-
4,Cost of Revenue,-222.88,19.72,132.39,70.77,175.01,32.85,93.42,60.35,82.43,65.04,102.13,80.39,75.24,98.9,98.33,85.95
5,Gross Profit,331.49,66.51,-35.45,9.74,-87.17,33.61,-13.62,11.38,0.98,18.62,40.35,43.34,47.9,86.33,60.48,47.79
6,"Selling, General & Admin",-37.21,14.33,14.1,8.79,1.8,13,13.61,15.76,13.11,11.04,8.6,9.8,12.11,9.5,11.08,9.89
7,Research & Development,-65.08,24.78,22.19,18.11,31,22.36,28.45,18.64,20.88,16.39,14.96,12.55,16.9,10.99,12.27,9.58
8,Other Operating Expenses,543.85,-5.41,0.73,-3.3,2.88,-0.43,-3.79,-0.38,1.66,-8.91,0.14,-1.63,6.66,-1.79,0.88,-1.05
9,Operating Expenses,441.05,33.45,37.04,24.34,36.11,35.24,38.61,34.28,35.8,18.52,23.88,20.74,35.65,18.7,24.14,18.43
10,Operating Income,-109.56,33.06,-72.49,-14.6,-123.28,-1.64,-52.23,-22.9,-34.82,0.1,16.47,22.6,12.26,67.63,36.35,29.36
11,Interest Expense,-12.23,-0.01,-0.04,-0.02,-0.05,-0.05,-0.04,-0.03,-0.28,-1.76,-1.73,-0.11,-0.05,-,-,-0.02
12,Interest & Investment Income,0.07,3.58,4.91,3.74,2.16,4.72,5.89,7.26,5.33,0.87,0.16,0.72,0.64,0.65,1.13,0.63
13,Currency Exchange Gain (Loss),-,-0.23,0.23,-,0.07,-0.31,0.31,-,5.52,-3.86,3.86,-,-0.79,0.17,-0.15,-0.09
14,Other Non Operating Income (Expenses),1.61,-0.16,-0.06,0.04,-3.26,0.05,0.33,2.7,-11.68,7.45,1.47,2.67,-2.03,0.89,-0.07,0.52
15,EBT Excluding Unusual Items,-120.1,36.23,-67.45,-10.85,-124.35,2.77,-45.74,-12.97,-35.93,2.79,20.23,25.88,10.01,69.35,37.26,30.41
16,Gain (Loss) on Sale of Investments,-,-,-,-,2.56,-,-,-1.2,-0.22,0.57,0.32,-0.09,0.62,-,-,-
17,Gain (Loss) on Sale of Assets,-,-0,-,0,-0,0,-0,-,-,-,-,-,-0.15,-,-,-
18,Asset Writedown,62.69,-62.69,22.57,-22.57,60.03,-60.03,8.52,-8.52,3.12,-3.12,0.43,-0.43,1.95,-1.95,-,-
19,Other Unusual Items,-,-3.78,3.61,0.17,8.48,-,-,-,6.43,-,-,-,12.96,-,-,-
20,Pretax Income,-57.42,-30.24,-41.26,-33.25,-53.29,-57.26,-37.22,-22.69,-26.6,0.24,20.97,25.36,25.4,67.39,37.26,30.41
21,Income Tax Expense,0.1,-0.02,0.03,-0.2,23.27,-9.48,-7.6,-4.01,-1.16,-,-0.05,-0.03,-0.12,0.05,2.66,3.06
22,Net Income,-57.51,-30.22,-41.3,-33.05,-76.56,-47.78,-29.63,-18.67,-25.44,0.24,21.02,25.38,25.52,67.35,34.59,27.34
23,Net Income to Common,-57.51,-30.22,-41.3,-33.05,-76.56,-47.78,-29.63,-18.67,-25.44,0.24,21.02,25.38,25.52,67.35,34.59,27.34
24,Net Income Growth,-,-,-,-,-,-,-,-,-,-99.65%,-39.24%,-7.18%,-,-,-,-
25,Shares Outstanding (Basic),84,82,83,83,82,82,85,81,82,68,62,62,63,61,61,59
26,Shares Outstanding (Diluted),84,82,83,83,82,82,85,81,82,68,62,62,63,61,61,59
27,Shares Change (YoY),2.24%,-0.17%,-3.25%,1.78%,-0.02%,20.59%,38.06%,31.15%,31.02%,10.53%,1.88%,4.15%,-,-,-,-
28,EPS (Basic),-0.69,-0.37,-0.50,-0.40,-0.93,-0.58,-0.35,-0.23,-0.31,0.00,0.34,0.41,0.41,1.10,0.57,0.46
29,EPS (Diluted),-0.69,-0.37,-0.50,-0.40,-0.93,-0.58,-0.35,-0.23,-0.31,0.00,0.34,0.41,0.41,1.10,0.57,0.46
30,EPS Growth,-,-,-,-,-,-,-,-,-,-99.68%,-40.36%,-10.87%,-,-,-,-
31,Free Cash Flow,-,-7.28,-71.55,-31.58,-67.02,-42.23,-21.75,-45.06,-57.61,-45.57,-114.64,-245.5,9.54,39.63,41.81,19.13
32,Free Cash Flow Per Share,-,-0.09,-0.87,-0.38,-0.82,-0.52,-0.25,-0.56,-0.70,-0.67,-1.85,-3.97,0.15,0.64,0.69,0.32
33,Gross Margin,305.22%,77.13%,-36.57%,12.10%,-99.25%,50.57%,-17.06%,15.87%,1.17%,22.26%,28.32%,35.03%,38.90%,46.61%,38.09%,35.73%
34,Operating Margin,-100.88%,38.34%,-74.77%,-18.14%,-140.35%,-2.46%,-65.45%,-31.92%,-41.75%,0.12%,11.56%,18.26%,9.95%,36.51%,22.89%,21.96%
35,Profit Margin,-52.95%,-35.04%,-42.60%,-41.05%,-87.16%,-71.88%,-37.13%,-26.03%,-30.49%,0.29%,14.75%,20.51%,20.73%,36.36%,21.78%,20.45%
36,Free Cash Flow Margin,-,-8.44%,-73.81%,-39.22%,-76.30%,-63.54%,-27.25%,-62.81%,-69.06%,-54.48%,-80.46%,-198.42%,7.75%,21.40%,26.33%,14.30%
37,EBITDA,-106.18,36.44,-69.01,-11.22,-119.9,1.19,-48.62,-20.08,-32,1.6,19.13,24.1,13.76,68.47,37.19,30.21
38,EBITDA Margin,-97.76%,42.26%,-71.19%,-13.94%,-136.50%,1.79%,-60.92%,-27.98%,-38.36%,1.91%,13.43%,19.48%,11.17%,36.96%,23.42%,22.59%
