,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,3613,3223,2473,3138,3509,4842,4771,6487,4852,3141,3413,-,-,-,-,-,-
1,Market Cap Growth,-33.44%,-33.44%,-48.16%,-51.63%,-27.69%,54.14%,39.81%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2827,2437,1684,2450,2549,3882,3774,5468,3727,2016,3455,-,-,-,-,-,-
3,Last Close Price,43.72,39.00,29.93,37.97,42.46,58.59,57.74,78.50,58.72,38.01,41.30,-,-,-,-,-,-
4,PE Ratio,-,-,-,-,-,-,-,-,-,-,47.29,-,-,-,-,-,-
5,PS Ratio,9.71,8.66,7.04,9.46,11.15,15.83,15.83,20.36,12.73,7.25,7.22,-,-,-,-,-,-
6,PB Ratio,2.52,2.25,1.73,2.15,2.34,3.17,2.95,3.91,2.89,1.86,1.99,-,-,-,-,-,-
7,P/TBV Ratio,2.29,2.29,1.75,2.19,2.39,3.23,3.02,4.00,2.95,1.90,2.03,-,-,-,-,-,-
8,EV/Sales Ratio,7.59,6.55,4.79,7.38,8.10,12.69,12.52,17.16,9.78,4.65,7.30,-,-,-,-,-,-
9,EV/EBITDA Ratio,-,-,-10.29,-,-,-,-37.93,-,-,-,58.97,-,-,-,-,-,-
10,EV/EBIT Ratio,-,-,-9.50,-,-,-,-,-,-,-,67.18,-,-,-,-,-,-
11,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.45,0.01,0.01,-,0.02,0.05
12,Debt / EBITDA Ratio,-,-,0.00,-,-,-,0.28,-,-,-,22.12,2.82,0.07,0.11,-,0.05,0.08
13,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,0.06,-,0.13,0.52
14,Asset Turnover,-,0.23,0.25,0.20,0.21,0.15,0.18,0.16,0.18,0.24,-,-,-,-,-,-,
15,Inventory Turnover,-,-,0.25,1.59,0.83,2.17,0.43,1.27,0.88,1.35,1.30,-,-,-,-,-,-
16,Quick Ratio,-,-,14.27,15.32,9.88,9.61,11.30,12.81,15.35,12.75,6.15,0.86,-,3.51,-,3.32,-
17,Current Ratio,-,-,19.10,20.71,15.88,12.84,14.74,16.38,19.38,15.68,8.61,2.55,-,4.88,-,4.21,-
18,Return on Equity (ROE),-16.06%,-8.36%,-11.18%,-8.74%,-19.48%,-11.68%,-7.10%,-4.43%,-5.97%,0.09%,17.72%,22.65%,-,-,49.77%,-,
19,Return on Assets (ROA),-,5.40%,-11.53%,-2.24%,-18.18%,-0.23%,-7.36%,-3.19%,-4.63%,0.02%,-,-,-,-,-,-,
20,Return on Capital (ROIC),-19.12%,5.71%,-12.25%,-2.41%,-19.58%,-0.25%,-7.80%,-3.39%,-4.91%,0.02%,6.97%,12.42%,-,-,31.68%,-,
21,Return on Capital Employed (ROCE),-,-,-12.20%,-,-,-,-,-,-,-,2.96%,22.75%,-,30.96%,-,18.53%,-
22,Earnings Yield,-4.49%,-5.03%,-7.32%,-6.33%,-5.33%,-3.57%,-2.55%,-1.13%,-0.47%,0.68%,2.11%,-,-,-,-,-,-
23,FCF Yield,-,-7.17%,-6.77%,-4.63%,-3.64%,-3.49%,-2.62%,-5.42%,-14.75%,-11.61%,-,-,-,-,-,-,
24,Payout Ratio,0.00%,-,-,-,-,-,-,-,-,-,823.50%,7.58%,-,0.24%,-,0.11%,0.21%
25,Buyback Yield / Dilution,-0.11%,-2.24%,0.17%,3.25%,-1.78%,0.02%,-20.59%,-38.06%,-31.15%,-31.02%,-10.53%,-1.88%,-4.15%,-,-,-,-
26,Total Shareholder Return,-0.11%,-2.24%,0.17%,3.25%,-1.78%,0.02%,-20.59%,-38.06%,-31.15%,-31.02%,-10.53%,-1.88%,-4.15%,-,-,-,-
