,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,-,404.97,569.76,268.72,216.82,500.77,747.78,689.67,631.43,1200,118.39,-,271.46,-,206.69,-
1,Short-Term Investments,-,220.49,121.34,-,140.87,50.47,243.82,241.96,240.1,-,-,-,-,-,-,-
2,Trading Asset Securities,-,160.24,100.16,420.08,531.36,410.12,10,90.3,193.03,66.41,65.85,-,50.62,-,70,-
3,Cash & Short-Term Investments,785.7,785.7,791.26,688.8,889.06,961.35,1002,1022,1065,1267,184.24,322.09,322.09,-,276.69,159.18
4,Cash Growth,-11.63%,-18.27%,-21.00%,-32.60%,-16.49%,-24.10%,443.64%,217.29%,230.52%,-,-33.41%,102.34%,-,-,-,-
5,Accounts Receivable,-,141.28,134.13,122.84,110.92,87,86.59,81.91,90.98,72.39,62.06,-,27.38,-,37.58,-
6,Other Receivables,-,1.03,1.74,0.95,1.22,1.1,1.52,1.1,0.73,0.84,-,-,1.26,-,0.53,-
7,Receivables,-,142.32,135.87,123.79,112.14,88.1,88.11,83.01,91.71,73.23,62.06,-,28.64,-,38.11,-
8,Inventory,-,309.63,319.29,347.32,333.41,312.4,301.11,286.16,263.31,226.04,174.3,-,130.75,-,79.37,-
9,Other Current Assets,-,4.58,7.43,145.35,2.63,6.36,2.31,3.66,1.99,311.21,310.12,-,6.15,-,5.74,-
10,Total Current Assets,-,1242,1254,1305,1337,1368,1393,1395,1422,1877,730.72,-,487.63,-,399.92,-
11,"Property, Plant & Equipment",-,30.09,30.93,26.42,26.85,26.88,27.78,29.05,23.33,23.4,23.73,-,23.54,-,18.94,-
12,Long-Term Investments,-,7.5,7.5,7.5,7.5,-,-,-,-,-,-,-,-,-,-,-
13,Other Intangible Assets,-,22.32,24.18,26.88,29.93,32.78,35.06,36.16,38.87,32.32,34.02,-,37.93,-,28.09,-
14,Long-Term Deferred Tax Assets,-,0,-,0.01,-,23.09,13.61,6.01,2,0.97,0.97,-,0.86,-,0.69,-
15,Long-Term Deferred Charges,-,0.09,0.15,0.22,0.28,0.34,0.4,0.45,-,-,-,-,-,-,-,-
16,Other Long-Term Assets,-,216.18,224.54,236.64,255.21,281.59,298.92,314.46,321.99,20.03,20.08,-,20.26,-,1.86,-
17,Total Assets,-,1518,1541,1603,1657,1733,1769,1781,1808,1954,809.51,-,570.22,-,449.49,-
18,Accounts Payable,-,50.45,46.85,68.99,76.62,80.97,61.41,53.96,64.83,70.56,39.78,-,57.5,-,49.83,-
19,Accrued Expenses,-,4.83,7.88,5.28,11.43,4.82,5.05,4.48,7.72,4.06,6.69,-,9.73,-,5.81,-
20,Short-Term Debt,-,-,-,-,-,-,-,0.35,-,140.94,225.22,-,5,-,5,-
21,Current Portion of Leases,-,-,1.08,-,2.22,-,2.46,-,0.62,0.45,0.81,-,1.72,-,1.89,-
22,Current Income Taxes Payable,-,0.2,0.07,0.2,0.07,0.17,0.07,3.69,0.07,0.18,0.06,-,0.06,-,0.06,-
23,Current Unearned Revenue,-,0.35,0.67,0.26,0.84,0.09,0.55,1.58,1.82,1.79,1.54,-,12.23,-,4.5,-
24,Other Current Liabilities,-,9.23,3.98,7.49,13,6.79,15.51,7.92,15.61,0.02,12.58,-,13.64,-,27.82,-
25,Total Current Liabilities,-,65.05,60.53,82.22,104.18,92.84,85.06,71.98,90.68,217.99,286.68,-,99.89,-,94.9,-
26,Long-Term Leases,-,0.28,0.71,0.77,0.88,1.34,2.1,2.3,0.04,-,-,-,-,-,0.77,-
27,Long-Term Unearned Revenue,-,0.74,1.43,3.01,3.05,1.51,1.95,2.39,2.83,2,2,-,2,-,2.8,-
28,Long-Term Deferred Tax Liabilities,-,-,0.02,-,0.18,-,-,-,-,0.13,0.13,-,0.09,-,-,-
29,Other Long-Term Liabilities,-,20,20,20,20,22.4,22.4,22.4,22.4,20,20,-,20,-,-,-
30,Total Liabilities,-,86.06,82.69,106,128.3,118.09,111.5,99.07,115.94,240.12,308.81,-,121.99,-,98.47,-
31,Common Stock,-,82.64,82.64,82.64,82.64,82.64,82.64,82.64,82.64,82.64,61.98,-,61.98,-,61.98,-
32,Additional Paid-In Capital,-,1441,1437,1434,1433,-,1437,1432,1423,1420,227.63,-,221.77,-,231.69,-
33,Retained Earnings,-,-91.02,-60.8,-19.5,13.55,90.11,137.89,167.51,186.19,211.62,211.38,-,164.98,-,57.75,-
34,Comprehensive Income & Other,-,-0.51,-0.51,-0.51,-0.51,1442,-0.24,-0.24,-0.24,-0.16,-0.29,-,-0.5,-,-0.4,-
35,Shareholders' Equity,1432,1432,1458,1497,1529,1615,1657,1682,1692,1714,500.7,448.23,448.23,-,351.02,205
