,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,4620,4569,4079,5122,5439,5920,6275,7033,7060,5419,6620,7803,6046,4714,4616,5104,5783,-,-,-
1,Market Cap Growth,-22.83%,-22.83%,-35.01%,-27.18%,-22.95%,9.25%,-5.20%,-9.87%,16.76%,14.95%,43.40%,52.87%,4.56%,-,-,-,-,-,-,-
2,Enterprise Value,4792,5118,4510,4538,4856,5932,5955,6482,6508,5646,5902,8492,6736,5152,5145,6294,6973,-,-,-
3,Last Close Price,8.86,8.76,7.82,9.50,10.07,10.96,11.62,12.72,13.29,10.19,12.45,14.40,11.44,8.92,8.73,9.48,10.74,-,-,-
4,PE Ratio,15.28,15.13,13.20,14.76,14.28,13.42,12.03,12.53,11.58,8.03,9.29,10.90,9.21,9.60,10.01,12.09,16.47,-,-,-
5,PS Ratio,0.11,0.11,0.10,0.13,0.13,0.15,0.15,0.17,0.17,0.14,0.18,0.21,0.17,0.14,0.14,0.16,0.20,-,-,-
6,PB Ratio,1.02,0.65,0.58,0.69,0.74,0.86,0.92,1.01,1.07,0.87,1.12,1.26,1.02,0.89,0.92,0.99,1.16,-,-,-
7,P/TBV Ratio,1.29,1.29,1.15,1.41,1.50,1.73,1.84,2.03,2.22,1.76,2.25,2.66,2.17,1.90,2.02,2.28,2.67,-,-,-
8,P/FCF Ratio,-,-17.56,-72.02,-,-,12.38,-,-,-,2.59,-,3.69,6.07,6.95,-12.40,4.56,4.34,-,-,-
9,P/OCF Ratio,25.55,25.55,9.31,-,-,5.57,4.65,10.73,3.59,2.17,-,3.08,4.41,4.56,-3239.39,3.46,3.54,-,-,-
10,EV/Sales Ratio,0.11,0.12,0.11,0.11,0.12,0.15,0.14,0.15,0.16,0.14,0.16,0.23,0.19,0.15,0.15,0.20,0.24,-,-,-
11,EV/EBITDA Ratio,5.33,5.95,4.78,4.36,4.37,4.56,4.19,3.99,3.84,2.99,3.01,4.45,3.75,3.60,3.91,5.16,6.75,-,-,-
12,EV/EBIT Ratio,7.31,7.27,5.73,5.11,5.07,5.17,4.68,4.38,4.19,3.23,3.24,4.79,4.06,3.97,4.28,5.68,7.41,-,-,-
13,EV/FCF Ratio,-18.42,-19.67,-79.64,-,-,12.40,-,-,-,2.70,-,4.02,6.76,7.60,-13.82,5.62,5.24,-,-,-
14,Debt / Equity Ratio,0.32,0.32,0.47,0.48,0.39,0.46,0.52,0.43,0.46,0.50,0.57,0.45,0.43,0.38,0.42,0.38,0.27,-,-,0.42
15,Debt / EBITDA Ratio,2.53,2.50,8.38,3.47,1.75,2.54,4.58,2.26,1.28,1.80,2.18,1.78,0.84,1.00,1.62,1.74,0.99,-,-,4.83
16,Debt / FCF Ratio,-,-8.74,-58.18,-,-,6.59,-,-,-,1.48,-,1.34,2.58,2.95,-5.71,1.76,1.02,-,-,6.93
17,Asset Turnover,1.99,2.31,1.95,2.31,2.00,2.07,2.14,2.30,2.38,2.18,2.21,2.27,2.58,2.80,2.47,-,-,-,-,
18,Inventory Turnover,7.23,6.33,7.75,6.25,7.67,6.96,7.26,7.45,7.78,7.17,6.76,7.24,6.62,7.94,9.01,7.86,-,-,-,-
19,Quick Ratio,0.58,0.58,0.58,0.61,0.57,0.59,0.69,0.65,0.58,0.63,0.52,0.65,0.56,0.59,0.61,0.60,0.58,-,-,-
20,Current Ratio,1.33,1.33,1.29,1.31,1.30,1.26,1.32,1.32,1.27,1.27,1.22,1.29,1.30,1.33,1.31,1.35,1.35,-,-,-
21,Return on Equity (ROE),6.29%,4.10%,5.58%,19.34%,7.91%,8.56%,10.86%,27.34%,19.72%,17.19%,18.22%,41.75%,28.20%,20.57%,13.10%,-,-,-,-,
22,Return on Assets (ROA),2.51%,0.13%,2.69%,3.52%,3.56%,1.51%,3.78%,6.25%,5.23%,4.26%,5.29%,11.09%,8.49%,4.94%,4.77%,-,-,-,-,
23,Return on Capital (ROIC),4.80%,0.24%,5.16%,7.07%,6.68%,2.73%,7.41%,12.59%,10.62%,8.66%,10.34%,21.25%,16.23%,9.46%,9.31%,-,-,-,-,
24,Return on Capital Employed (ROCE),8.42%,9.04%,10.05%,10.84%,11.88%,15.15%,16.85%,19.26%,20.75%,25.14%,27.31%,25.64%,24.94%,21.05%,20.65%,18.39%,17.37%,-,-,-
25,Earnings Yield,6.54%,6.61%,7.58%,6.77%,7.00%,7.45%,8.31%,7.98%,8.64%,12.45%,10.76%,9.17%,10.86%,10.42%,9.99%,8.27%,6.07%,-,-,-
26,FCF Yield,-5.63%,-5.70%,-1.39%,-1.72%,7.99%,8.08%,12.86%,2.21%,19.79%,38.63%,18.69%,27.08%,16.47%,14.39%,-8.06%,21.94%,23.02%,-,-,-
27,Dividend Yield,3.36%,-,-,-,2.98%,-,-,-,2.26%,-,-,-,2.62%,-,-,-,1.68%,-,-,-
28,Payout Ratio,80.89%,32.23%,373.78%,50.31%,12.46%,36.20%,208.45%,20.60%,6.82%,13.13%,145.37%,11.60%,7.57%,20.02%,82.10%,18.61%,11.47%,11.54%,39.97%,232.52%
29,Buyback Yield / Dilution,-1.65%,3.04%,-5.33%,-2.59%,-1.78%,-1.23%,-0.65%,-1.53%,-3.19%,2.87%,-6.49%,0.74%,0.70%,-10.74%,9.87%,-6.58%,-,-,-,-
30,Total Shareholder Return,1.72%,3.04%,-5.33%,-2.59%,1.19%,-1.23%,-0.65%,-1.53%,-0.93%,2.87%,-6.49%,0.74%,3.32%,-10.74%,9.87%,-6.58%,1.68%,-,-,-
