,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,3947,4505,5399,5540,5757,5794,5650,5574,5603,4415,5068,3409,2494,2799,2732,2100,-,-,-
1,Trading Asset Securities,670.06,808.12,554.34,329.53,480.42,176.36,185.39,213.66,384.32,905.55,938.45,1053,813.79,803.89,807.24,1144,-,-,-
2,Cash & Short-Term Investments,4617,5313,5953,5869,6237,5971,5836,5787,5988,5321,6007,4462,3307,3603,3539,3243,-,-,2447
3,Cash Growth,-25.98%,-11.02%,2.01%,1.41%,4.17%,12.22%,-2.85%,29.72%,81.05%,47.67%,69.72%,37.57%,-,-,44.62%,-,-,-,-
4,Accounts Receivable,1191,1191,1136,966.77,1129,1040,1087,1034,1078,1053,934.9,822.78,1083,996.85,855.6,770.69,-,-,-
5,Other Receivables,221.54,237.62,227.2,187.54,188.85,175.14,177.8,156.58,210.92,160.9,243.75,149.89,188.07,154.72,182.85,149.96,-,-,-
6,Receivables,1413,1429,1363,1154,1318,1215,1265,1190,1289,1214,1179,972.67,1271,1152,1038,920.65,-,-,-
7,Inventory,5616,5531,5966,5962,5520,4747,5221,5068,5251,6428,4735,4924,4077,4017,3936,3741,-,-,-
8,Other Current Assets,2149,2825,2555,2958,3036,1725,2113,3359,2153,2479,2308,2228,1677,1530,1770,1735,-,-,-
9,Total Current Assets,13794,15098,15837,15943,16111,13659,14435,15405,14680,15441,14228,12586,10332,10301,10283,9640,-,-,-
10,"Property, Plant & Equipment",1817,1818,1832,1783,1632,1666,1622,1610,1487,1508,1464,1468,1447,1478,1479,1077,-,-,-
11,Long-Term Investments,978.38,1014,1040,1068,1066,1086,1124,1131,1105,1114,1087,1097,1005,752.08,750.14,736.48,-,-,-
12,Goodwill,395.36,395.36,395.36,395.36,407.85,407.85,407.85,407.85,418.07,418.07,418.07,418.07,425.47,425.47,425.47,425.47,-,-,-
13,Other Intangible Assets,566.84,569.96,570.41,542.18,544.27,522.5,526.57,530.52,385.07,392.72,394.59,396.65,399.96,384.85,387.53,369.62,-,-,-
14,Long-Term Deferred Tax Assets,224.76,219.39,211.6,207.12,214.01,201.09,192.62,190.99,72.04,63.45,59.18,62.35,47.56,50.22,48.97,55.67,-,-,-
15,Long-Term Deferred Charges,324.58,333.96,301.92,301.68,293.52,303.5,289.09,286.34,257.09,244.12,243.27,249.59,242.12,238.11,241.91,243.95,-,-,-
16,Other Long-Term Assets,63.75,64.76,62.92,72.73,47.84,48.47,42.26,42.94,118.83,122.38,49.14,48.99,48.18,34.42,30.92,31.32,-,-,-
17,Total Assets,18165,19513,20251,20313,20316,17894,18639,19604,18523,19305,17944,16326,13946,13664,13648,12579,-,-,-
18,Accounts Payable,5276,5087,4998,5660,5580,4039,4262,4798,4960,4524,3925,4062,3488,3543,3659,3515,-,-,-
19,Accrued Expenses,203.18,269.85,438.45,347.64,490.78,420.73,498.14,451.34,538.12,720.74,644.63,679.47,279.8,423.24,191.85,439.89,-,-,-
20,Short-Term Debt,1780,2808,3096,2436,2756,3043,2528,2415,2546,2659,2156,1870,1342,1459,1282,1107,-,-,-
21,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,48.75,150.15,189.24,150.16,-,-,-,0.05,-,-,-
22,Current Portion of Leases,68.41,61.49,56.71,60.72,48.7,66.04,57.84,52.67,-,50.7,-,47.51,-,42.27,-,-,-,-,-
23,Current Income Taxes Payable,85.22,38.43,117.78,132.23,122.19,59.89,160.64,199.34,167.68,105.38,286.83,243.19,190.55,87.25,191.86,166.11,-,-,-
24,Current Unearned Revenue,2321,2748,2932,2965,3247,2189,2881,3381,2801,3834,3375,2273,1913,1838,1830,1590,-,-,-
25,Other Current Liabilities,639.43,660.6,426.12,646.59,491.02,527.14,575.46,827.34,512.35,596.34,454,341.67,568.82,443.92,465.31,341.02,-,-,-
26,Total Current Liabilities,10373,11674,12065,12249,12736,10346,10963,12125,11574,12641,11030,9668,7783,7836,7620,7158,-,-,-
27,Long-Term Debt,-,2,2,-,-,-,-,198.61,195.97,193.28,190.65,208.08,355.06,302.08,299,245.95,-,-,-
28,Long-Term Leases,425.6,423.01,416.3,390.5,347.52,420.69,376.54,369.34,311.81,311.29,289.32,294.94,301.96,323.29,393.59,-,-,-,-
