,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Market Capitalization,4306,4210,-,-,-,-,-
1,Enterprise Value,3454,3922,-,-,-,-,-
2,Last Close Price,26.91,26.31,-,-,-,-,-
3,PE Ratio,16.99,19.83,-,-,-,-,-
4,PS Ratio,7.08,8.88,-,-,-,-,-
5,PB Ratio,3.62,3.54,-,-,-,-,-
6,P/TBV Ratio,3.61,3.61,-,-,-,-,-
7,P/FCF Ratio,33.88,27.34,-,-,-,-,-
8,P/OCF Ratio,19.57,17.00,-,-,-,-,-
9,EV/Sales Ratio,7.32,8.27,-,-,-,-,-
10,EV/EBITDA Ratio,15.11,15.90,-,-,-,-,-
11,EV/EBIT Ratio,15.31,16.07,-,-,-,-,-
12,EV/FCF Ratio,27.18,25.47,-,-,-,-,-
13,Debt / Equity Ratio,0.00,0.00,0.00,0.00,-,-,0.00
14,Debt / EBITDA Ratio,0.00,0.00,0.00,0.00,-,-,0.00
15,Debt / FCF Ratio,0.00,0.00,0.01,0.01,-,-,0.04
16,Asset Turnover,0.38,0.62,-,-,-,-,
17,Inventory Turnover,-,3.69,4.32,-,-,-,-
18,Quick Ratio,5.90,5.90,3.25,3.25,-,-,-
19,Current Ratio,6.21,6.21,3.69,3.69,-,-,-
20,Return on Equity (ROE),18.14%,33.99%,-,-,-,-,
21,Return on Assets (ROA),11.04%,20.67%,-,-,-,-,
22,Return on Capital (ROIC),12.80%,24.85%,-,-,-,-,
23,Return on Capital Employed (ROCE),18.95%,20.50%,37.82%,37.72%,-,-,-
24,Earnings Yield,4.57%,5.04%,-,-,-,-,-
25,FCF Yield,2.95%,3.66%,-,-,-,-,-
26,Buyback Yield / Dilution,-3.53%,-15.37%,0.30%,-,-,-,-
27,Total Shareholder Return,-3.53%,-15.37%,0.30%,-,-,-,-
