,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Cash & Equivalents,852.01,346.08,346.08,-,-,-
1,Cash & Short-Term Investments,852.01,346.08,346.08,-,-,168.93
2,Cash Growth,-,104.87%,-,-,-,-
3,Accounts Receivable,95.69,115.79,115.79,-,-,-
4,Other Receivables,0.66,0.6,0.6,-,-,-
5,Receivables,96.35,116.39,116.39,-,-,-
6,Inventory,41.57,40.57,40.57,-,-,-
7,Other Current Assets,8.85,22.36,22.36,-,-,-
8,Total Current Assets,998.78,525.41,525.41,-,-,-
9,"Property, Plant & Equipment",321.58,278.2,278.2,-,-,-
10,Other Intangible Assets,24.93,25.32,25.32,-,-,-
11,Long-Term Deferred Tax Assets,3.28,2.49,2.49,-,-,-
12,Long-Term Deferred Charges,1.38,1.2,1.2,-,-,-
13,Other Long-Term Assets,1.39,9.24,9.24,-,-,-
14,Total Assets,1351,841.87,841.87,-,-,-
15,Accounts Payable,24.21,20.52,20.52,-,-,-
16,Accrued Expenses,5.99,5.63,5.63,-,-,-
17,Current Portion of Long-Term Debt,0.55,0.66,0.66,-,-,-
18,Current Income Taxes Payable,10.11,13.17,13.17,-,-,-
19,Current Unearned Revenue,0.5,0.6,0.6,-,-,-
20,Other Current Liabilities,119.36,101.83,101.83,-,-,-
21,Total Current Liabilities,160.72,142.4,142.4,-,-,-
22,Long-Term Leases,0.11,0.22,0.22,-,-,-
23,Long-Term Unearned Revenue,0.07,0.07,0.07,-,-,-
24,Total Liabilities,160.9,142.7,142.7,-,-,-
25,Common Stock,160,120,120,-,-,-
26,Additional Paid-In Capital,478.03,69.62,69.62,-,-,-
27,Retained Earnings,552.4,509.55,509.55,-,-,-
28,Shareholders' Equity,1190,699.17,699.17,-,-,372.36
29,Total Liabilities & Equity,1351,841.87,841.87,-,-,-
30,Total Debt,0.66,0.88,0.88,-,-,0.88
31,Net Cash (Debt),851.35,345.2,345.2,-,-,168.05
32,Net Cash Growth,-,105.42%,-,-,-,-
33,Net Cash Per Share,6.13,2.88,2.88,-,-,1.40
34,Filing Date Shares Outstanding,138.88,120.02,120.02,120.38,120.37,120.37
35,Total Common Shares Outstanding,138.88,120.02,120.02,120.38,120.37,120.37
36,Working Capital,838.07,383,383,-,-,-
37,Book Value Per Share,8.57,5.83,5.83,-,-,3.10
38,Tangible Book Value,1166,673.84,673.84,-,-,344.66
39,Tangible Book Value Per Share,8.39,5.61,5.61,-,-,2.87
