,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Revenue,105.43,130.89,130.89,107.03,129.99,129.99
1,Revenue Growth (YoY),-18.90%,0.69%,-,-,-,-
2,Cost of Revenue,37.84,43.77,43.77,34.66,45.23,45.23
3,Gross Profit,67.58,87.12,87.12,72.37,84.76,84.76
4,"Selling, General & Admin",14.93,13.82,13.82,12.43,13.24,13.24
5,Research & Development,4.11,3.28,3.28,2.59,2.62,2.62
6,Other Operating Expenses,0.13,0.43,0.43,0.88,0.01,0.01
7,Operating Expenses,19.18,17.53,17.53,15.9,15.87,15.87
8,Operating Income,48.41,69.59,69.59,56.48,68.89,68.89
9,Interest & Investment Income,0.02,-,-,0.79,0.7,0.7
10,Other Non Operating Income (Expenses),1.42,-0.15,-0.15,1.71,-0.41,-0.41
11,EBT Excluding Unusual Items,49.84,69.44,69.44,58.98,69.19,69.19
12,Gain (Loss) on Sale of Investments,-0.02,0.01,0.01,0.01,0.01,0.01
13,Asset Writedown,0.01,0.02,0.02,0.14,-0.14,-0.14
14,Pretax Income,49.84,69.47,69.47,59.13,69.07,69.07
15,Income Tax Expense,6.98,10.06,10.06,8.57,10.08,10.08
16,Net Income,42.85,59.41,59.41,50.56,58.98,58.98
17,Net Income to Common,42.85,59.41,59.41,50.56,58.98,58.98
18,Net Income Growth,-27.35%,0.72%,-,-,-,-
19,Shares Outstanding (Basic),139,120,120,120,120,120
20,Shares Outstanding (Diluted),139,120,120,120,120,120
21,Shares Change (YoY),15.37%,-0.30%,-,-,-,-
22,EPS (Basic),0.31,0.49,0.49,0.42,0.49,0.49
23,EPS (Diluted),0.31,0.49,0.49,0.42,0.49,0.49
24,EPS Growth,-37.03%,1.02%,-,-,-,-
25,Free Cash Flow,39.13,30.52,30.52,53.8,19.7,19.7
26,Free Cash Flow Per Share,0.28,0.25,0.25,0.45,0.16,0.16
27,Gross Margin,64.10%,66.56%,66.56%,67.62%,65.21%,65.21%
28,Operating Margin,45.91%,53.17%,53.17%,52.77%,53.00%,53.00%
29,Profit Margin,40.65%,45.39%,45.39%,47.24%,45.37%,45.37%
30,Free Cash Flow Margin,37.11%,23.31%,23.31%,50.26%,15.16%,15.16%
31,EBITDA,49.01,70.2,70.2,57.22,69.64,69.64
32,EBITDA Margin,46.49%,53.63%,53.63%,53.46%,53.57%,53.57%
33,D&A For EBITDA,0.61,0.61,0.61,0.74,0.74,0.74
34,EBIT,48.41,69.59,69.59,56.48,68.89,68.89
35,EBIT Margin,45.91%,53.17%,53.17%,52.77%,53.00%,53.00%
36,Effective Tax Rate,14.01%,14.48%,14.48%,14.49%,14.60%,14.60%
