,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+16 Quarters
,Period Ending,"Feb '25 Feb 25, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+16 Quarters
0,Market Capitalization,204413,195807,195807,243144,206565,258206,126951,126951,180744,217324,286179,279724,286179,268965,249600,230234,221627,301241,251751,279724,281875,Upgrade
1,Market Cap Growth,-24.17%,-24.17%,54.24%,91.53%,14.29%,18.81%,-55.64%,-54.62%,-36.84%,-19.20%,14.66%,21.50%,29.13%,-10.71%,-0.85%,-17.69%,-21.37%,16.67%,-26.88%,17.12%,16.96%,Upgrade
2,Enterprise Value,194420,186976,177534,244164,206987,243810,107301,105836,158777,180544,234223,225961,232417,191200,171834,163244,154638,234251,180239,222890,228327,Upgrade
3,Last Close Price,9500.00,9100.00,9100.00,11300.00,9076.36,11345.45,5039.27,5039.27,7174.56,8626.55,11359.72,10633.72,10879.11,10224.73,9488.55,8153.92,7849.10,10668.68,8915.96,9906.63,9982.83,Upgrade
4,PE Ratio,12.06,11.31,10.77,10.88,8.86,11.97,6.31,9.47,11.19,13.11,17.65,14.52,19.45,19.11,16.80,17.37,16.50,26.51,25.83,27.52,27.36,Upgrade
5,PS Ratio,0.98,0.94,0.88,0.98,0.81,1.09,0.55,0.64,0.94,1.13,1.56,1.43,1.45,1.29,1.16,1.09,1.10,1.54,1.34,1.46,1.49,Upgrade
6,PB Ratio,0.84,0.81,0.82,0.97,0.83,1.07,0.54,-,0.75,0.92,1.18,1.15,-,1.16,1.08,0.95,-,1.28,1.09,1.21,1.24,Upgrade
7,P/TBV Ratio,0.81,0.81,0.82,0.98,0.83,1.07,0.54,-,0.75,0.92,1.18,1.15,-,1.16,1.08,0.95,-,1.28,1.09,1.21,1.24,Upgrade
8,P/FCF Ratio,8.26,8.26,-,12.74,-90.44,-,-,-,-,-,-,-,-,-,-,32.31,20.20,-,12.19,17.89,13.56,Upgrade
9,P/OCF Ratio,4.03,4.03,-,6.38,6.71,12.42,-,6.37,19.23,-,23.31,-,-,6.70,6.40,4.69,5.37,9.91,7.84,16.06,11.62,Upgrade
10,EV/Sales Ratio,0.93,0.90,0.80,0.98,0.81,1.03,0.46,0.54,0.82,0.94,1.27,1.15,1.18,0.92,0.80,0.78,0.76,1.20,0.96,1.16,1.20,Upgrade
11,EV/EBITDA Ratio,3.93,3.76,3.59,4.58,3.89,4.90,2.29,2.83,3.95,4.36,5.76,5.02,6.00,5.46,5.52,5.72,5.15,7.84,5.41,6.23,6.16,Upgrade
12,EV/EBIT Ratio,9.97,9.42,9.02,10.11,8.24,10.74,5.03,8.10,10.05,11.02,-,12.66,18.63,18.73,23.34,30.59,25.12,-,23.91,25.72,25.51,Upgrade
13,EV/FCF Ratio,8.20,7.89,-,12.80,-90.63,-,-,-,-,-,-,-,-,-,-,22.91,14.09,-,8.72,14.26,10.99,Upgrade
14,Debt / Equity Ratio,0.03,0.03,0.03,0.04,0.06,0.10,0.07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
15,Debt / EBITDA Ratio,0.13,0.12,0.16,0.27,0.22,0.46,0.27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
16,Debt / FCF Ratio,0.27,0.27,-,0.57,-6.24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
17,Asset Turnover,0.61,0.65,0.69,0.88,0.79,-,-,-,-,-,-,-,0.68,0.71,-,-,0.80,0.68,0.70,0.79,Upgrade,
18,Inventory Turnover,63.51,44.88,53.62,70.55,100.66,79.35,-,-,-,-,-,-,-,63.03,81.21,-,-,137.30,98.46,87.20,76.62,Upgrade
19,Quick Ratio,0.61,0.61,1.27,1.53,1.25,1.10,1.29,-,2.60,1.64,-,3.32,-,1.79,1.79,2.23,-,2.46,2.75,2.48,2.87,Upgrade
20,Current Ratio,0.74,0.74,1.49,1.70,1.44,1.28,1.46,-,3.50,2.28,-,3.85,-,2.08,2.08,2.65,-,2.74,3.09,2.71,2.96,Upgrade
21,Return on Equity (ROE),6.37%,4.35%,6.60%,10.97%,7.87%,-,-,-,5.46%,0.18%,-,-,5.04%,5.34%,-,-,6.34%,2.71%,5.98%,4.77%,Upgrade,
22,Return on Assets (ROA),4.58%,3.07%,2.22%,6.90%,4.37%,-,-,-,-,-,-,-,1.92%,2.68%,-,-,-0.69%,0.93%,1.67%,2.98%,Upgrade,
23,Return on Capital (ROIC),5.50%,3.48%,2.48%,7.86%,5.11%,-,-,-,4.11%,-0.30%,-,-,2.27%,3.18%,-,-,-0.80%,1.07%,1.91%,3.38%,Upgrade,
24,Return on Capital Employed (ROCE),7.88%,8.02%,8.03%,9.33%,9.76%,8.58%,8.44%,-,6.54%,6.92%,-,7.36%,-,4.42%,3.18%,2.20%,-,-,3.27%,3.76%,3.94%,Upgrade
25,Earnings Yield,8.30%,8.84%,9.29%,9.19%,11.29%,8.35%,15.86%,10.56%,8.93%,7.63%,5.67%,6.89%,5.14%,5.23%,5.95%,5.76%,6.06%,3.77%,3.87%,3.63%,3.65%,Upgrade
26,FCF Yield,11.60%,12.11%,3.59%,7.85%,-1.11%,-2.04%,-,-18.85%,-11.18%,-12.17%,-6.06%,-,-6.21%,-2.91%,-1.75%,3.09%,4.95%,4.30%,8.21%,5.59%,7.37%,Upgrade
27,Dividend Yield,6.00%,-,-,-,-,-,-,-,-,6.61%,-,-,-,-,-,-,-,-,-,-,-,Upgrade
28,Payout Ratio,75.02%,331.59%,-,-,-,3.19%,-,-,-,-,10644.99%,-,-,295.62%,272.26%,-,-,-,-,-,-,Upgrade
29,Buyback Yield / Dilution,0.02%,-0.23%,-0.17%,0.17%,-0.04%,0.12%,3.09%,0.08%,-0.05%,0.17%,-,-,-,0.03%,-,-,-,4.54%,-,-,-,Upgrade
30,Total Shareholder Return,6.02%,-0.23%,-0.17%,0.17%,-0.04%,0.12%,3.09%,0.08%,-0.05%,6.78%,-,-,-,0.03%,-,-,-,4.54%,-,-,-,Upgrade
