,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+16 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+16 Quarters
0,Revenue,45133,46381,50718,65811,59737,72148,57780,47638,54692,37374,53183,46639,46731,49743,54241,57153,53859,45200,45978,50521,Upgrade
1,Revenue Growth (YoY),-24.45%,-35.71%,-12.22%,38.15%,9.22%,93.04%,8.65%,2.14%,17.04%,-24.87%,-1.95%,-18.40%,-13.24%,10.05%,17.97%,13.13%,16.06%,-6.97%,4.32%,30.63%,Upgrade
2,Cost of Revenue,31318,35425,39909,48378,45515,54904,45455,35032,42514,31115,38901,33684,38225,41373,47345,46977,47812,39249,39152,42585,Upgrade
3,Gross Profit,13816,10956,10808,17432,14222,17244,12325,12606,12178,6259,14281,12955,8506,8370,6896,10176,6047,5951,6826,7937,Upgrade
4,"Selling, General & Admin",8370,7435,8212,9145,8936,9252,8756,6753,8240,6554,7970,6526,6406,5356,5964,6013,6794,4963,5075,4881,Upgrade
5,Operating Expenses,8370,7435,8212,9145,8936,9252,8756,6753,8240,6554,7970,6526,6406,5356,5964,6013,6794,4963,5075,4881,Upgrade
6,Operating Income,5445,3521,2597,8287,5286,7992,3569,5852,3938,-294.8,6311,6429,2100,3015,932.09,4163,-746.68,987.89,1751,3056,Upgrade
7,Interest Expense,-126.73,-154.75,-227.55,-375.46,-142.7,-162.68,-,-120.05,-21.36,-12.38,-0.66,-34.09,-,-6.01,-,-,-0.83,-,-,-4.56,Upgrade
8,Interest & Investment Income,471.16,66.28,1942,288.26,723.6,699.89,1665,296.01,643.71,102.87,2159,202.87,869.39,470.49,2285,1264,1348,170.24,2281,205.45,Upgrade
9,Other Non Operating Income (Expenses),-945.03,-78.66,458.47,242.1,-29.63,39.08,736.79,198.23,-457.19,359.02,952.25,162.63,686.49,515.98,496.42,351.27,3097,808.18,113.85,119.73,Upgrade
10,Pretax Income,4845,3354,4769,8442,5837,8568,5971,6226,4103,154.72,9422,6761,3656,3995,3714,5778,3698,1966,4145,3377,Upgrade
11,Income Tax Expense,1008,698.96,665.84,1729,1127,1738,913.08,1258,830.42,43.54,1625,1365,744.13,833.91,467.52,1021,8.96,404.43,724.34,684.64,Upgrade
12,Net Income,3836,2655,4104,6714,4709,6831,5058,4968,3272,111.17,7797,5396,2911,3161,3246,4757,3689,1562,3421,2692,Upgrade
13,Net Income to Common,3836,2655,4104,6714,4709,6831,5058,4968,3272,111.17,7797,5396,2911,3161,3246,4757,3689,1562,3421,2692,Upgrade
14,Net Income Growth,-18.54%,-61.13%,-18.86%,35.12%,43.91%,6044.03%,-35.14%,-7.92%,12.40%,-96.48%,140.19%,13.43%,-21.08%,102.40%,-5.11%,76.72%,78.20%,-21.12%,-3.90%,115.64%,Upgrade
15,Shares Outstanding (Basic),22,22,21,22,22,22,22,22,22,22,22,21,22,-,-,-,22,-,-,-,Upgrade
16,Shares Outstanding (Diluted),22,22,21,22,22,22,22,22,22,22,22,21,22,-,-,-,22,-,-,-,Upgrade
17,Shares Change (YoY),0.23%,0.17%,-0.17%,0.04%,-0.12%,-3.09%,-0.08%,0.05%,-0.17%,-,-,-,-0.03%,-,-,-,-4.54%,-,-,-,Upgrade
18,EPS (Basic),178.00,123.00,191.00,312.00,219.00,317.00,235.00,231.00,152.00,5.00,362.00,251.00,135.00,-,-,-,171.00,-,-,-,Upgrade
19,EPS (Diluted),178.00,123.00,191.00,312.00,219.00,317.00,235.00,231.00,152.00,5.00,362.00,251.00,135.00,-,-,-,171.00,-,-,-,Upgrade
20,EPS Growth,-18.72%,-61.20%,-18.72%,35.06%,44.08%,6240.00%,-35.08%,-7.97%,12.59%,-,-,-,-21.05%,-,-,-,86.66%,-,-,-,Upgrade
21,Free Cash Flow,16267,-12061,17646,1856,-421.79,-,-3718,-1135,-15587,-3489,-,-7380,-6470,-6470,2558,2558,-3017,5026,6405,4541,Upgrade
22,Free Cash Flow Per Share,754.73,-558.78,821.33,86.26,-19.61,-,-172.77,-52.75,-723.97,-156.91,-,-343.28,-300.00,-,-,-,-139.85,-,-,-,Upgrade
23,Dividend Per Share,-,-,-,-,-,-,-,-,570.000,-,-,-,-,-,-,-,-,-,-,-,Upgrade
24,Gross Margin,30.61%,23.62%,21.31%,26.49%,23.81%,23.90%,21.33%,26.46%,22.27%,16.75%,26.85%,27.78%,18.20%,16.83%,12.71%,17.80%,11.23%,13.17%,14.85%,15.71%,Upgrade
25,Operating Margin,12.07%,7.59%,5.12%,12.59%,8.85%,11.08%,6.18%,12.28%,7.20%,-0.79%,11.87%,13.79%,4.49%,6.06%,1.72%,7.28%,-1.39%,2.19%,3.81%,6.05%,Upgrade
26,Profit Margin,8.50%,5.72%,8.09%,10.20%,7.88%,9.47%,8.75%,10.43%,5.98%,0.30%,14.66%,11.57%,6.23%,6.36%,5.98%,8.32%,6.85%,3.46%,7.44%,5.33%,Upgrade
27,Free Cash Flow Margin,36.04%,-26.00%,34.79%,2.82%,-0.71%,-,-6.44%,-2.38%,-28.50%,-9.34%,-,-15.82%,-13.85%,-13.01%,4.72%,4.48%,-5.60%,11.12%,13.93%,8.99%,Upgrade
28,EBITDA,12848,10944,10130,15867,12515,14743,10109,12383,9563,5398,12902,13516,8850,9765,6584,9814,4966,7180,8061,9686,Upgrade
29,EBITDA Margin,28.47%,23.60%,19.97%,24.11%,20.95%,20.43%,17.50%,25.99%,17.49%,14.44%,24.26%,28.98%,18.94%,19.63%,12.14%,17.17%,9.22%,15.89%,17.53%,19.17%,Upgrade
30,D&A For EBITDA,7402,7423,7534,7580,7229,6751,6539,6531,5625,5692,6591,7086,6751,6751,5651,5651,5712,6192,6310,6630,Upgrade
31,EBIT,5445,3521,2597,8287,5286,7992,3569,5852,3938,-294.8,6311,6429,2100,3015,932.09,4163,-746.68,987.89,1751,3056,Upgrade
32,EBIT Margin,12.07%,7.59%,5.12%,12.59%,8.85%,11.08%,6.18%,12.28%,7.20%,-0.79%,11.87%,13.79%,4.49%,6.06%,1.72%,7.28%,-1.39%,2.19%,3.81%,6.05%,Upgrade
33,Effective Tax Rate,20.81%,20.84%,13.96%,20.48%,19.32%,20.28%,15.29%,20.20%,20.24%,28.14%,17.25%,20.19%,20.36%,20.87%,12.59%,17.67%,0.24%,20.57%,17.47%,20.28%,Upgrade
34,Revenue as Reported,45133,46381,50718,65811,59737,72148,57780,47638,54692,37374,53183,46639,46731,49743,54241,57153,53859,45200,45978,50521,Upgrade
