,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q2 2016,Q1 2016,Q2 2015,Q1 2015
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jun '16 Jun 30, 2016","Mar '16 Mar 31, 2016","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015"
0,Operating Revenue,164.88,150.64,48.61,212.02,118.73,141.53,40.88,199.99,100,99.74,33.55,119.39,119.39,56.69,56.69,12,12,6.84,6.84
1,Other Revenue,-,-,-,1.35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Revenue,164.88,150.64,48.61,213.37,118.73,141.53,40.88,199.99,100,99.74,33.55,119.39,119.39,56.69,56.69,12,12,6.84,6.84
3,Revenue Growth (YoY),38.88%,6.43%,18.91%,6.69%,18.73%,41.90%,21.84%,67.51%,-16.24%,75.93%,-40.82%,894.81%,894.81%,729.05%,729.05%,-,-,-,-
4,Cost of Revenue,128.73,113.18,31.48,149.48,83.92,95.08,23.46,105.29,68.52,61.63,19.1,60.08,60.08,35.2,35.2,5.38,5.38,2.73,2.73
5,Gross Profit,36.15,37.46,17.13,63.89,34.81,46.45,17.42,94.71,31.48,38.11,14.45,59.31,59.31,21.49,21.49,6.62,6.62,4.11,4.11
6,"Selling, General & Admin",17.71,16.44,16.04,19.04,17.34,20.31,15.44,16.88,15.52,12.76,13.83,15.58,15.58,12.55,12.55,5.32,5.32,3.41,3.41
7,Research & Development,6.36,6.8,5.26,8.69,6.1,6.87,5.9,8.93,6.01,5.83,4.94,6.03,6.03,4.6,4.6,-,-,-,-
8,Other Operating Expenses,-0.33,0.62,0.12,3.15,-0.26,-1.42,-0.59,3.1,-1.09,-1.66,-0.63,0.18,0.18,0.12,0.12,0.07,0.07,0.05,0.05
9,Operating Expenses,23.47,27.84,16.43,35.32,25.09,31.64,17.79,36.38,20.19,22.49,17.13,26.93,26.93,17.25,17.25,5.39,5.39,3.45,3.45
10,Operating Income,12.68,9.62,0.69,28.56,9.72,14.81,-0.37,58.32,11.29,15.62,-2.68,32.38,32.38,4.24,4.24,1.23,1.23,0.66,0.66
11,Interest Expense,-0.05,-0.06,-0.06,-0.03,-0.11,-0.21,-0.05,-0.1,-0.07,-0.06,-0.05,-0.06,-0.06,-0.08,-0.08,-,-,-,-
12,Interest & Investment Income,2.77,4.71,2.19,2.53,4.12,0.84,-,0.1,0.09,0.45,0.21,0.24,0.24,0.42,0.42,-,-,-,-
13,Other Non Operating Income (Expenses),-0.03,-0.47,-0.05,0.26,0.06,-0.59,0.16,-0.15,0.09,-0.11,-0.23,0.03,0.03,-0,-0,0.55,0.55,0.03,0.03
14,EBT Excluding Unusual Items,15.37,13.81,2.78,31.33,13.78,14.85,-0.26,58.17,11.41,15.9,-2.75,32.59,32.59,4.58,4.58,1.78,1.78,0.69,0.69
15,Gain (Loss) on Sale of Investments,0.73,-0.32,-0.73,0.16,0.11,-0.15,0.16,0.06,-,-0.2,0.2,-,-,-,-,-,-,-,-
16,Gain (Loss) on Sale of Assets,0,-,-0,0.33,-0.03,0.29,-,0.04,-,-0.02,-,-,-,0.01,0.01,-,-,-,-
17,Asset Writedown,-0.13,-0.21,0.16,0.26,-0.29,-0.1,0.1,0.08,-0.09,-0.02,0.02,-0,-0,-,-,-0.32,-0.32,-0.26,-0.26
18,Other Unusual Items,-0.45,0.45,-,4.2,-,-,-,4.64,-0.08,0.08,-,1.53,1.53,0.83,0.83,-,-,-,-
19,Pretax Income,15.53,13.72,2.2,36.28,13.57,14.88,-0,62.99,11.23,15.75,-2.54,34.12,34.12,5.41,5.41,1.46,1.46,0.43,0.43
20,Income Tax Expense,2.36,1.84,0.71,4.94,2.02,1.01,0.57,9.89,1.81,1.63,-0.65,5.14,5.14,0.82,0.82,0.32,0.32,0.1,0.1
21,Earnings From Continuing Operations,13.17,11.88,1.49,31.35,11.55,13.87,-0.58,53.1,9.42,14.12,-1.88,28.98,28.98,4.6,4.6,1.13,1.13,0.33,0.33
22,Minority Interest in Earnings,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.18,-0.18
23,Net Income,13.17,11.88,1.49,31.35,11.55,13.87,-0.58,53.1,9.42,14.12,-1.88,28.98,28.98,4.6,4.6,1.13,1.13,0.15,0.15
24,Net Income to Common,13.17,11.88,1.49,31.35,11.55,13.87,-0.58,53.1,9.42,14.12,-1.88,28.98,28.98,4.6,4.6,1.13,1.13,0.15,0.15
25,Net Income Growth,14.03%,-14.36%,-,-40.96%,22.57%,-1.77%,-,83.25%,-67.48%,207.35%,-,2452.95%,2452.95%,2890.79%,2890.79%,-,-,-,-
26,Shares Outstanding (Basic),60,60,60,65,60,50,45,45,45,43,47,44,44,46,46,10,10,10,10
27,Shares Outstanding (Diluted),60,60,60,65,60,50,45,45,45,43,47,44,44,46,46,10,10,10,10
28,Shares Change (YoY),-0.03%,20.03%,33.33%,44.47%,33.39%,16.47%,-4.46%,1.85%,1.87%,-6.50%,2.38%,347.56%,347.56%,348.62%,348.62%,-,-,-,-
29,EPS (Basic),0.22,0.20,0.02,0.48,0.19,0.28,-0.01,1.18,0.21,0.33,-0.04,0.66,0.66,0.10,0.10,0.12,0.12,0.01,0.01
30,EPS (Diluted),0.22,0.20,0.02,0.48,0.19,0.28,-0.01,1.18,0.21,0.33,-0.04,0.66,0.66,0.10,0.10,0.12,0.12,0.01,0.01
31,EPS Growth,14.06%,-28.66%,-,-59.14%,-8.11%,-15.66%,-,79.91%,-68.08%,228.72%,-,470.42%,470.42%,566.67%,566.67%,-,-,-,-
32,Free Cash Flow,-96.39,136.81,-186.35,142.74,-32.76,-17.06,-97.55,97.24,-14.07,-9.07,-84.11,-20.52,-20.52,27.58,27.58,-6.76,-6.76,-6.47,-6.47
33,Free Cash Flow Per Share,-1.61,2.28,-3.11,2.20,-0.55,-0.34,-2.17,2.16,-0.31,-0.21,-1.79,-0.46,-0.46,0.60,0.60,-0.69,-0.69,-0.63,-0.63
34,Dividend Per Share,-,-,-,0.400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35,Gross Margin,21.92%,24.87%,35.23%,29.94%,29.32%,32.82%,42.61%,47.36%,31.48%,38.21%,43.06%,49.68%,49.68%,37.91%,37.91%,55.13%,55.13%,60.14%,60.14%
36,Operating Margin,7.69%,6.39%,1.42%,13.39%,8.18%,10.46%,-0.91%,29.16%,11.29%,15.66%,-7.99%,27.12%,27.12%,7.49%,7.49%,10.24%,10.24%,9.62%,9.62%
37,Profit Margin,7.99%,7.89%,3.06%,14.69%,9.73%,9.80%,-1.41%,26.55%,9.42%,14.16%,-5.61%,24.27%,24.27%,8.11%,8.11%,9.46%,9.46%,2.25%,2.25%
38,Free Cash Flow Margin,-58.46%,90.82%,-383.36%,66.90%,-27.59%,-12.05%,-238.63%,48.62%,-14.07%,-9.09%,-250.72%,-17.19%,-17.19%,48.64%,48.64%,-56.36%,-56.36%,-94.67%,-94.67%
39,EBITDA,13.39,10.57,1.4,29.27,10.27,15.37,0.18,58.88,11.81,16.16,-2.16,32.9,32.9,4.77,4.77,1.47,1.47,0.84,0.84
40,EBITDA Margin,8.12%,7.02%,2.88%,13.72%,8.65%,10.86%,0.44%,29.44%,11.81%,16.20%,-6.43%,27.56%,27.56%,8.42%,8.42%,12.24%,12.24%,12.25%,12.25%
41,D&A For EBITDA,0.7,0.95,0.7,0.7,0.55,0.56,0.55,0.55,0.52,0.54,0.52,0.52,0.52,0.53,0.53,0.24,0.24,0.18,0.18
42,EBIT,12.68,9.62,0.69,28.56,9.72,14.81,-0.37,58.32,11.29,15.62,-2.68,32.38,32.38,4.24,4.24,1.23,1.23,0.66,0.66
