,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q2 2016,Q1 2016,Q2 2015,Q1 2015
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jun '16 Jun 30, 2016","Mar '16 Mar 31, 2016","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015"
0,Cash & Equivalents,297.42,395.48,395.99,587.49,445.64,506.19,20.36,117.72,-,44.44,-,136.58,136.58,68.39,68.39,7.49,7.49,-,-
1,Trading Asset Securities,142.14,141.26,20.76,20.6,20.43,10.01,20.35,20.18,-,-,-,-,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,439.56,536.74,416.75,608.09,466.07,516.2,40.7,137.9,-,44.44,136.58,136.58,136.58,68.39,68.39,7.49,7.49,-,-
3,Cash Growth,-5.69%,3.98%,923.87%,340.96%,-,1061.50%,-70.20%,0.97%,-,-35.01%,99.71%,1723.93%,1723.93%,-,-,-,-,-,-
4,Accounts Receivable,461.81,402.16,352.19,363.67,380.07,368.83,319.47,343.77,-,274.11,-,256.41,256.41,208.15,208.15,40.99,40.99,-,-
5,Other Receivables,9.37,2.25,10.22,7.93,9.14,8.08,7.2,6.82,-,0.35,-,0.33,0.33,7.85,7.85,2.19,2.19,-,-
6,Receivables,471.18,404.41,362.41,371.6,389.21,376.91,326.67,350.59,-,274.46,-,256.74,256.74,216,216,43.18,43.18,-,-
7,Inventory,263.53,220.38,106.4,60.56,91.5,99.67,67.97,31.05,-,48.81,-,39.39,39.39,36.08,36.08,-,-,-,-
8,Prepaid Expenses,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.18,0.18,-,-
9,Other Current Assets,21.79,46.85,75.42,14.41,19.35,14.64,10.95,8.28,-,13.18,-,9.18,9.18,7.62,7.62,-,-,-,-
10,Total Current Assets,1196,1208,960.98,1055,966.13,1007,446.3,527.82,-,380.9,-,441.89,441.89,328.09,328.09,50.84,50.84,-,-
11,"Property, Plant & Equipment",160.37,135.14,122.37,110.01,106.46,99.42,80.01,70.49,-,35.31,-,16.07,16.07,11.87,11.87,6.06,6.06,-,-
12,Long-Term Investments,4.33,4.22,5.05,5.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,Goodwill,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,-,1.67,-,1.67,1.67,1.67,1.67,-,-,-,-
14,Other Intangible Assets,14.32,14.46,14.55,14.71,14.76,14.67,14.82,14.91,-,15.19,-,15.41,15.41,15.65,15.65,-,-,-,-
15,Long-Term Deferred Tax Assets,10.87,10.45,10.01,10.2,9.32,8.83,7.77,8.34,-,7.61,-,6.2,6.2,5.53,5.53,0.6,0.6,-,-
16,Long-Term Deferred Charges,1.08,1.05,0.99,0.23,0.19,0.22,0.73,0.24,-,0.3,-,0.29,0.29,0.4,0.4,0.56,0.56,-,-
17,Other Long-Term Assets,18.53,6.2,3.17,1.99,2.86,1.31,-,0.31,-,-,-,-,-,-,-,-,-,-,-
18,Total Assets,1407,1382,1119,1199,1101,1134,551.3,623.79,-,440.99,-,481.53,481.53,363.22,363.22,58.06,58.06,-,-
19,Accounts Payable,211.11,198,82.27,151.48,105.26,134.84,69.99,114.01,-,41.67,-,81.41,81.41,51.34,51.34,1.6,1.6,-,-
20,Accrued Expenses,13.66,34.91,8.51,49.11,14.69,30.28,8.36,47.5,-,26.66,-,37.92,37.92,22.9,22.9,1.9,1.9,-,-
21,Short-Term Debt,-,-,-,-,-,-,0.2,-,-,0.2,-,-,-,-,-,5.5,5.5,-,-
22,Current Portion of Long-Term Debt,-,-,-,-,-,0.01,-,0.01,-,0,-,-,-,-,-,-,-,-,-
23,Current Portion of Leases,2.75,3.57,4.77,4.26,4.58,4.32,2.02,2.37,-,2.8,-,3.04,3.04,2.56,2.56,-,-,-,-
24,Current Income Taxes Payable,26.69,2.67,28.22,9.96,21.38,2.09,27.93,13.28,-,2.7,-,13.26,13.26,0.58,0.58,2.05,2.05,-,-
25,Current Unearned Revenue,196.1,192.43,39.47,31.93,30.13,35.31,25.89,27.94,-,13.03,-,14.59,14.59,15.34,15.34,-,-,-,-
26,Other Current Liabilities,2.88,8.51,2.1,2.34,2.05,2.3,1.85,2.85,-,10.01,-,2.89,2.89,0.24,0.24,6.85,6.85,-,-
27,Total Current Liabilities,453.19,440.1,165.34,249.07,178.1,209.15,136.25,207.96,-,97.07,-,153.12,153.12,92.96,92.96,17.89,17.89,-,-
28,Long-Term Debt,-,-,-,-,-,12.6,10.2,10.2,-,2,-,-,-,-,-,10,10,-,-
29,Long-Term Leases,1.26,1.44,1.72,0.39,5.01,5.36,1.93,2.4,-,1.81,-,1.12,1.12,1.49,1.49,-,-,-,-
30,Long-Term Deferred Tax Liabilities,0.31,0.18,0.04,0.04,0.01,0,0.02,0.01,-,-,-,-,-,-,-,-,-,-,-
31,Total Liabilities,454.76,441.71,167.1,249.5,183.11,227.11,148.39,220.57,-,100.87,-,154.24,154.24,94.45,94.45,27.89,27.89,-,-
32,Common Stock,60,60,60,60,60,60,45,45,-,45,-,45,45,45,45,10.01,10.01,-,-
33,Additional Paid-In Capital,549.05,548.76,548.48,548.19,547.9,547.62,72.97,72.68,-,72.11,-,71.54,71.54,70.96,70.96,-,-,-,-
34,Retained Earnings,344.27,331.1,343.22,341.73,310.37,298.82,284.94,285.54,-,223,-,210.76,210.76,152.81,152.81,20.15,20.15,-,-
35,Treasury Stock,-0.85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,Shareholders' Equity,952.47,939.86,951.69,949.92,918.27,906.44,402.91,403.22,-,340.11,327.3,327.3,327.3,268.77,268.77,30.16,30.16,-,-
37,Total Liabilities & Equity,1407,1382,1119,1199,1101,1134,551.3,623.79,-,440.99,-,481.53,481.53,363.22,363.22,58.06,58.06,-,-
38,Total Debt,4.01,5.01,6.48,4.64,9.59,22.3,14.34,14.99,-,6.82,4.16,4.16,4.16,4.06,4.06,15.5,15.5,-,-
39,Net Cash (Debt),435.55,531.73,410.27,603.45,456.48,493.9,26.36,122.91,-,37.63,132.41,132.41,132.41,64.33,64.33,-8.01,-8.01,-,-
40,Net Cash Growth,-4.59%,7.66%,1456.47%,390.95%,-,1212.63%,-80.09%,-7.18%,-,-41.51%,105.84%,-,-,-,-,-,-,-,-
41,Net Cash Per Share,7.26,8.85,6.85,9.28,7.61,9.87,0.59,2.73,-,0.88,2.81,3.00,3.00,1.40,1.40,-0.81,-0.81,-,-
42,Filing Date Shares Outstanding,60,60,60,60,60,60,45,45,45,45,47.05,45,45,45,45,9.87,9.87,10.24,10.24
43,Total Common Shares Outstanding,60,60,60,60,60,60,45,45,45,45,47.05,45,45,45,45,9.87,9.87,10.24,10.24
44,Working Capital,742.86,768.28,795.64,805.59,788.03,798.27,310.06,319.86,-,283.83,-,288.78,288.78,235.14,235.14,32.95,32.95,-,-
45,Book Value Per Share,15.87,15.66,15.86,15.83,15.30,15.11,8.95,8.96,-,7.56,7.27,7.27,7.27,5.97,5.97,3.06,3.06,-,-
46,Tangible Book Value,936.48,923.73,935.47,933.54,901.84,890.09,386.41,386.63,-,323.24,310.22,310.22,310.22,251.45,251.45,30.16,30.16,-,-
47,Tangible Book Value Per Share,15.61,15.40,15.59,15.56,15.03,14.83,8.59,8.59,-,7.18,6.89,6.89,6.89,5.59,5.59,3.06,3.06,-,-
48,Buildings,-,3.68,-,3.68,-,3.68,-,3.68,-,3.68,-,3.68,3.68,3.68,3.68,-,-,-,-
49,Machinery,-,16.68,-,16.4,-,14.88,-,12.37,-,11.78,-,11.04,11.04,10.56,10.56,-,-,-,-
50,Construction In Progress,-,119.29,-,94.37,-,79.85,-,58.55,-,23.25,-,4.51,4.51,-,-,-,-,-,-
