,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q2 2016,Q1 2016,Q2 2015,Q1 2015
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jun '16 Jun 30, 2016","Mar '16 Mar 31, 2016","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015"
0,Market Capitalization,2179,1920,1988,2231,2611,2605,2621,-,-,-,-,-,-,-,-,-,-,-,-,-
1,Market Cap Growth,-26.28%,-26.28%,-24.15%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1744,1388,1578,1774,2154,2111,2595,-,-,-,-,-,-,-,-,-,-,-,-,-
3,Last Close Price,36.32,32.00,33.14,36.72,42.97,42.87,43.15,-,-,-,-,-,-,-,-,-,-,-,-,-
4,PE Ratio,38.43,33.17,35.34,38.29,46.46,33.42,34.57,-,-,-,-,-,-,-,-,-,-,-,-,-
5,PS Ratio,3.85,3.32,3.74,4.27,5.07,5.20,5.43,-,-,-,-,-,-,-,-,-,-,-,-,-
6,PB Ratio,2.29,2.02,2.12,2.34,2.75,2.84,2.89,-,-,-,-,-,-,-,-,-,-,-,-,-
7,P/TBV Ratio,2.05,2.05,2.15,2.38,2.80,2.89,2.95,-,-,-,-,-,-,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-,32.90,-,-564.49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,24.88,-,17.72,-,56.85,-,123.78,-,-,-,-,-,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,3.02,2.40,2.97,3.40,4.19,4.21,5.38,-,-,-,-,-,-,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,29.39,25.42,30.64,31.52,39.11,24.92,30.09,-,-,-,-,-,-,-,-,-,-,-,-,-
12,EV/EBIT Ratio,33.82,26.93,32.48,32.99,40.86,25.59,30.87,-,-,-,-,-,-,-,-,-,-,-,-,-
13,EV/FCF Ratio,-546.09,-,26.11,-,-465.78,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.00,0.00,0.01,0.01,0.00,0.01,0.02,0.04,0.04,-,0.02,0.01,0.01,0.01,0.02,0.02,0.51,0.51,-,-
15,Debt / EBITDA Ratio,0.07,0.07,0.10,1.16,0.03,0.23,0.32,19.86,0.06,-,0.10,-,0.03,0.03,0.19,0.19,2.64,2.64,-,-
16,Debt / FCF Ratio,-,-,0.08,-,-1.00,-,-,-,-1.50,-,-,-,-,-,0.10,0.54,-,-,-,-
17,Asset Turnover,0.47,0.48,0.17,0.74,0.42,0.67,0.28,-,-,-,-,0.99,1.13,0.62,-,0.83,-,-,-,
18,Inventory Turnover,2.38,2.13,2.77,1.51,7.86,3.51,4.54,1.90,-,-,-,-,6.10,6.37,3.90,-,-,-,-,-
19,Quick Ratio,2.01,2.01,2.14,4.71,3.93,4.80,4.27,2.70,2.35,-,3.29,-,2.57,2.57,3.06,3.06,2.83,2.83,-,-
20,Current Ratio,2.64,2.64,2.75,5.81,4.23,5.42,4.82,3.28,2.54,-,3.92,-,2.89,2.89,3.53,3.53,2.84,2.84,-,-
21,Return on Equity (ROE),5.57%,5.02%,0.63%,13.42%,5.06%,8.48%,-0.57%,-,-,16.93%,-2.30%,35.41%,38.89%,6.84%,-,15.05%,-,-,-,
22,Return on Assets (ROA),2.27%,1.92%,0.15%,6.21%,2.17%,4.40%,-0.16%,-,-,-,-,16.81%,19.16%,2.92%,-,5.29%,-,-,-,
23,Return on Capital (ROIC),3.33%,2.53%,0.18%,7.59%,2.62%,5.50%,-0.22%,-,-,11.51%,-2.02%,24.42%,26.79%,3.89%,-,6.73%,-,-,-,
24,Return on Capital Employed (ROCE),5.40%,5.40%,5.16%,5.64%,5.55%,8.93%,9.09%,-,19.85%,-,22.59%,-,22.30%,12.82%,4.05%,2.72%,9.39%,6.33%,-,-
25,Earnings Yield,2.66%,3.01%,2.83%,2.61%,2.15%,2.99%,2.89%,-,-,-,-,-,-,-,-,-,-,-,-,-
26,FCF Yield,-0.15%,-0.17%,3.04%,-4.19%,-0.18%,-1.92%,-1.20%,-,-,-,-,-,-,-,-,-,-,-,-,-
27,Dividend Yield,1.09%,-,-,-,0.93%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,Payout Ratio,41.46%,-,202.01%,-,-,0.15%,2.74%,-,0.29%,0.44%,0.13%,-,0.00%,0.00%,0.74%,0.74%,8.48%,8.48%,34.75%,34.75%
29,Buyback Yield / Dilution,-22.50%,0.03%,-20.03%,-33.33%,-44.47%,-33.39%,-16.47%,4.46%,-1.85%,-1.87%,6.50%,-2.38%,-347.56%,-347.56%,-348.62%,-348.62%,-,-,-,-
30,Total Shareholder Return,-21.40%,0.03%,-20.03%,-33.33%,-43.54%,-33.39%,-16.47%,4.46%,-1.85%,-1.87%,6.50%,-2.38%,-347.56%,-347.56%,-348.62%,-348.62%,-,-,-,-
