,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,6326,3734,6630,6705,2126,2277,2154,3249,2597,1771,1098
1,Market Cap Growth,-44.31%,-44.31%,211.91%,194.52%,-1.33%,-29.93%,-17.05%,83.43%,136.51%,50.97%,-25.46%
2,Enterprise Value,7043,6211,7634,7587,2847,3068,2679,3917,2728,1829,1091
3,Last Close Price,0.83,0.49,0.87,0.88,0.28,0.30,0.28,0.43,0.39,0.34,0.25
4,PE Ratio,-,-,-,-,19.68,-9.37,-,-,25.97,-,15.25
5,PS Ratio,36.56,21.59,38.33,32.08,8.64,9.86,9.79,15.26,11.81,7.47,5.72
6,PB Ratio,6.00,3.21,5.36,3.86,1.14,1.24,1.32,1.69,1.51,1.57,1.11
7,P/TBV Ratio,3.56,3.56,-,4.28,19.32,1.37,1.32,1.70,1.51,1.65,1.18
8,P/FCF Ratio,-,-,-,-,15.98,12.31,6.39,8.18,26.77,-,-
9,P/OCF Ratio,-,-44.99,-,-,13.63,9.86,5.48,7.56,23.61,-,-30.50
10,EV/Sales Ratio,40.71,35.90,44.13,36.30,11.57,13.28,12.18,18.39,12.40,7.72,5.68
11,EV/EBITDA Ratio,-,-517.61,-,92.53,28.47,52.89,76.55,48.36,42.63,-,33.05
12,EV/EBIT Ratio,-,-,-,-,43.80,153.39,-1339.71,-,113.67,-,-181.78
13,EV/FCF Ratio,-80.95,-,-,-,21.40,16.58,7.95,9.87,28.13,-,-
14,Debt / Equity Ratio,0.57,0.57,0.72,0.56,0.49,0.51,0.69,0.70,0.64,0.33,0.43
15,Debt / FCF Ratio,-,-,-,-,6.85,5.05,3.34,3.39,11.37,-,-
16,Return on Capital Employed (ROCE),-,-,-,-,2.58%,0.81%,-0.09%,-,0.97%,-,-0.48%
17,Earnings Yield,-7.10%,-12.02%,-6.98%,-1.01%,5.08%,-10.67%,-19.12%,3.45%,3.85%,-0.62%,6.56%
18,FCF Yield,-1.38%,-2.33%,-1.52%,0.52%,6.26%,8.13%,15.64%,12.22%,3.73%,-3.90%,-
19,Buyback Yield / Dilution,-0.22%,-0.14%,-0.13%,0.13%,-0.60%,-4.23%,-31.26%,-47.16%,-30.13%,-18.34%,-18.58%
20,Total Shareholder Return,-0.22%,-0.14%,-0.13%,0.13%,-0.60%,-4.23%,-31.26%,-47.16%,-30.13%,-18.34%,-18.58%
