,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Jan '20 Jan 1, 2020",+20 Quarters
0,Revenue,3219265,3379052,2548540,2793378,2874552,3254850,3050374,3184202,3344066,4011440,3209514,2725600,2415393,3474967,2781965,3619394,2825871,2893586,3185762,3770561,Upgrade
1,Revenue Growth (YoY),11.99%,3.82%,-16.45%,-12.27%,-14.04%,-18.86%,-4.96%,16.83%,38.45%,15.44%,15.37%,-24.69%,-14.53%,20.09%,-12.68%,-4.01%,-15.18%,-20.63%,-8.35%,0.87%,Upgrade
2,Cost of Revenue,2874589,2982558,2227908,2524170,2569934,2867362,2670712,2835372,2900720,3375726,2691145,2385804,2128507,3132516,2451484,3255849,2533270,2528907,2856170,3456639,Upgrade
3,Gross Profit,344676,396494,320632,269208,304618,387488,379662,348830,443345,635714,518369,339796,286886,342451,330481,363546,292601,364679,329592,313923,Upgrade
4,"Selling, General & Admin",112641,127573,117264,138856,108221,105603,118920,146229,127953,194226,153292,98076,103419,125925,100296,131990,92076,95272,106900,145854,Upgrade
5,Operating Expenses,112641,127573,117264,138856,108221,105603,118920,146229,127953,194226,153292,98076,103419,125925,100296,131990,92076,95272,106900,145854,Upgrade
6,Operating Income,232034,268921,203367,130352,196397,281885,260742,202601,315393,441488,365077,241720,183468,216526,230185,231556,200526,269407,222692,168069,Upgrade
7,Interest Expense,-164351,-173563,-147695,-176224,-161923,-219964,-183644,-145532,-122154,-97764,-104950,-86231,-116047,-124677,-118591,-136593,-128583,-132495,-120352,-26943,Upgrade
8,Interest & Investment Income,38664,37716,15286,51553,55947,37515,29531,38054,56219,51952,84959,55498,33048,32745,61856,58883,55970,55500,42215,-,Upgrade
9,Currency Exchange Gain (Loss),-,-12346,7251,-5283,-,18651,-16139,-26477,-,-33965,13653,-2160,-,-,4291,3849,-,-,13306,2803,Upgrade
10,Other Non Operating Income (Expenses),-18489,3893,6693,11052,-14416,443.76,3144,7569,3230,4255,3268,-3555,180648,-1203,7091,-297.36,-572.84,-10335,6490,-12266,Upgrade
11,EBT Excluding Unusual Items,87859,124622,84902,11450,76005,118531,93635,76214,252687,365966,362007,205272,281116,123391,184834,157398,127340,182076,164352,131663,Upgrade
12,Gain (Loss) on Sale of Investments,-,-264.46,-,17630,-,-,-,-391.02,-,5485,-,-22.5,-,-,-439.7,-78,-,-,-8225,1844,Upgrade
13,Gain (Loss) on Sale of Assets,-,35.3,-,361.42,-,-,1529,-10779,-,10795,-,175.84,-,-,-8031,1368,-,-,74.75,41.32,Upgrade
14,Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,79662,Upgrade
15,Pretax Income,87859,124393,84902,29441,76005,118531,95164,65044,252687,382245,362007,205426,281116,123391,176363,158687,127340,182076,156202,213211,Upgrade
16,Income Tax Expense,16640,18418,9347,35360,9563,12804,9715,72.07,27936,33473,37918,26592,13686,21446,20685,16759,8882,20798,5509,-8234,Upgrade
17,Earnings From Continuing Operations,71219,105975,75555,-5918,66441,105727,85450,64972,224751,348772,324089,178834,267430,101946,155678,141929,118458,161278,150693,221444,Upgrade
18,Minority Interest in Earnings,-21869,-17532,-17079,6137,-21101,-25230,-16471,-24021,-72116,-122785,-115273,-44742,-6571,-15860,-36278,-35107,-20027,-25627,-16133,-27238,Upgrade
19,Net Income,49350,88443,58476,218.77,45341,80497,68978,40952,152635,225987,208816,134092,260860,86086,119400,106821,98431,135651,134560,194206,Upgrade
20,Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,2000,-,-,-,-,-,-,-,2000,-,-,-,-,Upgrade
21,Net Income to Common,49350,88443,58476,218.77,45341,80497,68978,38952,152635,225987,208816,134092,260860,86086,119400,104821,98431,135651,134560,194206,Upgrade
22,Net Income Growth,8.84%,9.87%,-15.23%,-99.47%,-70.29%,-64.38%,-66.97%,-69.46%,-41.49%,162.51%,74.89%,25.53%,165.02%,-36.54%,-11.27%,-45.00%,-27.31%,66.21%,-40.38%,138.42%,Upgrade
23,Shares Outstanding (Basic),341,370,370,370,370,370,370,367,346,345,303,370,370,370,370,370,370,370,370,363,Upgrade
24,Shares Outstanding (Diluted),341,370,370,370,370,370,370,367,346,530,488,370,370,370,370,370,370,370,370,363,Upgrade
25,Shares Change (YoY),-7.85%,-,-,0.83%,7.13%,-30.22%,-24.12%,-0.82%,-6.65%,43.30%,31.79%,-,-0.06%,-,-,1.97%,-0.34%,1261.65%,-45.11%,-1.94%,Upgrade
26,EPS (Basic),144.66,238.92,157.97,0.59,122.48,217.45,186.34,106.10,441.71,654.33,689.67,362.23,704.68,232.55,322.54,283.16,265.73,366.45,363.50,534.98,Upgrade
27,EPS (Diluted),144.66,238.82,157.97,0.59,122.48,217.45,186.18,106.10,441.71,425.56,428.18,361.54,704.68,232.55,194.72,-12.30,265.73,366.45,363.50,534.83,Upgrade
28,EPS Growth,18.11%,9.82%,-15.16%,-99.44%,-72.27%,-48.90%,-56.52%,-70.65%,-37.32%,83.00%,119.89%,-,165.18%,-36.54%,-46.43%,-,-27.06%,-87.79%,8.62%,143.06%,Upgrade
29,Free Cash Flow,-180824,-339024,-564549,-288847,-19962,-242026,-41515,-396911,-1219573,277110,-483693,133053,128385,141364,74293,-47790,-751784,-58605,-1155474,-1081761,Upgrade
30,Free Cash Flow Per Share,-530.06,-915.84,-1525.07,-780.29,-53.92,-653.81,-112.15,-1081.10,-3529.35,522.39,-991.45,359.43,346.82,381.88,200.69,-129.10,-2029.59,-158.31,-3121.38,-2979.93,Upgrade
31,Dividend Per Share,-,-,-,-,-,-,-,-,-,-,-,1363.636,-,-,-,-,-,-,-,-,Upgrade
32,Gross Margin,10.71%,11.73%,12.58%,9.64%,10.60%,11.90%,12.45%,10.96%,13.26%,15.85%,16.15%,12.47%,11.88%,9.85%,11.88%,10.04%,10.35%,12.60%,10.35%,8.33%,Upgrade
33,Operating Margin,7.21%,7.96%,7.98%,4.67%,6.83%,8.66%,8.55%,6.36%,9.43%,11.01%,11.37%,8.87%,7.60%,6.23%,8.27%,6.40%,7.10%,9.31%,6.99%,4.46%,Upgrade
34,Profit Margin,1.53%,2.62%,2.29%,0.01%,1.58%,2.47%,2.26%,1.22%,4.56%,5.63%,6.51%,4.92%,10.80%,2.48%,4.29%,2.90%,3.48%,4.69%,4.22%,5.15%,Upgrade
35,Free Cash Flow Margin,-5.62%,-10.03%,-22.15%,-10.34%,-0.69%,-7.44%,-1.36%,-12.47%,-36.47%,6.91%,-15.07%,4.88%,5.32%,4.07%,2.67%,-1.32%,-26.60%,-2.03%,-36.27%,-28.69%,Upgrade
36,EBITDA,332679,334340,356208,237636,288406,390038,403919,320721,405122,540322,471226,342861,286783,334133,320717,306664,273490,340921,294393,237130,Upgrade
37,EBITDA Margin,10.33%,9.89%,13.98%,8.51%,10.03%,11.98%,13.24%,10.07%,12.11%,13.47%,14.68%,12.58%,11.87%,9.62%,11.53%,8.47%,9.68%,11.78%,9.24%,6.29%,Upgrade
38,D&A For EBITDA,100645,65419,152841,107284,92009,108153,143177,118120,89730,98834,106148,101142,103315,117607,90531,75108,72964,71514,71701,69061,Upgrade
39,EBIT,232034,268921,203367,130352,196397,281885,260742,202601,315393,441488,365077,241720,183468,216526,230185,231556,200526,269407,222692,168069,Upgrade
40,EBIT Margin,7.21%,7.96%,7.98%,4.67%,6.83%,8.66%,8.55%,6.36%,9.43%,11.01%,11.37%,8.87%,7.60%,6.23%,8.27%,6.40%,7.10%,9.31%,6.99%,4.46%,Upgrade
41,Effective Tax Rate,18.94%,14.81%,11.01%,120.10%,12.58%,10.80%,10.21%,0.11%,11.06%,8.76%,10.47%,12.94%,4.87%,17.38%,11.73%,10.56%,6.98%,11.42%,3.53%,-,Upgrade
42,Revenue as Reported,3219265,3379052,2548540,2793378,2874552,3254850,3050374,3184202,3344066,4011440,3209514,2725600,2415393,3474967,2781965,3619394,2825871,2893586,3185762,3770561,Upgrade
