,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Revenue,622.51,627.42,620.27,577.75,604.62,651.09,578.96,450.36,354.92
1,Revenue Growth (YoY),0.36%,8.60%,2.59%,-11.26%,4.43%,44.57%,63.12%,-,-
2,Cost of Revenue,413.36,429.51,408.43,399.55,352.87,355.9,293.28,252.09,196.62
3,Gross Profit,209.15,197.9,211.84,178.2,251.76,295.19,285.68,198.28,158.3
4,"Selling, General & Admin",124.34,131.56,70.53,117.58,78.2,137.21,62.58,87.23,53.42
5,Operating Expenses,124.34,131.56,70.53,117.58,78.2,137.21,62.58,87.23,53.42
6,Operating Income,84.81,66.34,141.3,60.62,173.56,157.98,223.1,111.05,104.88
7,Interest Expense,-0.14,-0.11,-0.01,-0.13,-0.24,-0.47,-0.09,-0.02,-0.03
8,Interest & Investment Income,32.03,39.95,45.57,22.82,10.07,1.09,0.45,0.66,0.44
9,Earnings From Equity Investments,0.65,0.05,0.28,0.16,0.11,0.06,0.12,-0.03,-
10,Currency Exchange Gain (Loss),-,0.12,-,1.93,-,15.88,-,-,-
11,Other Non Operating Income (Expenses),0.85,3.63,9.46,8.92,2.44,2.66,3.84,1.58,4.09
12,EBT Excluding Unusual Items,118.2,109.98,196.6,94.31,185.93,177.21,227.42,113.25,109.39
13,Impairment of Goodwill,-,-0.75,-,-,-,-,-,-,-
14,Gain (Loss) on Sale of Assets,0.01,0,0,-0.11,0.12,0.01,0.02,0.04,0
15,Other Unusual Items,0.31,44.05,0.2,-,0.19,-1.26,-19.77,-,-
16,Pretax Income,118.52,153.29,196.8,94.2,186.24,175.96,207.68,113.29,109.39
17,Income Tax Expense,34.71,31.33,55.52,18.73,49.09,44,53.51,31.96,28.21
18,Earnings From Continuing Operations,83.81,121.96,141.29,75.47,137.15,131.96,154.17,81.33,81.18
19,Minority Interest in Earnings,-3.38,-2.71,-3.49,-1.61,-2.93,-1.86,-3.66,-4.13,-2.65
20,Net Income,80.43,119.25,137.8,73.85,134.22,130.1,150.51,77.2,78.53
21,Net Income to Common,80.43,119.25,137.8,73.85,134.22,130.1,150.51,77.2,78.53
22,Net Income Growth,-41.63%,61.47%,2.67%,-43.23%,-10.82%,68.52%,91.66%,-,-
23,Shares Outstanding (Basic),1935,1978,2020,2075,2075,2068,1500,1502,1197
24,Shares Outstanding (Diluted),1935,1978,2020,2075,2075,2068,1500,1502,1197
25,Shares Change (YoY),-4.20%,-4.67%,-2.66%,0.36%,38.33%,37.68%,25.36%,-,-
26,EPS (Basic),0.04,0.06,0.07,0.04,0.06,0.06,0.10,0.05,0.07
27,EPS (Diluted),0.04,0.06,0.07,0.04,0.06,0.06,0.10,0.05,0.07
28,EPS Growth,-39.07%,69.39%,5.47%,-43.44%,-35.54%,22.40%,52.89%,-,-
29,Free Cash Flow,69.58,84.39,113.22,45.48,51.02,301.23,133.82,249.54,43.84
30,Free Cash Flow Per Share,0.04,0.04,0.06,0.02,0.02,0.15,0.09,0.17,0.04
31,Operating Margin,13.62%,10.57%,22.78%,10.49%,28.71%,24.26%,38.53%,24.66%,29.55%
32,Profit Margin,12.92%,19.01%,22.22%,12.78%,22.20%,19.98%,26.00%,17.14%,22.13%
33,Free Cash Flow Margin,11.18%,13.45%,18.25%,7.87%,8.44%,46.26%,23.11%,55.41%,12.35%
34,EBITDA,107.44,74.95,148.92,67.93,180.05,162.6,225.45,113.77,107.13
35,D&A For EBITDA,22.63,8.61,7.62,7.31,6.49,4.61,2.36,2.72,2.24
36,EBIT,84.81,66.34,141.3,60.62,173.56,157.98,223.1,111.05,104.88
