,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Cash & Equivalents,963.86,1157,2163,1227,2928,2900,912.98,503.94,-
1,Short-Term Investments,-,2.65,-,2.34,-,2.38,-,1.51,-
2,Cash & Short-Term Investments,963.86,1160,2163,1230,2928,2902,912.98,505.46,-
3,Cash Growth,-55.44%,-5.66%,-26.12%,-57.63%,220.67%,474.13%,-,-,-
4,Accounts Receivable,381.71,274.43,237.61,181.78,120.65,71.76,132.07,73.55,-
5,Other Receivables,896.72,703.21,-,30.84,-,13.03,-,498.62,-
6,Receivables,1278,977.64,237.61,212.63,120.65,84.79,132.07,572.17,-
7,Other Current Assets,199.47,132.72,60.01,1024,29.21,11.65,23.97,13.9,-
8,Total Current Assets,2442,2270,2461,2467,3078,2998,1069,1092,-
9,"Property, Plant & Equipment",1047,1058,34.59,34.81,35.45,45.66,18.02,11.73,-
10,Long-Term Investments,2.91,2.26,2.21,1.93,1.77,1.66,1.6,1.48,-
11,Goodwill,-,-,0.75,0.75,0.75,0.75,0.75,0.75,-
12,Other Intangible Assets,0.27,0.4,0.53,0.65,0.78,0.91,1.03,1.16,-
13,Long-Term Deferred Tax Assets,58.46,58.92,25.21,27.41,9.16,9.16,6.54,7.84,-
14,Other Long-Term Assets,5.02,6.1,6.48,8.38,6.95,2.18,7.51,3.18,-
15,Total Assets,3555,3396,3284,3185,3132,3059,1104,1118,-
16,Accounts Payable,146.83,118.38,84.05,75.06,77.46,76.8,48.7,51.18,-
17,Accrued Expenses,-,152.04,-,152.98,-,128.19,53.61,246.61,-
18,Short-Term Debt,-,-,-,-,13.68,47.06,-,-,-
19,Current Portion of Leases,-,0.67,-,4.1,-,5.77,-,-,-
20,Current Income Taxes Payable,42.71,41.96,45.98,52.33,44.69,37.8,31.69,67.01,-
21,Current Unearned Revenue,305.49,253.31,247.25,197.81,160.17,192.44,155.12,108.65,-
22,Other Current Liabilities,296.41,153.43,267.84,113.89,329.49,119.74,195.23,106.24,-
23,Total Current Liabilities,791.44,719.79,645.12,596.16,625.48,607.79,484.34,579.68,-
24,Long-Term Leases,3.14,-,-,0.67,2.74,8.21,1.57,-,-
25,Long-Term Deferred Tax Liabilities,0.07,0.1,0.13,0.16,0.2,0.23,0.26,0.29,-
26,Total Liabilities,794.65,719.89,645.25,596.98,628.42,616.23,486.17,579.97,-
27,Common Stock,16.02,16.02,16.74,17.29,17.29,17.29,0.01,0.01,-
28,Additional Paid-In Capital,1616,1615,1697,1800,1888,1887,178,175.63,-
29,Retained Earnings,1106,1026,906.44,768.64,606.23,560.57,430.47,290.45,-
30,Comprehensive Income & Other,-1.14,-0.61,1.43,-12.92,-20.62,-32.71,1.7,55.63,-
31,Total Common Equity,2737,2656,2621,2573,2491,2433,610.18,521.71,-
32,Minority Interest,24.09,20.71,18,14.51,12.9,9.97,8.11,15.98,-
33,Shareholders' Equity,2761,2676,2639,2588,2504,2443,618.28,537.68,-
34,Total Liabilities & Equity,3555,3396,3284,3185,3132,3059,1104,1118,-
35,Total Debt,3.14,0.67,-,4.77,16.42,61.04,1.57,-,-
36,Net Cash (Debt),960.72,1159,2163,1225,2911,2841,911.41,505.46,-
37,Net Cash Growth,-55.58%,-5.35%,-25.70%,-56.89%,219.42%,462.06%,-,-,-
38,Net Cash Per Share,0.50,0.59,1.07,0.59,1.40,1.37,0.61,0.34,-
39,Filing Date Shares Outstanding,1935,1935,2015,2075,2075,2075,1500,2000,1197
40,Total Common Shares Outstanding,1935,1935,2015,2075,2075,2075,1500,2000,1197
41,Working Capital,1650,1551,1815,1870,2452,2391,584.67,511.85,-
42,Book Value Per Share,1.41,1.37,1.30,1.24,1.20,1.17,0.41,0.26,-
43,Tangible Book Value,2736,2655,2620,2572,2490,2431,608.4,519.8,-
44,Tangible Book Value Per Share,1.41,1.37,1.30,1.24,1.20,1.17,0.41,0.26,-
45,Machinery,-,75.52,-,58.59,-,47.53,-,22.07,-
