,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,542,503,1006,2962,3901,3341,7532,-,-,-
1,Market Cap Growth,-83.02%,-83.02%,-74.21%,-11.34%,-48.21%,-,-,-,-,-
2,Enterprise Value,-465,-751,-1312,1594,506,-192,6446,-,-,-
3,Last Close Price,0.28,0.26,0.52,1.47,1.88,1.56,3.52,-,-,-
4,PE Ratio,2.55,2.34,3.55,12.95,16.58,10.79,21.87,-,-,-
5,Forward PE,-,8.68,8.68,8.68,9.21,7.03,14.31,-,-,-
6,PS Ratio,0.41,0.37,0.73,2.29,2.92,2.27,4.99,-,-,-
7,PB Ratio,0.18,0.17,0.34,1.04,1.33,1.14,2.51,-,-,-
8,P/TBV Ratio,0.17,0.17,0.34,1.05,1.34,1.15,2.52,-,-,-
9,P/FCF Ratio,3.27,3.04,4.62,17.27,35.76,8.10,14.10,-,-,-
10,P/OCF Ratio,2.81,2.81,4.24,15.38,31.66,7.53,13.27,-,-,-
11,PEG Ratio,0.61,0.61,0.61,0.61,1.16,0.38,0.30,-,-,-
12,EV/Sales Ratio,-,-,-,1.23,0.38,-,4.27,-,-,-
13,EV/EBITDA Ratio,-,-,-,6.80,1.80,-,13.53,-,-,-
14,EV/EBIT Ratio,-,-,-,7.30,1.91,-,13.78,-,-,-
15,EV/FCF Ratio,-2.81,-,-,9.29,4.64,-,12.07,-,-,-
16,Debt / Equity Ratio,0.00,0.00,0.00,-,0.00,0.01,0.02,0.00,-,-
17,Debt / FCF Ratio,0.02,0.02,0.00,-,0.05,0.05,0.14,0.00,-,-
18,Return on Capital Employed (ROCE),5.47%,5.47%,7.76%,7.65%,9.05%,13.23%,15.55%,53.88%,40.14%,-
19,Earnings Yield,39.60%,42.65%,28.14%,7.72%,6.03%,9.27%,4.57%,-,-,-
20,FCF Yield,30.54%,32.89%,21.64%,5.79%,2.80%,12.35%,7.09%,-,-,-
21,Buyback Yield / Dilution,4.44%,4.20%,4.67%,2.66%,-0.36%,-38.33%,-37.68%,-25.36%,-,-
22,Total Shareholder Return,4.44%,4.20%,4.67%,2.66%,-0.36%,-38.33%,-37.68%,-25.36%,-,-
