,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 11, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,1020,1246,1491,1382,1602,1394,2029,2502,2698,2644,-
1,Market Cap Growth,-9.87%,-9.87%,-6.94%,-0.89%,-21.06%,-44.28%,-24.77%,-5.34%,-,-,-
2,Enterprise Value,1398,1152,1957,1559,2348,1757,2807,2989,3308,3534,-
3,Last Close Price,2.58,3.05,3.54,3.05,3.44,2.92,4.12,4.97,5.29,5.11,-
4,PE Ratio,3.39,4.14,4.78,4.65,6.30,5.94,9.24,10.36,11.77,16.24,-
5,Forward PE,-,3.62,4.60,4.56,5.61,5.18,5.76,7.67,9.20,10.69,-
6,PS Ratio,0.98,1.19,1.46,1.45,1.79,1.61,2.42,3.34,4.09,4.58,-
7,PB Ratio,0.41,0.50,0.62,0.61,0.72,0.62,0.90,1.14,1.29,1.40,-
8,P/TBV Ratio,0.50,0.50,0.62,0.61,0.72,0.62,0.90,1.14,1.29,1.40,-
9,P/FCF Ratio,4.55,-,6.30,-,5.21,-,6.06,-,-16.43,-,-
10,P/OCF Ratio,2.94,-,2.89,-,3.26,-,4.01,-,11.00,-,-
11,EV/Sales Ratio,1.34,1.10,1.91,1.64,2.63,2.03,3.35,3.99,5.02,6.12,-
12,EV/EBITDA Ratio,2.74,2.34,3.96,3.40,5.77,4.36,7.00,7.72,9.90,11.69,-
13,EV/EBIT Ratio,3.63,2.99,4.82,3.97,6.83,5.11,8.30,9.24,12.31,14.58,-
14,EV/FCF Ratio,6.23,-,8.27,-,7.64,-,8.38,-,-20.14,-,-
15,Debt / Equity Ratio,0.36,0.36,0.35,0.36,0.39,0.42,0.43,0.72,0.64,0.65,1.11
16,Debt / FCF Ratio,4.02,-,3.55,-,2.85,-,2.87,-,-8.13,-,-15.83
17,Return on Capital Employed (ROCE),11.60%,11.60%,12.87%,12.93%,11.30%,10.98%,10.66%,9.51%,9.04%,8.34%,10.12%
18,Earnings Yield,29.47%,24.13%,20.94%,21.52%,15.87%,16.82%,10.83%,9.66%,8.50%,6.16%,-
19,FCF Yield,21.99%,18.01%,15.87%,14.68%,19.19%,15.24%,16.51%,9.96%,-6.09%,-14.37%,-
20,Dividend Yield,7.75%,3.28%,-,3.28%,-,-,-,-,-,-,-
21,Buyback Yield / Dilution,0.15%,0.08%,0.22%,1.33%,3.72%,3.27%,0.85%,-2.78%,-38.35%,-34.46%,-
22,Total Shareholder Return,7.90%,3.36%,0.22%,4.60%,3.72%,3.27%,0.85%,-2.78%,-38.35%,-34.46%,-
