,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 11, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,2520950,2667000,2476500,2698750,2495550,2413000,2413000,2286000,2114550,1873250,1968500,1905000,2019300,1911350,1866900,1765300,1609725,1593850,1543050,1524000,1428750,Upgrade
1,Market Cap Growth,10.53%,10.53%,2.63%,18.06%,18.02%,28.81%,22.58%,20.00%,4.72%,-1.99%,5.44%,7.91%,25.44%,19.92%,20.99%,15.83%,12.67%,5.02%,-2.41%,-6.61%,-14.12%,Upgrade
2,Enterprise Value,2751993,2891789,2692594,2952144,2740810,2723158,2743001,2581273,2351660,2120360,2190815,2212106,2325173,2240071,2185963,2172758,2013323,2061445,2003082,1983051,1939660,Upgrade
3,PE Ratio,14.16,14.98,14.94,29.42,26.79,19.20,14.10,8.96,6.65,5.86,7.39,9.69,11.97,11.65,10.21,7.99,7.07,9.03,11.27,15.62,14.84,Upgrade
4,PS Ratio,4.68,4.95,4.84,6.73,6.48,5.60,4.74,3.70,2.96,2.58,3.03,3.42,3.98,3.86,3.55,3.01,2.67,2.99,3.40,4.37,4.76,Upgrade
5,PB Ratio,2.34,1.95,1.82,2.03,1.89,1.80,1.74,1.68,1.59,1.36,1.42,1.46,1.68,1.57,1.50,1.46,1.41,1.29,1.31,1.38,1.38,Upgrade
6,P/FCF Ratio,10.30,10.90,8.50,14.41,10.44,22.65,13.93,9.67,-,4.41,6.09,5.96,6.58,6.60,5.26,4.69,4.89,4.96,-3.59,-3.14,-3.04,Upgrade
7,P/OCF Ratio,6.95,6.95,5.73,11.56,7.78,12.80,-,7.64,-,4.35,5.89,5.80,6.23,6.06,4.88,4.32,4.55,4.70,4.89,5.95,5.25,Upgrade
8,EV/Sales Ratio,5.11,5.37,5.26,7.36,7.12,6.32,5.39,4.18,3.29,2.92,3.38,3.97,4.58,4.52,4.16,3.70,3.34,3.87,4.41,5.68,6.47,Upgrade
9,EV/EBITDA Ratio,7.96,8.33,8.02,12.24,11.35,9.60,7.98,5.76,4.35,3.84,4.42,5.39,6.39,6.40,5.88,5.14,4.59,5.43,6.24,8.34,9.99,Upgrade
