,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,136343,192732,98768,110826,109434,82050,82789,156671,187844,189792,180972,167471,110670,98136,130859,155575,140659,159562,146213,86578,Upgrade
1,Revenue Growth (YoY),24.59%,134.90%,19.30%,-29.26%,-41.74%,-56.77%,-54.25%,-6.45%,69.73%,93.40%,38.30%,7.65%,-21.32%,-38.50%,-10.50%,79.69%,129.11%,191.72%,50.27%,3.66%,Upgrade
2,"Selling, General & Admin",21475,15403,13464,14034,20389,12993,14119,12805,28220,12656,12308,12063,18817,11702,11726,12526,16761,13309,11962,11540,Upgrade
3,Other Operating Expenses,59039,58177,54791,38572,44177,44551,38460,46520,58413,51734,48444,46206,47607,45822,45445,47899,58123,54187,46381,40908,Upgrade
4,Total Operating Expenses,80514,73581,68256,52605,64567,57544,52579,59326,86633,64390,60752,58269,66424,57524,57172,60425,74884,67497,58342,52448,Upgrade
5,Operating Income,55829,119151,30512,58221,44868,24506,30210,97345,101211,125403,120220,109203,44246,40612,73687,95150,65774,92065,87870,34130,Upgrade
6,Interest Expense,-906.16,-1171,-675.72,-1689,-1973,-2230,-2468,-2701,-3023,-3514,-4174,-4951,-5374,-5708,-6230,-6623,-7485,-8790,-9793,-10263,Upgrade
7,Interest Income,3065,1055,840.89,2715,2788,2720,3613,2151,4077,6944,2181,1377,1970,4542,6338,3476,1683,3656,4731,1103,Upgrade
8,Net Interest Expense,2158,-115.42,165.17,1026,814.38,490.27,1145,-550.34,1053,3430,-1993,-3574,-3404,-1166,107.68,-3147,-5802,-5134,-5062,-9160,Upgrade
9,Income (Loss) on Equity Investments,-992.3,-205.13,-122.12,-294.76,-1434,-296.44,-411.4,200.59,-169.9,107.54,-186.49,-3.79,-17.24,-4.07,-135.99,-,62.52,-62.52,-,-,Upgrade
10,Currency Exchange Gain (Loss),-,-,-,-,-0.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
11,Other Non-Operating Income (Expenses),1710,323.39,2581,26.33,-217.98,-17.3,-39.02,25.45,-15.14,-1868,-93.42,10.64,-918.24,-392.49,868.58,64.94,-3933,3759,739.9,96.97,Upgrade
12,EBT Excluding Unusual Items,58705,119154,33136,58979,44030,24683,30905,97021,102079,127073,117947,105635,39907,39049,74527,92068,56101,90627,83548,25067,Upgrade
