,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,10666,10069,8353,7309,7334,6688,7608,7235,6713,7384,8155,Upgrade
1,Market Cap Growth,37.76%,37.76%,13.90%,9.29%,-3.59%,-7.56%,13.33%,-2.02%,-17.68%,-9.17%,-5.48%,Upgrade
2,Enterprise Value,4270,4290,2794,1856,2103,2547,3865,3517,8339,9733,10808,Upgrade
3,Last Close Price,4.29,3.96,3.16,2.56,2.57,2.16,2.46,2.28,2.03,2.09,2.31,Upgrade
4,PE Ratio,8.60,8.12,6.43,8.89,16.86,9.13,7.24,10.73,-,12.11,-,Upgrade
5,Forward PE,7.80,7.45,7.45,7.45,7.76,5.72,6.10,5.82,5.28,5.66,5.81,Upgrade
6,PS Ratio,16.87,15.92,13.70,12.16,11.90,10.63,11.95,21.86,-,24.95,-,Upgrade
7,PB Ratio,0.67,0.64,0.54,0.48,0.49,0.44,0.49,0.48,0.46,0.60,0.67,Upgrade
8,P/TBV Ratio,0.64,0.64,0.54,0.48,0.49,0.44,0.50,0.48,0.46,0.61,0.67,Upgrade
9,P/FCF Ratio,21.58,-,15.49,-,49.28,24.67,64.19,-,-,52.23,-,Upgrade
10,P/OCF Ratio,16.06,-,13.51,-,47.53,21.49,47.32,-,-,43.03,-,Upgrade
11,PEG Ratio,-,-,-,-,-,-,-,-,-,0.59,0.59,Upgrade
12,EV/Sales Ratio,6.75,6.78,4.58,3.09,3.41,4.05,6.07,10.63,-,32.89,-,Upgrade
13,EV/EBITDA Ratio,3.43,15.24,10.69,7.27,8.31,8.94,13.15,17.32,-,56.59,-,Upgrade
14,EV/EBIT Ratio,3.88,28.46,-,14.02,15.15,15.79,25.15,27.41,-,86.69,-,Upgrade
15,EV/FCF Ratio,8.64,-,5.18,-,14.13,9.40,32.61,-,-,68.85,-,Upgrade
16,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.21,Upgrade
17,Debt / FCF Ratio,0.08,-,0.08,-,0.24,0.07,0.19,-,-,12.98,-,Upgrade
18,Return on Capital Employed (ROCE),0.94%,0.94%,-,0.86%,0.92%,1.05%,0.98%,0.84%,-,0.80%,-,Upgrade
19,Earnings Yield,11.62%,12.31%,15.55%,11.25%,5.93%,10.96%,13.81%,9.32%,-,8.26%,-,Upgrade
20,FCF Yield,4.63%,4.91%,6.46%,-0.32%,2.03%,4.05%,1.56%,-1.15%,-,1.91%,-,Upgrade
21,Dividend Yield,5.83%,6.32%,7.92%,8.58%,7.77%,9.24%,8.12%,3.50%,-,3.83%,-,Upgrade
22,Total Shareholder Return,5.83%,6.32%,7.92%,8.58%,7.77%,9.24%,8.12%,3.50%,-,3.83%,-,Upgrade
