,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Revenue,331.24,301.14,308.73,292.36,323.7,305.54,330.98,-,295.94,-,Upgrade
1,Revenue Growth (YoY),7.29%,3.00%,-4.62%,-4.31%,-2.20%,-,11.84%,-,-60.43%,-,Upgrade
2,Cost of Revenue,153.63,195.71,155.84,176.65,151.65,188.52,164.73,-,145.47,-,Upgrade
3,Gross Profit,177.61,105.44,152.89,115.71,172.05,117.02,166.25,-,150.47,-,Upgrade
4,"Selling, General & Admin",55.1,94.36,57.65,94.51,69.53,81.18,72.61,-,72.49,-,Upgrade
5,Other Operating Expenses,-30.04,12.93,-34.21,18.29,-33.37,10.44,-34.66,-,-34.3,-,Upgrade
6,Operating Expenses,25.06,107.29,23.44,112.79,36.16,91.62,37.96,-,38.18,-,Upgrade
7,Operating Income,152.56,-1.86,129.45,2.92,135.89,25.4,128.29,-,112.28,-,Upgrade
8,Interest Expense,-0.89,-0.66,-0.42,-0.38,-0.47,-0.56,-0.58,-,-3.99,-,Upgrade
9,Interest & Investment Income,128.82,165.64,127.24,124.62,10.78,62.62,18.62,-,0.41,-,Upgrade
10,Earnings From Equity Investments,506.03,443.36,534.33,450.98,261.1,485.11,598.39,-,501.2,-,Upgrade
11,Currency Exchange Gain (Loss),-33.71,-10.92,15.11,-11.56,15.59,7.12,-10.1,-,4.73,-,Upgrade
12,EBT Excluding Unusual Items,752.81,595.56,805.71,566.58,422.88,579.68,734.62,-,614.64,-,Upgrade
13,Gain (Loss) on Sale of Investments,-,-,-,-,-,-156.55,-,-,-,-,Upgrade
14,Gain (Loss) on Sale of Assets,-,-0.47,-,249.48,-,-0.8,-,-,-,-,Upgrade
15,Asset Writedown,-,-,-,-629.77,-,-,-,-,-,-,Upgrade
16,Other Unusual Items,-,-,-,0.57,-,-,-,-,-,-,Upgrade
17,Pretax Income,752.81,595.08,805.71,186.85,422.88,422.32,734.62,-,614.64,-,Upgrade
18,Income Tax Expense,67.45,40.78,61.53,140.71,66.36,46.76,60.5,-,80.57,-,Upgrade
19,Earnings From Continuing Operations,685.36,554.3,744.18,46.14,356.52,375.56,674.13,-,534.07,-,Upgrade
20,Earnings From Discontinued Operations,-,-,-,-,-,-,-,-,75.44,-,Upgrade
21,Net Income to Company,685.36,554.3,744.18,46.14,356.52,375.56,674.13,-,609.51,-,Upgrade
22,Minority Interest in Earnings,0.01,0.12,0.01,31.91,0.33,0.32,0.39,-,0.29,-,Upgrade
23,Net Income,685.37,554.42,744.19,78.05,356.86,375.88,674.52,-,609.79,-,Upgrade
24,Net Income to Common,685.37,554.42,744.19,78.05,356.86,375.88,674.52,-,609.79,-,Upgrade
25,Net Income Growth,-7.90%,610.33%,108.54%,-79.24%,-47.09%,-,10.61%,-,-16.13%,-,Upgrade
26,Shares Outstanding (Basic),2486,2486,2486,2486,2486,2486,2486,-,2486,-,Upgrade
27,Shares Outstanding (Diluted),2486,2486,2486,2486,2486,2486,2486,-,2486,-,Upgrade
28,EPS (Basic),0.28,0.22,0.30,0.03,0.14,0.15,0.27,-,0.25,-,Upgrade
29,EPS (Diluted),0.28,0.22,0.30,0.03,0.14,0.15,0.27,-,0.25,-,Upgrade
30,EPS Growth,-7.89%,610.34%,108.57%,-79.24%,-47.11%,-,10.61%,-,-16.13%,-,Upgrade
31,Free Cash Flow,-147.84,642.13,-102.67,79.2,69.61,201.53,-83,-,141.36,-,Upgrade
32,Free Cash Flow Per Share,-0.06,0.26,-0.04,0.03,0.03,0.08,-0.03,-,0.06,-,Upgrade
33,Dividend Per Share,0.100,0.150,0.100,0.120,0.080,0.120,0.080,-,0.080,-,Upgrade
34,Dividend Growth,0%,25.00%,25.00%,0%,0%,-,0%,-,0%,-,Upgrade
35,Operating Margin,46.06%,-0.62%,41.93%,1.00%,41.98%,8.31%,38.76%,-,37.94%,-,Upgrade
36,Profit Margin,206.91%,184.11%,241.05%,26.70%,110.24%,123.02%,203.79%,-,206.05%,-,Upgrade
37,Free Cash Flow Margin,-44.63%,213.23%,-33.26%,27.09%,21.51%,65.96%,-25.08%,-,47.77%,-,Upgrade
38,EBITDA,216.06,65.37,196.06,59.17,194,90.96,203.06,-,172.01,-,Upgrade
39,D&A For EBITDA,63.5,67.22,66.6,56.25,58.11,65.56,74.77,251.56,59.72,186.82,Upgrade
40,EBIT,152.56,-1.86,129.45,2.92,135.89,25.4,128.29,-,112.28,-,Upgrade
