,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Market Capitalization,59,56,253,237,336,136,151,182,182,116,168,Upgrade
1,Market Cap Growth,-74.10%,-76.51%,-24.59%,73.39%,121.82%,-24.85%,-16.67%,57.14%,8.20%,-42.47%,-29.07%,Upgrade
2,Enterprise Value,64,45,223,171,229,32,36,82,98,31,92,Upgrade
3,Last Close Price,0.11,0.10,0.46,0.43,0.61,0.24,0.26,0.31,0.31,0.20,0.29,Upgrade
4,PE Ratio,-,-,-30.46,-,-,135.99,-,9.91,9.55,23.54,-,Upgrade
5,PS Ratio,0.19,0.18,0.80,1.51,-,0.87,-,0.62,0.68,0.40,0.46,Upgrade
6,PB Ratio,0.26,0.23,1.04,0.98,1.33,0.54,0.60,0.71,0.72,0.49,0.73,Upgrade
7,P/TBV Ratio,0.25,0.25,1.10,1.04,1.41,0.58,0.65,0.73,0.75,0.50,0.75,Upgrade
8,P/FCF Ratio,-,-,-72.72,-,-,4.53,-,4.75,3.82,2.75,4.41,Upgrade
9,P/OCF Ratio,1.24,1.24,9.20,-,-,3.64,-,4.30,3.53,2.67,3.90,Upgrade
10,EV/Sales Ratio,0.21,0.14,0.71,1.09,-,0.20,-,0.28,0.37,0.11,0.25,Upgrade
11,EV/EBITDA Ratio,1.75,4.17,63.65,-,-,3.29,-,2.70,3.21,1.45,3.29,Upgrade
12,EV/EBIT Ratio,12.25,-,-32.23,-,-,7.05,-,4.14,5.12,3.41,6.40,Upgrade
13,EV/FCF Ratio,-4.77,-,-64.22,-,-,1.05,-,2.14,2.06,0.74,2.42,Upgrade
14,Debt / Equity Ratio,0.37,0.37,0.36,0.39,0.27,0.18,0.14,0.13,0.16,0.21,0.25,Upgrade
15,Debt / FCF Ratio,-,-,-25.33,-,-,1.53,-,0.89,0.83,1.18,1.53,Upgrade
16,Return on Capital Employed (ROCE),1.45%,-,-2.54%,-,-,1.69%,-,7.47%,7.37%,3.62%,5.67%,Upgrade
17,Earnings Yield,-10.30%,-11.01%,-3.28%,-3.83%,-,0.74%,-,10.09%,10.47%,4.25%,3.39%,Upgrade
18,FCF Yield,-22.49%,-24.05%,-1.38%,-8.06%,-,22.09%,-,21.04%,26.17%,36.41%,22.69%,Upgrade
19,Dividend Yield,0.00%,-,-,-,-,-,-,2.59%,-,-,-,Upgrade
20,Total Shareholder Return,-,-,-,-,-,-,2.59%,-,-,-,Upgrade,
