,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Cash & Equivalents,89.42,100.04,116.36,125.02,136.33,113.91,122.83,106.57,93.34,101.53,Upgrade
1,Short-Term Investments,5.31,3.99,5.13,3.57,12.8,17.05,13.68,20,23.87,21.81,Upgrade
2,Trading Asset Securities,10.58,8.99,15.52,16.65,14.77,18.11,20.03,19.19,22.02,25.47,Upgrade
3,Cash & Short-Term Investments,105.31,113.02,137.01,145.25,163.9,149.07,156.54,145.75,139.22,148.8,Upgrade
4,Cash Growth,-23.14%,-22.19%,-16.40%,-2.56%,4.70%,2.28%,12.44%,-2.05%,-4.82%,-1.75%,Upgrade
5,Accounts Receivable,6.81,5.62,6.64,4.8,8.26,5.37,4.7,5.21,4.92,4.33,Upgrade
6,Other Receivables,0.08,1.41,1.6,6.39,-,0.48,-,0.32,-,0.34,Upgrade
7,Receivables,18.85,7.03,8.24,13.59,8.26,5.85,4.7,5.52,4.92,4.67,Upgrade
8,Inventory,7.13,5.33,6.2,7.79,8.06,9.56,7.23,6.61,6.36,6.8,Upgrade
9,Total Current Assets,131.29,125.37,151.45,166.63,180.22,164.49,168.47,157.88,150.51,160.27,Upgrade
10,"Property, Plant & Equipment",215.3,189.26,196.12,143.58,120.16,110.73,110.09,121.31,133.9,146.52,Upgrade
11,Long-Term Investments,13.13,12.24,39.21,12.03,44.1,48.29,45.97,47.4,42.97,15.03,Upgrade
12,Goodwill,0.78,0.73,-,0.73,-,6.6,0.73,0.73,0.73,0.73,Upgrade
13,Other Intangible Assets,-,-,0.73,-,7.76,1.31,-,-,-,-,Upgrade
14,Long-Term Deferred Tax Assets,-,0.26,-,0.71,1.05,2.38,2.54,3.06,2.34,2.13,Upgrade
15,Other Long-Term Assets,14.02,21.22,4.47,20.18,7.59,1.78,3.64,0.77,3.15,2.92,Upgrade
16,Total Assets,386.49,378.65,391.98,372.61,360.88,335.57,331.42,331.15,333.59,327.6,Upgrade
17,Accounts Payable,10.56,10.73,15.13,12.21,17.35,11.95,9.99,7.19,7.86,6,Upgrade
18,Accrued Expenses,32.28,30.45,36.18,28.77,38.39,13.96,23.08,13.78,31.33,13.87,Upgrade
19,Short-Term Debt,54.42,40.95,42.79,22.68,23.65,26.22,21.64,19.9,20.09,21.16,Upgrade
20,Current Portion of Leases,22.27,23.41,21.21,17.68,14.29,6.22,10.26,17.51,19.45,20.2,Upgrade
21,Current Income Taxes Payable,0.91,0.41,0.35,0.09,0.38,0.43,1.8,0.99,1.03,1.16,Upgrade
22,Current Unearned Revenue,-,-,-,5.42,-,11.76,-,11.55,-,9.77,Upgrade
23,Other Current Liabilities,1.18,0.15,0.15,1.08,0.33,5.75,0.37,1.04,0.47,1.32,Upgrade
24,Total Current Liabilities,121.61,106.11,115.8,87.93,94.4,76.29,67.13,71.97,80.23,73.48,Upgrade
25,Long-Term Leases,13.38,23.76,30.29,28.72,8.21,3.49,2.13,2.05,9.94,17,Upgrade
26,Long-Term Deferred Tax Liabilities,5.87,3.84,3.52,4.17,5.05,5.35,5.6,6.01,6.65,6.35,Upgrade
27,Other Long-Term Liabilities,0.88,0.88,-,-,0.02,0.17,0.32,0.47,0.62,0.77,Upgrade
28,Total Liabilities,141.73,134.59,149.62,120.82,107.67,85.3,75.18,80.5,97.44,97.6,Upgrade
29,Common Stock,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,Upgrade
30,Additional Paid-In Capital,132.92,132.92,132.92,132.92,132.92,132.92,132.92,132.92,132.92,132.92,Upgrade
31,Retained Earnings,66.81,73.68,72.97,80.04,100.23,99.23,106.03,101.53,87.71,82.53,Upgrade
32,Comprehensive Income & Other,19.92,17.75,17.83,20.59,3.15,4.15,4.13,4.19,3.96,2.91,Upgrade
33,Total Common Equity,225.15,229.85,229.21,239.05,241.81,241.8,248.57,244.15,230.09,223.85,Upgrade
34,Minority Interest,19.61,14.22,13.15,12.74,11.4,8.47,7.67,6.51,6.06,6.15,Upgrade
35,Shareholders' Equity,244.76,244.07,242.36,251.79,253.2,250.27,256.24,250.66,236.15,230.01,Upgrade
36,Total Liabilities & Equity,386.49,378.65,391.98,372.61,360.88,335.57,331.42,331.15,333.59,327.6,Upgrade
37,Total Debt,90.07,88.12,94.29,69.08,46.15,35.93,34.02,39.47,49.48,58.36,Upgrade
38,Net Cash (Debt),15.24,24.89,42.73,76.17,117.75,113.14,122.52,106.28,89.74,90.44,Upgrade
39,Net Cash Growth,-64.33%,-67.32%,-63.72%,-32.68%,-3.89%,6.46%,36.53%,17.51%,10.09%,-26.69%,Upgrade
40,Net Cash Per Share,0.03,0.05,0.08,-,0.21,-,0.22,0.19,0.16,0.16,Upgrade
