,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020"
0,Cash & Equivalents,-,1494,1673,2508,3293,2661,2868,2927,3496,2789,2216,769.24,937.05,607.11,585.32,-,846.84
1,Short-Term Investments,-,-,17.68,-,-,-,-,-,13.47,-,12.24,-,-,-,-,-,-
2,Trading Asset Securities,-,335.1,392.32,-,-,306.3,353.99,510.07,607.11,1111,1955,93.77,56.64,154.07,152.03,-,151.62
3,Cash & Short-Term Investments,1829,1829,2083,2508,3293,2967,3222,3437,4116,3901,4184,863.01,993.68,761.18,737.35,998.45,998.45
4,Cash Growth,-44.44%,-38.35%,-35.35%,-27.03%,-20.01%,-23.92%,-22.98%,298.31%,314.23%,412.43%,467.39%,-13.57%,-0.48%,-,-,-,-
5,Accounts Receivable,-,1858,1623,1540,1639,1534,1340,1188,1171,1255,1022,943.95,931.12,962.5,1223,-,1165
6,Other Receivables,-,31.6,35.34,34.13,38.85,43.87,42.45,57.53,46.96,36.5,22.15,26.74,18.08,20.75,1.17,-,17.38
7,Receivables,-,1890,1658,1574,1678,1578,1383,1246,1218,1292,1044,970.69,949.2,983.25,1225,-,1183
8,Inventory,-,1808,1768,1758,1620,1971,1784,1746,1567,1653,1517,1474,1360,1408,1309,-,882.64
9,Prepaid Expenses,-,-,28.48,-,16.87,-,17.66,-,10.85,-,12.52,-,12.3,-,-,-,-
10,Other Current Assets,-,97.63,76.11,113.25,48.81,99.29,59.14,83.89,41.41,93.74,50.97,67.78,51.86,62.94,92.58,-,41.55
11,Total Current Assets,-,5625,5615,5954,6656,6616,6465,6514,6954,6939,6808,3375,3367,3215,3364,-,3105
12,"Property, Plant & Equipment",-,1666,1516,1387,1342,1304,1220,1098,1032,843.08,695.88,646.92,625.84,541.1,457.21,-,270.89
13,Long-Term Investments,-,330.71,330.26,314.1,294.44,260.35,262.15,148.96,149.24,8.07,142.11,8.49,8.9,9.98,9.67,-,14.57
14,Other Intangible Assets,-,722.42,688.65,648.68,461.94,445.52,437.32,420.68,405.71,310.68,303.44,286.26,271.26,270.98,263.42,-,259.12
15,Long-Term Deferred Tax Assets,-,261.49,243.61,231.94,219.61,277.86,226.7,194.33,149,152.14,142.41,132.71,106.26,116.76,104.25,-,88.06
16,Long-Term Deferred Charges,-,386.26,358.75,323.97,274.04,208.76,178.2,144.03,123.38,129.58,115.8,96.37,92.18,79.33,74.83,-,135.27
17,Other Long-Term Assets,-,126.13,136.55,119.63,80.29,69.47,48.68,67.72,54.52,184.34,57.7,35.54,33.32,35.51,46.8,-,28.56
18,Total Assets,-,9118,8888,8979,9328,9182,8838,8587,8868,8567,8265,4581,4505,4269,4320,-,3902
19,Accounts Payable,-,2192,1895,1957,2181,1867,1509,1396,1510,1464,1328,1240,1130,940.93,963.64,-,866.94
