,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020"
0,Operating Revenue,1995,1524,1133,889.35,1805,1172,947.19,738.99,1318,1029,958.55,708.8,1153,721.47,641.7,728.58,1107
1,Other Revenue,-,-4.74,4.74,-,14.23,-11.07,11.07,-,7.3,-3.07,3.07,-,17.91,-7.5,7.5,-,5.91
2,Revenue,1995,1519,1138,889.35,1819,1161,958.26,738.99,1325,1026,961.62,708.8,1171,713.97,649.2,728.58,1113
3,Revenue Growth (YoY),9.65%,30.80%,18.72%,20.35%,37.27%,13.15%,-0.35%,4.26%,13.21%,43.75%,48.12%,-2.71%,5.19%,-,-,-,-
4,Cost of Revenue,-2725,1131,923.75,669.82,1511,793.44,734.86,543.67,994.18,707.13,669.29,540.14,835.75,488.94,473.8,495.33,744.91
5,Gross Profit,4719,387.68,213.9,219.53,308.52,367.85,223.4,195.32,331.01,319.22,292.33,168.66,334.87,225.03,175.4,233.25,367.91
6,"Selling, General & Admin",-542.28,201.47,175.13,165.68,159.11,131.93,126.01,124.96,136.34,120.43,118.85,107.99,117.51,97.7,92.91,101.21,123.8
7,Research & Development,-791.04,253.74,246.85,290.45,261.05,281.55,220.11,205.37,208.92,167.63,135.59,143.48,153.24,115.95,97.9,88.92,128.31
8,Other Operating Expenses,6127,-36.98,5.15,-12.22,9.31,-11.2,-6.1,-11.06,14.16,-6.8,-14.17,-8.51,5.8,-6.83,-6.51,-7.53,-10.57
9,Operating Expenses,4778,428.05,435.76,440.41,472.25,414.17,345.07,319.19,363.16,287.47,249.89,244.54,277.19,208.64,187.98,183.35,247.46
10,Operating Income,-58.76,-40.37,-221.85,-220.87,-163.73,-46.32,-121.67,-123.87,-32.15,31.75,42.44,-75.87,57.68,16.39,-12.58,49.9,120.45
11,Interest Expense,-46.5,-5.36,-5.44,-3.75,-2.83,-2.75,-3.61,-0.07,-1.26,-1.01,-1.4,-0.06,-0.95,-1,-1.22,-1.99,-2.97
12,Interest & Investment Income,14.55,10.34,14.49,21.66,22.86,23.78,24.17,22.87,21.71,18.79,18.35,1.6,1.51,1.16,1.77,2.29,2.98
13,Currency Exchange Gain (Loss),-,1.07,-1.07,-,13.32,-21.19,21.19,-,36.49,-20.74,20.74,-,-10.75,6.9,-6.9,-,-10.62
14,Other Non Operating Income (Expenses),-3.71,2.31,2.39,-3.52,-15.69,15.21,3.95,-3.31,-42.57,39.46,1.42,-2.23,4.83,-4.63,2.75,-4.85,-0.41
