,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020"
0,Market Capitalization,10470,9653,9833,6643,9255,13830,16552,17327,15605,17916,21725,17647,-,-,-,-,-,-
1,Market Cap Growth,-30.21%,-30.21%,-40.59%,-61.66%,-40.69%,-22.80%,-23.81%,-1.82%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,9466,8649,8530,4818,6568,11143,13540,14005,11791,14102,17597,16844,-,-,-,-,-,-
3,Last Close Price,91.22,84.10,85.66,57.33,77.66,116.05,138.89,144.39,130.04,149.30,181.04,147.06,-,-,-,-,-,-
4,PE Ratio,-,-,-,-,-,-,-,-,-,76.01,88.08,80.58,-,-,-,-,-,-
5,Forward PE,53.74,-,-,186.44,61.88,89.27,61.46,53.05,48.57,54.08,74.66,74.90,-,-,-,-,-,-
6,PS Ratio,1.89,1.74,1.83,1.33,1.92,2.96,3.96,4.28,3.85,4.45,5.62,4.96,-,-,-,-,-,-
7,PB Ratio,2.44,2.21,2.25,1.51,2.02,2.77,3.24,3.37,2.99,3.38,4.18,3.43,-,-,-,-,-,-
8,P/TBV Ratio,2.71,2.71,2.76,1.82,2.38,3.07,3.55,3.68,3.25,3.66,4.44,3.65,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-,-14.11,-,-,-,-51.01,-,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,-,-,-,-24.73,-,-,-,341.01,-,70.94,-,-,-,-,-,-
11,EV/Sales Ratio,1.71,1.56,1.59,0.96,1.36,2.38,3.24,3.46,2.91,3.51,4.55,4.74,-,-,-,-,-,-
12,EV/EBITDA Ratio,-,-,-,-,-,-,-,-,-,-,175.36,177.41,-,-,-,-,-,-
13,EV/EBIT Ratio,-,-,-,-,-,-,-,-,-,-,314.26,414.54,-,-,-,-,-,-
14,EV/FCF Ratio,-,-,-,-,-,-11.37,-,-,-,-40.15,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.17,0.17,0.17,0.17,0.14,0.06,0.05,0.04,0.02,0.02,0.02,0.01,0.04,0.05,0.08,0.07,0.13,0.13
16,Debt / EBITDA Ratio,-,-,-,-,-,-,-,-,-,2.05,0.51,0.20,-,0.19,0.77,3.39,0.73,0.33
17,Debt / FCF Ratio,-,-,-,-,-,-0.30,-,-,-,-0.36,-,-,-,0.50,-6.32,-,-,1.38
18,Asset Turnover,-,0.67,0.51,0.39,0.79,0.52,0.44,0.34,0.61,0.49,0.60,0.62,1.07,0.67,-,-,-,
19,Inventory Turnover,-,-,2.53,2.10,1.59,3.37,1.69,1.67,1.31,2.47,1.78,1.79,1.52,2.42,1.44,-,-,-
20,Quick Ratio,-,-,0.86,0.92,1.05,1.28,1.26,1.41,1.58,1.67,1.72,1.86,0.66,0.72,0.67,0.72,-,0.92
21,Current Ratio,-,-,1.30,1.38,1.52,1.72,1.84,1.98,2.19,2.18,2.29,2.42,1.22,1.25,1.24,1.24,-,1.31
22,Return on Equity (ROE),-9.06%,-6.68%,-12.71%,-16.02%,-6.10%,-3.99%,-0.12%,-6.65%,6.65%,3.73%,15.89%,-8.41%,26.85%,5.90%,-1.47%,9.68%,-,
23,Return on Assets (ROA),-,-1.12%,-6.21%,-6.03%,-4.42%,-1.29%,-3.49%,-3.55%,-0.92%,0.94%,1.65%,-4.18%,3.29%,0.95%,-,-,-,
24,Return on Capital (ROIC),-2.87%,-1.97%,-10.71%,-10.50%,-7.66%,-2.16%,-5.69%,-5.75%,-1.50%,1.51%,3.14%,-12.05%,9.27%,2.73%,-2.11%,8.30%,-,
25,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,-,-,-,1.01%,0.75%,-,6.12%,10.45%,-,-,7.90%
26,Earnings Yield,-4.83%,-5.24%,-4.95%,-6.95%,-3.47%,-1.57%,-0.32%,0.27%,1.15%,1.32%,1.14%,1.24%,-,-,-,-,-,-
27,FCF Yield,-,-12.36%,-20.34%,-11.36%,-7.09%,-6.33%,-5.16%,-5.41%,-1.96%,-1.21%,0.17%,-,-,-,-,-,-,
28,Payout Ratio,0.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,5.15%,-,4.41%,2.23%
29,Buyback Yield / Dilution,3.64%,2.98%,3.96%,5.13%,2.48%,1.97%,-2.56%,-6.23%,-32.22%,-34.04%,-30.32%,-22.98%,-0.96%,-5.89%,-,-,-,-
30,Total Shareholder Return,3.64%,2.98%,3.96%,5.13%,2.48%,1.97%,-2.56%,-6.23%,-32.22%,-34.04%,-30.32%,-22.98%,-0.96%,-5.89%,-,-,-,-
