,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Cash & Equivalents,352.28,265.51,229.46,169.44,171.24,164.66,153.32,117.3,116.72,137.97,Upgrade
1,Short-Term Investments,3.49,4.47,6.63,4.05,3.64,4.28,3.4,3.53,2.65,3.28,Upgrade
2,Trading Asset Securities,12.56,12.09,11.52,10.9,9.55,13.62,14.16,14.18,14.6,16.49,Upgrade
3,Cash & Short-Term Investments,368.33,282.08,247.61,184.39,184.42,182.56,170.89,135.01,133.97,157.74,Upgrade
4,Cash Growth,48.75%,52.98%,34.26%,1.00%,7.92%,35.22%,27.55%,-14.41%,-20.96%,9.10%,Upgrade
5,Accounts Receivable,11.87,23,29.97,13.47,13,8.73,7.56,21.99,15.53,10.49,Upgrade
6,Other Receivables,-,-,-,-,0.01,0.01,0.4,2.69,0.03,2.51,Upgrade
7,Receivables,11.87,23,29.97,13.47,13.01,8.74,7.96,24.68,15.56,13,Upgrade
8,Inventory,11.42,12.2,12.74,15.83,21.27,15.14,24.2,18.42,25.93,17.93,Upgrade
9,Total Current Assets,391.61,317.27,290.32,213.68,218.71,206.44,203.05,178.1,175.46,188.67,Upgrade
10,"Property, Plant & Equipment",535.12,581.86,614.97,601.16,596.18,622.74,621.59,608.23,635.12,714.94,Upgrade
11,Long-Term Investments,4.87,4.9,4.9,4.96,5.06,5.11,5.54,5.59,5.76,5.79,Upgrade
12,Other Intangible Assets,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,Upgrade
13,Long-Term Deferred Tax Assets,1.02,0.98,0.92,0.88,1.09,1.01,1.06,1.02,-,-,Upgrade
14,Total Assets,935.07,907.47,913.56,823.14,823.48,837.75,833.7,795.4,818.79,911.85,Upgrade
15,Accounts Payable,1.61,1.47,0.72,0.92,2.99,1.64,6.25,1.82,4.83,5.12,Upgrade
16,Accrued Expenses,14.23,15.46,13.79,11.29,9.65,9.28,9.26,8.82,16.72,21.87,Upgrade
17,Short-Term Debt,4.12,4.74,5.49,5.5,13.9,16.21,17.36,17.86,16.84,19.49,Upgrade
18,Current Income Taxes Payable,29.43,16.32,12.91,0.93,6.51,3.57,2.02,1.22,4.28,3.02,Upgrade
19,Current Unearned Revenue,2.37,5.33,0.26,0.29,0.23,0.28,0.26,0.26,0.23,0.24,Upgrade
20,Other Current Liabilities,38.24,0.87,21.99,0.82,18.22,0.78,12.59,0.76,12.58,7.3,Upgrade
21,Total Current Liabilities,90,44.19,55.15,19.74,51.5,31.77,47.75,30.74,55.47,57.05,Upgrade
22,Long-Term Unearned Revenue,39.09,39.05,38.4,36.77,34.9,38.84,39.11,35.89,31.6,33.9,Upgrade
23,Long-Term Deferred Tax Liabilities,46.31,51.02,54.42,51.98,50.54,51.2,50.73,47.32,49.65,54.02,Upgrade
24,Other Long-Term Liabilities,2.07,2.07,2.07,2.07,2.07,2.07,2.07,2.07,2.07,2.07,Upgrade
25,Total Liabilities,183.66,142.28,155.63,115.91,145.63,130.03,146.07,122.2,143.69,151.73,Upgrade
26,Common Stock,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,Upgrade
27,Additional Paid-In Capital,22,22,22,22,22,22,22,22,22,22,Upgrade
28,Retained Earnings,543.19,530.94,506.05,468.91,441.61,458.96,437.66,437.1,431.44,490.49,Upgrade
29,Comprehensive Income & Other,170.64,196.66,214.31,200.74,198.67,211.19,212.39,198.51,206.08,232.05,Upgrade
30,Shareholders' Equity,751.41,765.18,757.93,707.23,677.85,707.72,687.63,673.19,675.1,760.12,Upgrade
31,Total Liabilities & Equity,935.07,907.47,913.56,823.14,823.48,837.75,833.7,795.4,818.79,911.85,Upgrade
32,Total Debt,4.12,4.74,5.49,5.5,13.9,16.21,17.36,17.86,16.84,19.49,Upgrade
33,Net Cash (Debt),364.21,277.34,242.13,178.89,170.52,166.35,153.53,117.15,117.13,138.25,Upgrade
34,Net Cash Growth,50.42%,55.03%,41.99%,7.54%,11.07%,41.99%,31.07%,-15.26%,-21.27%,12.68%,Upgrade
35,Net Cash Per Share,1.17,0.89,0.78,0.57,0.55,0.53,0.49,0.38,0.38,0.44,Upgrade
36,Filing Date Shares Outstanding,311.64,311.64,311.64,311.64,311.64,311.64,311.64,311.64,311.64,311.64,Upgrade
37,Total Common Shares Outstanding,311.64,311.64,311.64,311.64,311.64,311.64,311.64,311.64,311.64,311.64,Upgrade
38,Working Capital,301.61,273.09,235.17,193.94,167.2,174.67,155.31,147.37,119.99,131.62,Upgrade
39,Book Value Per Share,2.41,2.46,2.43,2.27,2.18,2.27,2.21,2.16,2.17,2.44,Upgrade
40,Tangible Book Value,748.96,762.73,755.48,704.78,675.4,705.27,685.18,670.74,672.65,757.67,Upgrade
41,Tangible Book Value Per Share,2.40,2.45,2.42,2.26,2.17,2.26,2.20,2.15,2.16,2.43,Upgrade
42,Land,-,322.6,-,334.7,-,335,-,320.5,-,365.6,Upgrade
43,Machinery,-,37.75,-,35.86,-,35.76,-,36.02,-,35.45,Upgrade
