,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,101.39,147.05,123.77,120.12,79.48,275.57,126.7,77.88,99.49,198.19,198.19
1,Other Revenue,-1.28,1.28,-,1.9,-0.7,0.7,-,1.18,-0.49,0.25,0.25
2,Revenue,100.11,148.33,123.77,122.01,78.78,276.27,126.7,79.06,98.99,198.44,198.44
3,Revenue Growth (YoY),27.08%,-46.31%,-2.31%,54.32%,-20.42%,39.22%,-36.15%,-,-,-,-
4,Cost of Revenue,80.67,95.07,82.77,86.72,51.6,179.77,73.53,58.45,63.97,136.7,136.7
5,Gross Profit,19.44,53.26,41,35.29,27.18,96.5,53.17,20.61,35.02,61.74,61.74
6,"Selling, General & Admin",11.47,9.91,9.63,6.91,9.41,7.31,7.1,1.79,7.83,5.18,5.18
7,Research & Development,4.42,5.98,6.1,7.06,7.06,7.19,6.51,7.36,6.31,5.63,5.63
8,Other Operating Expenses,1.55,0.6,0.58,-0.45,0.51,0.83,0.97,2.48,0.96,0.89,0.89
9,Operating Expenses,7.02,32.2,15.04,22.96,10.57,25.98,14.17,8.59,19.01,13.87,13.87
10,Operating Income,12.43,21.07,25.97,12.33,16.61,70.52,39,12.02,16.02,47.87,47.87
11,Interest Expense,-,-,-,-,-,-0,-0.01,-0.01,-0.03,-0.08,-0.08
12,Interest & Investment Income,6.94,7.38,6.3,4.34,4.41,1.31,0.44,1.68,0.94,0.97,0.97
13,Currency Exchange Gain (Loss),-0.46,0.46,-,-0.33,0.63,-0.63,-,-5.22,-4.56,2.28,2.28
14,Other Non Operating Income (Expenses),0.29,2.11,-1.26,1.47,-2.38,0.71,-1.08,3.72,6.78,-0.1,-0.1
15,EBT Excluding Unusual Items,19.2,31.02,31.01,17.82,19.27,71.91,38.36,12.19,19.15,50.93,50.93
16,Gain (Loss) on Sale of Investments,-1.03,1.64,3.88,3.22,0.82,-0.08,0.41,-0.28,0.01,0.29,0.29
17,Gain (Loss) on Sale of Assets,-,0.01,-,0,0.01,-,-0,-,-,-,-
18,Asset Writedown,-9.53,2.26,-2.27,4.89,-4.89,3.55,-3.55,3.17,-3.18,-0,-0
19,Other Unusual Items,-0.01,0.01,-,-0.89,0.07,-0.07,-,1.14,2.91,-1.46,-1.46
20,Pretax Income,8.62,34.95,32.62,25.03,15.28,75.3,35.21,16.23,18.89,49.77,49.77
21,Income Tax Expense,1.06,4.69,4.21,2.95,1.42,10.6,4.8,-2.14,2.35,6.73,6.73
22,Net Income,7.57,30.26,28.41,22.07,13.86,64.7,30.41,18.36,16.53,43.03,43.03
23,Net Income to Common,7.57,30.26,28.41,22.07,13.86,64.7,30.41,18.36,16.53,43.03,43.03
24,Net Income Growth,-45.39%,-53.23%,-6.59%,20.19%,-16.19%,50.34%,-29.32%,-,-,-,-
25,Shares Outstanding (Basic),131,138,129,131,122,100,98,101,98,99,99
26,Shares Outstanding (Diluted),131,138,129,131,122,100,98,101,98,99,99
27,Shares Change (YoY),6.86%,37.50%,31.62%,30.53%,24.71%,1.13%,-0.83%,-,-,-,-
28,EPS (Basic),0.06,0.22,0.22,0.17,0.11,0.65,0.31,0.18,0.17,0.43,0.43
29,EPS (Diluted),0.06,0.22,0.22,0.17,0.11,0.65,0.31,0.18,0.17,0.43,0.43
30,EPS Growth,-48.89%,-65.98%,-29.03%,-7.92%,-32.80%,48.67%,-28.74%,-,-,-,-
31,Free Cash Flow,-0.33,5.21,-44.17,-20.39,44.6,25.5,14.21,-1.08,-9.05,9.08,9.08
32,Free Cash Flow Per Share,-0.00,0.04,-0.34,-0.16,0.36,0.25,0.14,-0.01,-0.09,0.09,0.09
33,Dividend Per Share,-,-,-,0.500,-,-,-,-,-,-,-
34,Gross Margin,19.42%,35.91%,33.13%,28.93%,34.50%,34.93%,41.97%,26.07%,35.38%,31.11%,31.11%
35,Operating Margin,12.41%,14.20%,20.98%,10.11%,21.08%,25.53%,30.79%,15.20%,16.18%,24.12%,24.12%
36,Profit Margin,7.56%,20.40%,22.95%,18.09%,17.59%,23.42%,24.00%,23.23%,16.70%,21.69%,21.69%
37,Free Cash Flow Margin,-0.32%,3.51%,-35.69%,-16.71%,56.61%,9.23%,11.21%,-1.37%,-9.14%,4.58%,4.58%
38,EBITDA,17.96,26.9,31.5,17.87,21.11,75.44,43.5,16.52,20.07,51.92,51.92
39,EBITDA Margin,17.94%,18.13%,25.45%,14.65%,26.79%,27.30%,34.34%,20.89%,20.27%,26.16%,26.16%
40,D&A For EBITDA,5.54,5.83,5.54,5.54,4.5,4.92,4.5,4.5,4.05,4.05,4.05
41,EBIT,12.43,21.07,25.97,12.33,16.61,70.52,39,12.02,16.02,47.87,47.87
42,EBIT Margin,12.41%,14.20%,20.98%,10.11%,21.08%,25.53%,30.79%,15.20%,16.18%,24.12%,24.12%
43,Effective Tax Rate,12.26%,13.42%,12.92%,11.81%,9.32%,14.08%,13.63%,-,12.46%,13.53%,13.53%
44,Revenue as Reported,100.11,148.33,123.77,122.01,78.78,276.27,126.7,79.06,98.99,198.44,198.44
