,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,544.03,585.8,714.1,318.98,747.82,40.51,-,30.69,-,-,-
1,Trading Asset Securities,1020,979.14,893.05,1312,918.84,151.82,-,134.31,-,-,-
2,Cash & Short-Term Investments,1564,1565,1607,1631,1667,192.34,165,165,-,-,195.51
3,Cash Growth,-6.14%,713.64%,874.04%,888.24%,-,-,-15.60%,-,-,-,-
4,Accounts Receivable,221.33,239.63,253.14,264.87,254.73,300.73,-,209.16,-,-,-
5,Other Receivables,0.91,0.24,2.21,19.16,1.61,1.63,-,0.63,-,-,-
6,Receivables,222.24,239.87,255.35,284.03,256.34,302.35,-,209.78,-,-,-
7,Inventory,261.39,253.15,266.44,283.5,274.5,243.97,-,312.23,-,-,-
8,Other Current Assets,14.89,9.86,7.83,10.25,18.72,18.08,-,24.37,-,-,-
9,Total Current Assets,2063,2068,2137,2208,2216,756.74,-,711.38,-,-,-
10,"Property, Plant & Equipment",257.09,221.5,220.51,218.52,214.39,211.06,-,202.39,-,-,-
11,Other Intangible Assets,175.1,177.23,177.74,53.12,53.44,53.76,-,54.39,-,-,-
12,Long-Term Deferred Tax Assets,-,-,-,-,-,-,-,4.54,-,-,-
13,Other Long-Term Assets,20.56,16.82,2.17,3.93,6.47,7.5,-,18.3,-,-,-
14,Total Assets,2516,2483,2537,2484,2491,1029,-,991,-,-,-
15,Accounts Payable,74.6,39.6,45.89,42.17,55.09,67.13,-,48.34,-,-,-
16,Accrued Expenses,12.33,12.35,12.34,13.86,10.63,18.54,-,12.43,-,-,-
17,Short-Term Debt,-,-,-,-,-,-,-,13.83,-,-,-
18,Current Income Taxes Payable,9.16,5.65,5.7,4.7,5.88,15.31,-,-,-,-,-
19,Current Unearned Revenue,99.04,108.02,123.62,103.79,121.22,72.34,-,152.55,-,-,-
20,Other Current Liabilities,2.62,6.39,2.27,1.63,2.09,1.92,-,3.08,-,-,-
21,Total Current Liabilities,197.76,172.02,189.82,166.14,194.91,175.24,-,230.23,-,-,-
22,Long-Term Unearned Revenue,0.44,0.56,0.68,0.8,0.91,1.03,-,1.27,-,-,-
23,Long-Term Deferred Tax Liabilities,2.1,2.16,3.92,4.12,4.39,3.9,-,10.39,-,-,-
24,Total Liabilities,200.3,174.74,194.42,171.06,200.21,180.17,-,241.9,-,-,-
25,Common Stock,132,132,132,132,132,99,-,99,-,-,-
26,Additional Paid-In Capital,1717,1717,1716,1715,1714,318.21,-,313.92,-,-,-
27,Retained Earnings,466.48,458.92,494.65,466.25,444.17,430.32,-,335.21,-,-,-
28,Comprehensive Income & Other,-0.59,1.14,0.34,-0.31,0.27,1.36,-,0.97,-,-,-
29,Shareholders' Equity,2315,2309,2343,2313,2290,848.88,749.1,749.1,-,-,626.63
30,Total Liabilities & Equity,2516,2483,2537,2484,2491,1029,-,991,-,-,-
31,Total Debt,-,-,-,-,-,-,13.83,13.83,-,-,48.39
32,Net Cash (Debt),1564,1565,1607,1631,1667,192.34,151.16,151.16,-,-,147.12
33,Net Cash Growth,-6.14%,713.64%,963.18%,978.68%,-,-,2.75%,-,-,-,-
34,Net Cash Per Share,11.96,11.38,12.45,12.41,13.62,1.92,1.54,1.50,-,-,1.49
35,Filing Date Shares Outstanding,132,132,132,132,132,99,98.11,99,98.11,98.93,98.93
36,Total Common Shares Outstanding,132,132,132,132,132,99,98.11,99,98.11,98.93,98.93
37,Working Capital,1865,1896,1947,2042,2021,581.5,-,481.15,-,-,-
38,Book Value Per Share,17.54,17.49,17.75,17.52,17.35,8.57,7.57,7.57,-,-,6.34
39,Tangible Book Value,2140,2131,2165,2260,2237,795.12,694.71,694.71,-,-,570.98
40,Tangible Book Value Per Share,16.21,16.15,16.40,17.12,16.95,8.03,7.02,7.02,-,-,5.78
41,Buildings,-,188.63,-,187.72,-,175.24,-,172.58,-,-,-
42,Machinery,-,120.52,-,117.62,-,93.85,-,92.18,-,-,-
43,Construction In Progress,-,9.77,-,1.01,-,18.53,-,5.13,-,-,-
