,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,3051,3186,3053,3152,4025,4731,-,-,-,-,-,-
1,Market Cap Growth,-32.65%,-32.65%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1486,1622,1446,1485,2358,4539,-,-,-,-,-,-
3,Last Close Price,23.11,24.14,23.13,23.37,29.84,35.08,-,-,-,-,-,-
4,PE Ratio,34.60,36.08,32.27,24.43,30.71,37.15,-,-,-,-,-,-
5,PS Ratio,6.18,6.45,6.46,5.25,6.67,8.44,-,-,-,-,-,-
6,PB Ratio,1.32,1.38,1.32,1.35,1.74,2.07,-,-,-,-,-,-
7,P/TBV Ratio,1.49,1.49,1.43,1.46,1.78,2.11,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-206.92,-,-,56.84,-,-,-,-,-,-
9,P/OCF Ratio,22.15,22.15,20.40,20.40,-,40.19,-,-,-,-,-,-
10,EV/Sales Ratio,3.01,3.28,3.06,2.47,3.91,8.09,-,-,-,-,-,-
11,EV/EBITDA Ratio,15.42,17.21,14.85,10.18,14.93,28.99,-,-,-,-,-,-
12,EV/EBIT Ratio,20.90,22.59,19.03,11.84,17.03,32.85,-,-,-,-,-,-
13,EV/FCF Ratio,-24.90,-,-98.00,-,-,54.53,-,-,-,-,-,-
14,Debt / Equity Ratio,-,-,-,-,-,-,-,0.02,0.02,-,-,0.08
15,Debt / EBITDA Ratio,-,-,-,-,-,-,-,0.08,0.21,-,-,0.23
16,Debt / FCF Ratio,-,-,-,-,-,-,-,1.05,-,-,-,5.33
17,Asset Turnover,0.16,0.24,0.20,0.20,0.18,-,-,-,-,-,-,
18,Inventory Turnover,1.29,1.25,1.46,1.20,1.24,0.80,-,-,-,-,-,-
19,Quick Ratio,9.03,9.03,10.49,9.81,11.52,9.87,2.82,-,1.63,-,-,-
20,Current Ratio,10.43,10.43,12.02,11.26,13.29,11.37,4.32,-,3.09,-,-,-
21,Return on Equity (ROE),1.31%,5.20%,4.88%,3.84%,3.53%,32.39%,16.24%,-,-,-,-,
22,Return on Assets (ROA),1.24%,2.10%,2.59%,1.24%,2.36%,-,-,-,-,-,-,
23,Return on Capital (ROIC),1.34%,2.26%,2.79%,1.34%,2.65%,21.88%,12.78%,-,-,-,-,
24,Return on Capital Employed (ROCE),3.07%,3.10%,3.29%,5.34%,5.97%,6.02%,16.11%,-,16.27%,-,-,-
25,Earnings Yield,2.89%,2.77%,3.10%,4.09%,3.26%,2.69%,-,-,-,-,-,-
26,FCF Yield,-1.96%,-1.87%,-0.48%,0.18%,1.59%,1.76%,-,-,-,-,-,-
27,Dividend Yield,2.13%,-,-,-,1.68%,-,-,-,-,-,-,-
28,Payout Ratio,74.74%,48.88%,205.87%,-,-,-,0.02%,0.06%,-,0.73%,0.14%,0.14%
29,Buyback Yield / Dilution,-25.56%,-6.86%,-37.50%,-31.62%,-30.53%,-24.71%,-1.13%,0.83%,-,-,-,-
30,Total Shareholder Return,-23.43%,-6.86%,-37.50%,-31.62%,-28.85%,-24.71%,-1.13%,0.83%,-,-,-,-
