,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,1254,1026,1204,1121,1585,1876,1976,2451,2959,2938,2928,2497,2231,3249,2735,4220,2061,-,-,-,-
1,Market Cap Growth,-45.30%,-45.30%,-39.10%,-54.24%,-46.44%,-36.15%,-32.50%,-1.87%,32.63%,-9.58%,7.05%,-40.82%,8.24%,-,-,-,-,-,-,-,-
2,Enterprise Value,1411,1183,1213,1286,1626,1917,1994,2430,2817,2796,2785,2304,1983,3002,2468,3902,2083,-,-,-,-
3,Last Close Price,16.73,13.69,15.95,14.70,20.77,24.59,25.90,32.05,37.38,37.12,36.99,31.51,27.71,40.36,33.98,52.42,25.43,-,-,-,-
4,PE Ratio,-,-47.91,-,-,-,-,22.93,24.61,28.20,28.81,25.08,23.30,-,33.99,33.05,54.83,24.41,-,-,-,-
5,Forward PE,-,16.44,16.44,16.44,16.44,16.44,16.44,16.44,16.44,18.04,19.30,17.63,18.29,28.25,25.31,41.73,-,-,-,-,-
6,PS Ratio,3.84,3.08,3.72,3.26,4.30,5.16,4.50,5.17,6.10,6.16,6.05,5.88,5.68,8.35,7.57,12.05,6.07,-,-,-,-
7,PB Ratio,1.67,1.35,1.59,1.43,2.01,2.33,2.41,3.06,3.59,3.46,3.61,3.11,2.75,4.03,3.67,5.82,2.79,-,-,-,-
8,P/TBV Ratio,1.40,1.40,1.64,1.47,2.07,2.40,2.50,3.17,3.73,3.59,3.76,3.24,2.85,4.16,3.78,6.00,2.89,-,-,-,-
