,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Market Capitalization,13693,8427,8058,6938,-,-,-,-
1,Market Cap Growth,21.47%,21.47%,-,-,-,-,-,-
2,Enterprise Value,14033,8668,8172,7487,-,-,-,-
3,Last Close Price,104.70,64.60,61.95,53.40,-,-,-,-
4,PE Ratio,-,-320.80,-,-54.22,-,-,-,-
5,Forward PE,85.64,96.94,-,-,-,-,-,-
6,PS Ratio,3.41,2.11,2.40,2.58,-,-,-,-
7,PB Ratio,5.90,3.64,3.48,3.04,-,-,-,-
8,P/TBV Ratio,8.34,8.34,8.40,7.29,-,-,-,-
9,P/FCF Ratio,30.34,18.67,29.44,85.30,-,-,-,-
10,P/OCF Ratio,10.62,10.62,13.64,21.02,-,-,-,-
11,EV/Sales Ratio,3.51,2.17,2.43,2.78,-,-,-,-
12,EV/EBITDA Ratio,23.49,28.63,63.66,1304.86,-,-,-,-
13,EV/EBIT Ratio,214.61,132.57,-,-,-,-,-,-
14,EV/FCF Ratio,31.09,19.21,29.86,92.06,-,-,-,-
15,Debt / Equity Ratio,0.65,0.65,0.59,0.54,1.37,0.98,0.90,-
16,Debt / FCF Ratio,3.35,3.35,4.98,15.08,-,4.31,5.34,-
17,Return on Capital Employed (ROCE),1.89%,1.89%,-,-,-,-,-,-
18,Earnings Yield,-0.19%,-0.31%,-0.36%,-1.84%,-,-,-,-
19,FCF Yield,3.30%,5.36%,3.40%,1.17%,-,-,-,-
20,Buyback Yield / Dilution,-24.48%,-5.26%,-36.09%,-31.08%,-8.87%,-10.27%,-,-
21,Total Shareholder Return,-24.48%,-5.26%,-36.09%,-31.08%,-8.87%,-10.27%,-,-
