,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Cash & Equivalents,1089,1019,1029,544.46,576.94,656.67,-
1,Cash & Short-Term Investments,1089,1019,1029,544.46,576.94,656.67,-
2,Cash Growth,5.87%,87.20%,78.33%,-17.09%,-,-,-
3,Accounts Receivable,11.39,9.75,4.91,8.29,4.49,4.58,-
4,Other Receivables,114.79,94.1,64.02,48.3,37.33,47.77,-
5,Receivables,126.18,103.85,68.93,56.59,41.83,52.35,-
6,Inventory,78.12,73.89,59.19,67.35,50.11,47.32,-
7,Prepaid Expenses,-,-,-,-,2.48,-,-
8,Restricted Cash,-,-,0.2,-,0.21,2.22,-
9,Other Current Assets,19.32,18.02,16.01,20.38,12.66,25.49,-
10,Total Current Assets,1313,1215,1173,688.78,684.22,784.04,-
11,"Property, Plant & Equipment",1849,1593,1417,1261,1105,1065,-
12,Goodwill,-,360.48,-,360.48,360.48,360.48,-
13,Other Intangible Assets,1216,868.16,1229,881.92,881.5,893.53,-
14,Long-Term Deferred Tax Assets,77.81,52.97,36.52,37.15,38.36,28.61,-
15,Other Long-Term Assets,66.35,56.32,48.26,40.46,36.04,31.37,-
16,Total Assets,4522,4146,3903,3270,3105,3163,-
17,Accounts Payable,172.54,153.9,128.19,126.75,141.84,124.7,-
18,Accrued Expenses,463.84,435.57,331.59,295.24,303.06,262.21,-
19,Short-Term Debt,100,-,-,-,-,180,-
20,Current Portion of Leases,262.22,229.4,204.34,180.25,162.94,141.21,-
21,Current Income Taxes Payable,30.34,17.77,8.94,16.62,14.81,21.55,-
22,Current Unearned Revenue,54.16,44.91,35.99,31.12,27.06,23.21,-
23,Other Current Liabilities,211.25,135.54,138.4,145.46,98.56,96.15,-
24,Total Current Liabilities,1294,1017,847.46,795.43,748.28,849.03,-
25,Long-Term Debt,100,200,200,200,100,-,-
26,Long-Term Leases,943.01,808.78,730.74,649.98,572.08,540.11,-
27,Other Long-Term Liabilities,28.27,20.76,16.24,871.08,833.78,815.68,-
28,Total Liabilities,2366,2047,1794,2516,2254,2205,-
29,Common Stock,881.74,879.04,877.96,655.06,651.5,651.5,-
30,Additional Paid-In Capital,2276,2255,2250,1162,1144,1144,-
31,Retained Earnings,-1111,-1122,-1087,-1091,-964,-868.53,-
32,Comprehensive Income & Other,109.61,87.38,68.19,27.19,20.02,31.17,-
33,Shareholders' Equity,2156,2099,2109,753.13,851.25,957.88,-
34,Total Liabilities & Equity,4522,4146,3903,3270,3105,3163,-
35,Total Debt,1405,1238,1135,1030,835.02,861.32,-
36,Net Cash (Debt),-315.96,-218.94,-106.19,-485.76,-258.08,-204.65,-
37,Net Cash Per Share,-2.41,-1.69,-0.85,-5.09,-2.72,-2.33,-
38,Filing Date Shares Outstanding,130.45,130.07,129.92,115.88,96.97,96.97,86.18
39,Total Common Shares Outstanding,130.45,130.07,129.92,97.5,96.97,96.97,86.18
40,Working Capital,18.54,197.91,325.77,-106.65,-64.06,-64.99,-
41,Book Value Per Share,16.53,16.14,16.23,7.72,8.78,9.88,-
42,Tangible Book Value,939.92,870.49,880.34,-489.27,-390.73,-296.13,-
43,Tangible Book Value Per Share,7.21,6.69,6.78,-5.02,-4.03,-3.05,-
44,Machinery,-,442.01,-,340.34,300.12,283.43,-
45,Construction In Progress,-,19.44,-,13.2,11.1,11.92,-
46,Leasehold Improvements,-,664.13,-,503.17,435.6,400.38,-
