,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Revenue,2041,1674,1376,1112,908.79,844.77,766.56
1,Revenue Growth (YoY),48.32%,50.57%,51.45%,31.63%,18.55%,-,-
2,Cost of Revenue,1580,1337,1142,931.35,732.96,622.65,687.75
3,Gross Profit,461.61,337.45,234.86,180.65,175.83,222.12,78.81
4,"Selling, General & Admin",56.05,39.85,30.99,11.62,14.23,123.31,8.7
5,Other Operating Expenses,66.94,63.14,67.77,77.55,45.21,24.7,21.99
6,Operating Expenses,394.21,343.99,304.93,276.83,230.58,307.47,174.97
7,Operating Income,67.4,-6.55,-70.07,-96.18,-54.74,-85.35,-96.15
8,Interest Expense,-38.75,-36.41,-33.24,-30.44,-35.44,-36.82,-36.39
9,Interest & Investment Income,13.8,11.94,7.53,4.01,2.23,1.71,1.75
10,Currency Exchange Gain (Loss),-3.66,4.42,-0.85,-5.37,-0.59,4.18,4.42
11,Other Non Operating Income (Expenses),3.7,4.74,127,13.35,5.74,-131.81,-93.41
12,EBT Excluding Unusual Items,42.5,-21.87,30.37,-114.63,-82.81,-248.08,-219.78
13,Gain (Loss) on Sale of Assets,-4.57,-5.1,-2.92,-1.85,-3.38,-1.68,-0.68
14,Asset Writedown,-,-9.51,-0.54,-8.14,-,-4.64,-
15,Other Unusual Items,2.97,10.66,1.19,9.48,0.45,-9.61,6.35
16,Pretax Income,40.89,-25.82,28.1,-115.15,-85.74,-264.01,-214.12
17,Income Tax Expense,29.99,9.53,19.35,12.01,9.74,1.83,-8.89
18,Net Income,10.91,-35.35,8.75,-127.16,-95.48,-265.84,-205.22
19,Net Income to Common,10.91,-35.35,8.75,-127.16,-95.48,-265.84,-205.22
20,Net Income Growth,24.64%,-,-,-,-,-,-
21,Shares Outstanding (Basic),130,130,113,95,95,88,86
22,Shares Outstanding (Diluted),131,130,125,95,95,88,86
23,Shares Change (YoY),5.26%,36.09%,31.08%,8.87%,10.27%,-,-
24,EPS (Basic),0.08,-0.27,0.08,-1.33,-1.00,-3.03,-2.38
25,EPS (Diluted),0.08,-0.27,0.07,-1.34,-1.00,-3.03,-2.38
26,EPS Growth,14.29%,-,-,-,-,-,-
27,Free Cash Flow,250.24,169.77,78.69,-3.42,106.41,87.4,73.91
28,Free Cash Flow Per Share,1.91,1.31,0.63,-0.04,1.12,1.00,0.86
29,Operating Margin,3.30%,-0.39%,-5.09%,-8.65%,-6.02%,-10.10%,-12.54%
30,Profit Margin,0.53%,-2.11%,0.64%,-11.43%,-10.51%,-31.47%,-26.77%
31,Free Cash Flow Margin,12.26%,10.14%,5.72%,-0.31%,11.71%,10.35%,9.64%
32,EBITDA,192.93,88.82,27.71,-22.4,25.41,-17.08,-32.92
33,D&A For EBITDA,125.53,95.36,97.78,73.78,80.15,68.27,63.23
34,EBIT,67.4,-6.55,-70.07,-96.18,-54.74,-85.35,-96.15
35,Advertising Expenses,109.32,-,81.08,-,53.87,-,-
