,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 10, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,946,1284,1596,1158,1464,822,1512,1260,1236,-,-
1,Market Cap Growth,10.88%,10.88%,9.02%,40.88%,-3.17%,-34.76%,22.33%,-,-,-,-
2,Enterprise Value,856,1225,1490,1037,1342,736,1453,1203,1429,-,-
3,Last Close Price,1.60,2.14,2.66,1.93,2.44,1.37,2.52,2.10,2.06,-,-
4,PE Ratio,25.10,35.05,37.82,26.12,26.46,14.33,33.64,36.86,47.65,-,-
5,PS Ratio,1.06,1.48,1.90,1.48,1.78,1.01,2.03,1.85,1.99,-,-
6,PB Ratio,1.59,2.10,2.65,1.90,2.33,1.17,2.17,1.91,1.97,-,-
7,P/TBV Ratio,2.14,2.14,2.68,1.92,2.36,1.18,2.19,1.92,1.98,-,-
8,P/FCF Ratio,30.11,40.88,-,14.88,13.01,11.37,30.47,-101.56,-,-,-
9,P/OCF Ratio,11.66,11.66,15.82,8.64,10.93,7.04,13.47,13.84,13.95,-,-
10,EV/Sales Ratio,0.99,1.42,1.78,1.33,1.63,0.90,1.95,1.77,2.30,-,-
11,EV/EBITDA Ratio,6.61,9.65,11.70,9.01,10.15,5.39,12.37,10.13,13.99,-,-
12,EV/EBIT Ratio,14.33,20.50,23.54,17.97,17.98,8.11,17.77,13.88,19.42,-,-
13,EV/FCF Ratio,27.26,39.01,-,13.33,11.92,10.18,29.29,-96.96,-,-,-
14,Debt / Equity Ratio,0.30,0.30,0.33,0.30,0.26,0.27,0.33,0.43,0.47,1.01,1.14
15,Debt / FCF Ratio,5.85,5.85,-,2.37,1.44,2.64,4.66,-22.68,-,-30.61,-
16,Return on Capital Employed (ROCE),9.52%,9.52%,10.02%,9.10%,11.84%,12.84%,11.70%,13.03%,11.65%,20.74%,34.45%
17,Earnings Yield,3.87%,2.85%,2.64%,3.83%,3.78%,6.98%,2.97%,2.71%,2.10%,-,-
18,FCF Yield,3.32%,2.45%,0.16%,6.72%,7.69%,8.79%,3.28%,-0.98%,-0.56%,-,-
19,Buyback Yield / Dilution,0.30%,3.41%,-2.72%,5.23%,2.65%,-,-1.53%,-33.33%,-31.32%,-1.02%,-
20,Total Shareholder Return,0.30%,3.41%,-2.72%,5.23%,2.65%,-,-1.53%,-33.33%,-31.32%,-1.02%,-
