,Fiscal Quarter,Current,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,H1 2019
,Period Ending,"Jul '24 Jul 23, 2024","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019","Jun '19 Jun 30, 2019"
0,Market Capitalization,119,159,247,325,631,738,663,1013,-,-
1,Market Cap Growth,-50.96%,-50.96%,-60.89%,-55.93%,-4.72%,-27.16%,-,-,-,-
2,Enterprise Value,197,316,508,701,915,906,576,1012,-,-
3,Last Close Price,0.19,0.26,0.40,0.52,1.01,1.18,1.04,1.59,-,-
4,PE Ratio,-,-,-,-,-,11.94,9.34,5.72,-,-
5,PS Ratio,0.31,0.42,0.42,0.35,0.45,0.48,0.44,0.64,-,-
6,PB Ratio,0.16,0.21,0.28,0.29,0.52,0.54,0.51,0.85,-,-
7,P/TBV Ratio,0.21,0.21,0.28,0.29,0.52,0.55,0.51,0.85,-,-
8,P/FCF Ratio,1.24,1.24,1.19,2.56,-31.64,-,-,-,-,-
9,P/OCF Ratio,1.20,1.20,1.03,0.90,1.88,-28.85,-,-,-,-
10,EV/Sales Ratio,0.51,0.83,0.86,0.76,0.65,0.59,0.38,0.64,-,-
11,EV/EBITDA Ratio,-,-,-,-5.28,-,5.37,2.84,3.29,-,-
12,EV/EBIT Ratio,-,-,-,-,-,14.52,5.95,4.98,-,-
13,EV/FCF Ratio,1.53,2.45,2.46,5.52,-45.85,-,-,-,-,-
14,Debt / Equity Ratio,0.29,0.29,0.41,0.40,0.45,0.38,0.35,0.11,0.15,-
15,Debt / FCF Ratio,1.71,1.71,1.74,3.55,-27.23,-,-,-,-36.00,-
16,Return on Capital Employed (ROCE),-,-,-,-,-,4.01%,6.75%,15.99%,24.76%,-
17,Earnings Yield,-227.46%,-169.48%,-98.95%,-63.06%,-18.27%,8.38%,10.71%,17.49%,-,-
18,FCF Yield,108.58%,80.91%,83.69%,39.05%,-3.16%,-37.04%,-62.08%,-1.41%,-,-
19,Buyback Yield / Dilution,-,-,-,0.06%,-11.83%,-33.41%,-19.23%,-,-,
20,Total Shareholder Return,-,-,-,0.06%,-11.83%,-33.41%,-19.23%,-,-,
