,Fiscal Quarter,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,H1 2019
,Period Ending,"Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019","Jun '19 Jun 30, 2019"
0,Cash & Equivalents,95.31,149.82,94,92.97,143.51,200.88,156.47,102.97,-
1,Short-Term Investments,36.56,29.17,67.38,43.6,45.85,44.12,37.39,19.66,-
2,Cash & Short-Term Investments,131.86,178.99,161.38,136.57,189.36,245.01,193.85,122.63,-
3,Cash Growth,-18.29%,31.06%,-14.77%,-44.26%,-2.32%,99.80%,-,-,-
4,Accounts Receivable,808.74,925.55,1041,1215,1394,1425,1216,935.48,-
5,Other Receivables,-,-,-,-,-,-,-,1.37,-
6,Receivables,808.74,925.55,1041,1215,1394,1425,1216,936.85,-
7,Inventory,4.57,4.58,17.04,17.28,39.13,28.27,33.28,26.56,-
8,Restricted Cash,10.84,19.35,25.47,52.2,20.58,17.04,2.46,2.73,-
9,Other Current Assets,10.14,18.98,29.95,35.87,84.23,21.82,30.05,27.64,-
10,Total Current Assets,966.15,1147,1275,1457,1727,1737,1475,1116,-
11,"Property, Plant & Equipment",340.66,420.91,570.8,625.52,585.79,477.28,391.09,397.23,-
12,Other Intangible Assets,1.35,1.84,2.34,2.83,3.13,3.62,0.66,0.7,-
13,Long-Term Accounts Receivable,20.04,21.84,23.67,25.41,27.34,29.2,31.06,32.91,-
14,Long-Term Deferred Tax Assets,40.72,40.72,38.36,31.8,3.05,1.22,8.92,4.03,-
15,Other Long-Term Assets,0.93,22.37,27.11,36.14,19.74,25.11,6.3,10.72,-
16,Total Assets,1370,1655,1937,2179,2366,2274,1913,1562,-
17,Accounts Payable,258.39,337.99,379.12,507.72,518.19,533.41,455.17,358.66,-
18,Accrued Expenses,102.62,107.97,107.2,91.21,0.93,88.51,1.06,0.42,-
19,Current Portion of Long-Term Debt,93.71,163.46,181.47,207.1,259.39,279.22,57.12,51.12,-
20,Current Portion of Leases,42.76,50.91,50.76,49.46,29.71,17.73,1.14,6.14,-
21,Current Income Taxes Payable,9.69,9.36,11.24,8.93,10.89,9.19,24.81,12.24,-
22,Current Unearned Revenue,0.21,0.38,4.2,3.12,6.24,5.72,8.43,13.32,-
23,Other Current Liabilities,90.01,103.14,87.18,117.72,248.26,132.02,207.94,222.28,-
24,Total Current Liabilities,597.39,773.21,821.16,985.26,1074,1066,755.67,664.18,-
25,Long-Term Debt,30.31,49.01,71.81,84.61,71.54,56.13,56.67,64.09,-
26,Long-Term Leases,37.18,54.44,80.33,101.36,64.36,33.41,0.23,0.4,-
27,Long-Term Deferred Tax Liabilities,-,-,-,-,3.27,2.66,-,-,-
28,Other Long-Term Liabilities,4.05,6.5,12.57,19.32,26.83,22.58,13.8,9.2,-
29,Total Liabilities,668.93,883.16,985.87,1191,1240,1181,826.37,737.87,-
30,Common Stock,5.67,5.67,5.67,5.67,5.67,5.67,5.67,-,-
31,Additional Paid-In Capital,194.1,194.1,194.1,194.1,194.1,204.91,204.75,-,-
32,Retained Earnings,1.84,72.56,252.66,290.44,435.04,394.34,455.95,403.4,-
33,Comprehensive Income & Other,499.31,499.65,499.05,498.3,491.77,488.42,420.58,420.73,-
34,Shareholders' Equity,700.91,771.97,951.48,988.51,1127,1093,1087,824.13,-
35,Total Liabilities & Equity,1370,1655,1937,2179,2366,2274,1913,1562,-
36,Total Debt,203.95,317.81,384.37,442.53,425,386.49,115.16,121.75,-
37,Net Cash (Debt),-72.09,-138.82,-222.99,-305.96,-235.64,-141.49,78.7,0.88,-
38,Net Cash Per Share,-0.12,-0.22,-0.36,-0.49,-0.38,-0.23,0.14,0.00,-
39,Filing Date Shares Outstanding,625,625,625,625,625,625,625,468.75,468.75
40,Total Common Shares Outstanding,625,625,625,625,625,625,625,468.75,468.75
41,Working Capital,368.75,374.25,453.92,472.11,653.54,671.7,719.61,452.23,-
42,Book Value Per Share,1.12,1.24,1.52,1.58,1.80,1.75,1.74,1.76,-
43,Tangible Book Value,699.56,770.13,949.14,985.68,1123,1090,1086,823.43,-
44,Tangible Book Value Per Share,1.12,1.23,1.52,1.58,1.80,1.74,1.74,1.76,-
45,Machinery,-,897.83,-,992.9,-,820,-,693.5,-
46,Leasehold Improvements,-,1.14,-,1.14,-,1.7,-,1.7,-
