,Fiscal Quarter,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,H1 2019
,Period Ending,"Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019","Jun '19 Jun 30, 2019"
0,Revenue,86.06,267.46,257.15,531.41,611.53,666.06,612.71,835.33,742.89
1,Revenue Growth (YoY),-66.53%,-49.67%,-57.95%,-20.22%,-0.19%,-20.26%,-17.52%,-,-
2,Cost of Revenue,80.03,282.24,233.06,495.7,515.22,540.12,450.22,635.93,588.27
3,Gross Profit,6.02,-14.78,24.09,35.7,96.31,125.95,162.49,199.4,154.63
4,"Selling, General & Admin",17.6,44.55,17.71,35.01,30.05,29.53,25.77,73.35,45.56
5,Research & Development,3.37,8.89,11.55,35.91,26.98,24.19,16.85,-,-
6,Other Operating Expenses,-3.56,-1.69,-1.2,-0.85,-6.55,-5.04,0.88,-10.24,2.25
7,Operating Expenses,53.19,85.33,64.43,197.43,61.46,108.95,97.99,78.74,52.99
8,Operating Income,-47.16,-100.11,-40.35,-161.73,34.85,17,64.5,120.66,101.64
9,Interest Expense,-5.03,-7.14,-9.11,-9.45,-16.43,-10.41,-5.67,-9.23,-6.18
10,Interest & Investment Income,1.61,1.84,1.72,1.83,1.42,0.96,1.91,1,0.88
11,Other Non Operating Income (Expenses),-2.58,-5.82,-2.79,-6.25,-2.77,-1.14,-1.23,-0.81,-1.14
12,EBT Excluding Unusual Items,-53.17,-111.23,-50.52,-175.59,17.07,6.4,59.51,111.62,95.2
13,Gain (Loss) on Sale of Assets,27.24,20.82,10.06,6.34,34.22,-0.76,3.9,0.77,0.74
14,Asset Writedown,-43,-93.44,-,-,-,-,-,-,-
15,Pretax Income,-68.93,-183.85,-40.46,-169.25,51.28,5.64,63.41,112.39,95.93
16,Income Tax Expense,1.79,-4.6,-3.64,-31.13,7.12,-1.57,10.87,3.54,25.55
17,Net Income,-70.72,-179.25,-36.82,-138.12,44.17,7.21,52.54,108.85,70.39
18,Net Income to Common,-70.72,-179.25,-36.82,-138.12,44.17,7.21,52.54,108.85,70.39
19,Net Income Growth,-,-,-,-,-15.94%,-93.38%,-25.35%,-,-
20,Shares Outstanding (Basic),625,625,625,625,625,625,559,469,469
21,Shares Outstanding (Diluted),625,625,625,625,625,625,559,469,469
22,Shares Change (YoY),-,-,-,-0.06%,11.83%,33.41%,19.23%,-,-
23,EPS (Basic),-0.11,-0.29,-0.06,-0.22,0.07,0.01,0.09,0.23,0.15
24,EPS (Diluted),-0.11,-0.29,-0.06,-0.22,0.07,0.01,0.09,0.23,0.15
25,EPS Growth,-,-,-,-,-24.83%,-95.04%,-37.39%,-,-
26,Free Cash Flow,32.54,86.79,95.96,12.39,-28.64,-198.51,-147.81,134.84,-138.22
27,Free Cash Flow Per Share,0.05,0.14,0.15,0.02,-0.05,-0.32,-0.26,0.29,-0.29
28,Operating Margin,-54.81%,-37.43%,-15.69%,-30.43%,5.70%,2.55%,10.53%,14.44%,13.68%
29,Profit Margin,-82.18%,-67.02%,-14.32%,-25.99%,7.22%,1.08%,8.58%,13.03%,9.47%
30,Free Cash Flow Margin,37.81%,32.45%,37.32%,2.33%,-4.68%,-29.80%,-24.12%,16.14%,-18.61%
31,EBITDA,-23.78,-70.92,2.92,-116.22,79.22,61.09,109.65,170.78,152.12
32,D&A For EBITDA,23.39,29.19,43.27,45.51,44.36,44.09,45.15,50.12,50.48
33,EBIT,-47.16,-100.11,-40.35,-161.73,34.85,17,64.5,120.66,101.64
