,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,6203,5436,5730,5125,6393,6151,7262,8438,8111,7451,4292,4946,4645,5501,5161,-,-,-,-,-,-
1,Market Cap Growth,-11.63%,-11.63%,-21.10%,-39.26%,-21.18%,-17.45%,69.18%,70.61%,74.61%,35.45%,-16.84%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,5522,4754,5646,4267,5937,5382,6521,7700,7536,6876,4035,4244,4368,4756,5502,-,-,-,-,-,-
3,Last Close Price,18.99,16.64,17.54,15.69,18.89,18.17,21.45,24.93,23.61,21.69,12.50,14.40,13.29,15.74,14.76,-,-,-,-,-,-
4,PE Ratio,19.18,16.80,18.52,16.52,20.26,19.36,23.54,28.33,28.86,28.41,17.64,22.89,22.87,32.64,38.84,-,-,-,-,-,-
5,Forward PE,15.00,13.72,14.81,13.01,16.53,15.82,18.84,23.59,-,-,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,2.52,2.21,2.37,2.16,2.73,2.65,3.25,4.00,4.17,4.04,2.41,2.81,2.58,3.21,3.28,-,-,-,-,-,-
7,PB Ratio,3.78,3.31,3.49,3.29,3.81,3.83,4.76,5.85,5.43,5.24,3.18,3.87,3.59,4.43,4.35,-,-,-,-,-,-
8,P/TBV Ratio,3.49,3.49,3.68,3.48,4.02,4.04,4.97,6.11,5.67,5.48,3.33,4.07,3.77,4.66,4.59,-,-,-,-,-,-
