,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,628.26,677.92,607.43,548.52,569.84,636.87,574.55,527.64,487.68,506.93,413.08,427.27,426.49,482.48,453.32,341.5,291.11,328.16,269.16,269.16
1,Other Revenue,-,-6.34,6.34,-,12.15,-5.53,5.53,-,10.62,-4.54,4.54,-,8.81,-3.8,3.8,-,6.98,-2.55,1.28,1.28
2,Revenue,628.26,671.58,613.77,548.52,581.98,631.34,580.07,527.64,498.3,502.38,417.62,427.27,435.3,478.68,457.12,341.5,298.09,325.6,270.43,270.43
3,Revenue Growth (YoY),7.95%,6.37%,5.81%,3.96%,16.79%,25.67%,38.90%,23.49%,14.47%,4.95%,-8.64%,25.11%,46.03%,47.01%,69.03%,26.28%,-,-,-,-
4,Cost of Revenue,735.05,496.84,463.78,406.2,434.52,457.14,431.79,389.66,377.31,366.1,298.2,311.09,324.14,360.75,341.41,265.61,232.43,244.14,201.67,201.67
5,Gross Profit,-106.79,174.74,149.99,142.33,147.46,174.2,148.29,137.98,120.99,136.28,119.42,116.18,111.17,117.93,115.71,75.89,65.66,81.46,68.76,68.76
6,"Selling, General & Admin",-149.65,56.25,49.06,44.34,51.02,56.95,46.89,42.9,40.45,45.62,33.42,41.9,45.58,46.17,36.91,35.81,31.88,31.69,23.65,23.65
7,Research & Development,-87.86,30.5,30.77,26.59,20.1,31.2,28.2,22.42,17.86,26.15,22.78,15.26,17.18,24.92,19.5,12.1,16.65,15.28,9.03,9.03
8,Other Operating Expenses,10.61,-7.41,-2.69,-0.51,2.28,-7.06,-1.61,-5.46,1.53,-5.4,-2.89,1.67,9.42,-3.78,-0.97,2.06,4.6,0.17,1.87,1.87
9,Operating Expenses,-231.64,79.88,79.7,72.07,73.2,83.56,76.4,58.88,56.06,61,52.81,60.82,75.9,65.66,58.31,49.65,54.99,42.61,35.62,35.62
10,Operating Income,124.86,94.86,70.29,70.26,74.26,90.64,71.89,79.1,64.93,75.28,66.61,55.36,35.27,52.27,57.39,26.24,10.67,38.86,33.14,33.14
11,Interest Expense,-13.31,-2.82,-3.47,-3.76,-2.52,-2.49,-3.27,-2.66,-1.88,-1.65,-0.83,-0.28,-0.32,-,-0.39,-0.33,-0.21,-0.89,-1.24,-1.24
12,Interest & Investment Income,10.05,2.62,7.4,3.29,9.86,4.53,10.59,2.83,3.07,4.79,8.08,2.25,4.23,1.22,1.41,0.77,1.04,0.55,0.68,0.68
13,Currency Exchange Gain (Loss),-,-0.94,0.94,-,-0.69,-1.2,1.2,-,2.19,-0.85,0.85,-,-1.29,-1.12,1.12,-,-4.02,0.67,-0.33,-0.33
14,Other Non Operating Income (Expenses),4.9,0.47,-1,0.31,-5.94,0.68,3.9,0.73,2.44,2.29,-4.85,-0.18,6.31,0.79,-1.78,-5.62,4.54,-4.13,0.56,0.56
15,EBT Excluding Unusual Items,126.49,94.19,74.16,70.1,74.97,92.15,84.3,80.01,70.74,79.87,69.86,57.15,44.19,53.16,57.75,21.05,12.03,35.06,32.81,32.81
16,Gain (Loss) on Sale of Investments,-18.04,5.53,4.39,8.12,0.88,5.18,1.88,1.57,5.29,2.88,-0.86,4.91,1.68,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,-0.56,0.04,0.53,-0.01,-0.25,-0.01,-0.02,0.4,0.71,0.02,-0.07,-,0.29,0.05,-0.47,-0.15,-0.18,0.03,0.23,0.23
18,Asset Writedown,3.11,-3.11,0.88,-0.88,1.07,-1.26,1.33,-1.33,0.71,-1.22,2.12,-2.12,3.98,-4.11,0.61,-0.61,2.33,-2.23,-0.08,-0.08
19,Other Unusual Items,-,-4.29,4.29,-,18.39,-1.46,1.46,-,2.87,-1.09,1.09,-,11.33,1.03,-1.03,-,5.58,-3.1,1.55,1.55
20,Pretax Income,111,92.36,84.25,77.33,95.06,94.6,88.95,80.65,80.33,80.46,72.13,59.95,61.47,50.12,56.86,20.29,19.77,29.76,34.51,34.51
