,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,-,267.33,135.67,392.05,300.81,388.93,391.76,345.05,185.15,135.66,228.24,165.6,90.48,208.64,235.3,-,66.19,-,125.08,125.08
1,Short-Term Investments,-,30,30,30,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,-,903.52,941.45,1002,954.51,813.63,768.77,868.65,792.22,696.93,729.05,614.91,702.05,610.27,-,-,79.7,-,-,-
3,Cash & Short-Term Investments,1201,1201,1107,1424,1285,1203,1161,1214,977.37,832.59,957.29,780.51,792.53,818.91,235.3,145.89,145.89,-,125.08,125.08
4,Cash Growth,-6.57%,-0.14%,-4.60%,17.30%,31.51%,44.44%,21.23%,55.50%,23.32%,1.67%,306.83%,435.01%,443.24%,-,88.12%,16.64%,-,-,-,-
5,Accounts Receivable,-,1019,958.1,807.76,813.86,839.31,824.02,776.28,771.89,720.14,607.89,649.02,802.22,757.82,740.9,-,577.17,-,454.4,454.4
6,Other Receivables,-,6.78,6.49,7.81,6.36,7.27,7.66,6.04,6.99,4.37,4.3,2.98,2.68,2.24,2.36,-,2.12,-,1.95,1.95
7,Receivables,-,1026,964.58,815.57,820.22,846.59,831.68,782.32,778.88,724.51,612.19,652,804.91,760.06,743.26,-,579.29,-,456.35,456.35
8,Inventory,-,1023,1022,969.89,921.67,936.43,952.54,917.72,885.51,855.12,837.97,755.48,754.07,718.95,748.32,-,632.85,-,500.52,500.52
9,Prepaid Expenses,-,14.83,14.87,15.71,18.9,-,-,-,23.95,-,-,-,-,-,-,-,-,-,-,-
