,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,114590,129234,108395,86302,74694,73006,73150,69162,76966,71162,56753,68346,53613,72738,80722,100323,-,-,-,-,-
1,Market Cap Growth,77.02%,77.02%,48.18%,24.78%,-2.95%,2.59%,28.89%,1.19%,43.56%,-2.17%,-29.69%,-31.87%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,110320,126703,105104,81463,71702,70014,70243,67934,75064,69260,54642,66311,52093,70738,77657,99274,-,-,-,-,-
3,Last Close Price,220.36,248.52,206.62,164.51,140.81,137.62,137.90,130.38,143.29,132.49,105.66,127.24,98.72,133.93,148.63,183.34,-,-,-,-,-
4,PE Ratio,34.45,38.85,35.06,32.42,33.85,35.79,37.89,38.55,48.31,49.40,41.66,53.74,44.84,60.97,73.11,95.86,-,-,-,-,-
5,Forward PE,26.26,34.76,32.42,30.83,31.10,30.75,33.29,34.28,40.17,42.41,36.32,45.89,35.67,52.75,62.04,83.55,-,-,-,-,-
6,PS Ratio,7.23,8.16,7.14,6.31,6.10,6.48,6.97,7.15,8.56,8.37,7.04,9.01,7.37,10.42,12.47,16.26,-,-,-,-,-
7,PB Ratio,14.91,16.80,15.43,12.22,10.69,11.54,12.24,12.73,13.86,14.05,11.81,15.56,13.46,17.16,19.97,23.22,-,-,-,-,-
8,P/TBV Ratio,18.62,18.62,16.73,13.11,11.48,12.50,13.00,13.61,14.80,15.12,12.77,16.96,14.78,18.58,21.18,24.54,-,-,-,-,-
9,P/FCF Ratio,27.94,31.51,36.20,26.75,30.41,30.89,40.36,39.62,46.47,57.70,48.32,81.02,44.45,49.61,58.04,68.49,-,-,-,-,-
