,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,5653,6128,7975,7054,6058,5458,3272,2041,2158,941.2,1180,1696,1019,1392,2531,996.45,1225,-,-,-
1,Short-Term Investments,374.09,182.12,274.62,208.28,419.74,678.59,1268,-,2364,1643,2412,1491,986.25,863.94,331.03,80,80,-,-,-
2,Trading Asset Securities,4897,3143,1137,1370,1239,1368,2394,2762,2037,1929,859.38,401.63,301.26,208.07,638.8,420,50,-,-,-
3,Cash & Short-Term Investments,10924,9454,9387,8632,7716,7505,6933,4803,6559,4513,4452,3589,2307,2464,3500,1496,1355,-,-,945.1
4,Cash Growth,41.57%,25.97%,35.39%,79.73%,17.64%,66.30%,55.75%,33.83%,184.36%,83.16%,27.17%,139.81%,70.25%,-,-,58.34%,-,-,-,-
5,Accounts Receivable,81.31,119.17,92.96,78.19,66.36,75.21,58.99,36.3,24.75,35.08,35.27,30.53,24.57,25.3,28.08,22.37,12.85,-,-,-
6,Other Receivables,28.43,68.2,38.18,19.61,22.27,28.95,31.09,34.75,16.02,23.83,15.66,76.73,18.48,64.5,17.69,17.19,15.33,-,-,-
7,Receivables,109.74,187.36,131.14,97.81,88.63,104.16,90.09,71.05,40.77,58.91,50.93,107.26,43.06,89.8,45.76,39.55,28.18,-,-,-
8,Inventory,1068,391.1,456.88,448,568.6,265.85,362.37,342.72,394.22,318.88,392.42,381.38,340.04,229.63,274.29,241.69,272.7,-,-,-
9,Prepaid Expenses,-,-,3.59,-,-,-,-,-,-,-,-,-,-,-,-,7.82,7.75,-,-,-
10,Other Current Assets,603.96,682.23,303.82,286.44,395.34,930.19,454.95,2354,252.16,896.22,248.95,242.35,161.82,159.31,158.27,207.71,295.49,-,-,-
11,Total Current Assets,12706,10715,10283,9464,8769,8805,7841,7571,7246,5787,5144,4320,2852,2943,3979,1993,1959,-,-,-
12,"Property, Plant & Equipment",4311,3963,3780,3544,3399,3253,3131,2936,2853,2574,2405,2262,2199,2058,2026,2001,1861,-,-,-
13,Long-Term Investments,4049,4055,3579,1776,1563,1684,1694,1479,999.68,1267,1310,1579,2076,450,596.38,200,100,-,-,-
14,Other Intangible Assets,746.12,545.05,480.5,481.56,484.84,349.27,351.63,354.25,357.35,359.95,363.61,356.47,322.57,230.32,232.5,234.52,236.58,-,-,-
15,Long-Term Deferred Tax Assets,459.84,466.64,448.42,399.62,359.18,461.78,426.47,354.52,321.46,346.1,289.64,276.98,179.67,216.74,213.56,172.89,133.6,-,-,-
16,Long-Term Deferred Charges,55.32,30.84,31.42,31.64,32.55,32.16,30.13,30.74,28.07,29.55,26.45,24.47,23.6,23.25,24,24.02,24.81,-,-,-
17,Other Long-Term Assets,350.07,134.31,45.38,119.17,102.78,44.95,44.31,103.27,64.65,119.43,109.69,136.61,137.91,757.43,25.75,35.6,46.67,-,-,-
18,Total Assets,22676,19910,18647,15816,14710,14630,13518,12828,11870,10483,9648,8956,7790,6679,7097,4661,4361,-,-,-
19,Accounts Payable,1265,1066,1094,750.54,915.36,630.13,739.39,641.33,626.2,523.37,568.69,530.69,554.39,398.51,545.36,319.88,297.98,-,-,-
20,Accrued Expenses,1076,336.45,928.71,168.33,751.47,225.55,708.9,133.39,778.81,160.99,516.22,90.86,494.47,156.89,547.19,388.92,129.46,-,-,-
21,Short-Term Debt,6551,6822,5691,3367,2996,4337,3913,3460,3207,2480,2200,1402,623.5,290,-,-,110,-,-,-
22,Current Portion of Long-Term Debt,-,13.98,0.21,32.92,20.18,13.53,-,31.97,25.83,42.54,30.4,42.51,30.35,43.95,311.22,50.08,61.97,-,-,-
23,Current Portion of Leases,13.04,-,14.2,-,13.58,-,13.59,-,13.5,-,11.22,-,11.9,-,5.6,7.57,-,-,-,-
24,Current Income Taxes Payable,270.79,433.72,357.22,351.26,170.87,341.35,262.38,420.01,5.33,333.35,216.16,329.8,101.84,208.3,168.96,171.52,91.74,-,-,-
25,Current Unearned Revenue,4761,2380,2501,2688,2607,1916,1851,1686,1627,1344,1269,1202,1241,866.24,810.72,794.26,950.34,-,-,-
26,Other Current Liabilities,908.25,1709,572.13,1044,572.95,1003,470.34,805.39,422.26,694.47,325.03,1251,357.27,527.14,253.39,268.11,488.51,-,-,-
27,Total Current Liabilities,14845,12762,11158,8401,8047,8467,7959,7178,6706,5579,5136,4848,3415,2491,2642,2000,2130,-,-,-
28,Long-Term Debt,-,-,300,300,220,86.01,20.01,-,-,3.06,10.65,18.24,25.83,33.41,41,314.89,301.73,-,-,-
29,Long-Term Leases,85.45,86.6,91.63,92.93,95.39,75.86,79.82,82.52,85.24,85.24,88.61,91.19,94.32,96.66,77.33,75.09,-,-,-,-
30,Long-Term Unearned Revenue,50.95,34.37,30.39,24.01,19.96,19.14,18.03,13.14,13.66,11.47,12.02,12.57,13.12,13.67,14.22,14.77,15.32,-,-,-
31,Long-Term Deferred Tax Liabilities,3.27,4.17,2.12,10.06,3.61,5.84,6.79,0.72,0.75,0.96,7.15,2.9,4.02,2.76,0.93,0.96,0.99,-,-,-
32,Total Liabilities,14985,12887,11582,8828,8386,8654,8084,7275,6805,5679,5255,4973,3552,2638,2776,2406,2448,-,-,-
33,Common Stock,520.01,520.01,400.01,400.01,400.01,400.01,400.01,400.01,400.01,400.01,400.01,400.01,400.01,400.01,400.01,360,360,-,-,-
34,Additional Paid-In Capital,1960,1960,2080,2080,2080,2080,2080,2080,2080,2080,2080,2080,2080,2080,2080,388.48,388.48,-,-,-
35,Retained Earnings,5165,4546,4569,4502,3838,3454,2907,3096,2599,2323,1912,1502,1758,1561,1841,1507,1165,-,-,-
36,Comprehensive Income & Other,42.45,-3.17,15.62,5.59,5.07,41.4,47.63,-22.86,-14.34,0.01,-,-,-,-,-,-,-,-,-,-
37,Total Common Equity,7688,7023,7065,6988,6324,5976,5435,5553,5065,4804,4393,3983,4238,4041,4321,2255,1913,-,-,1635
38,Minority Interest,3.78,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
39,Shareholders' Equity,7692,7023,7065,6988,6324,5976,5435,5553,5065,4804,4393,3983,4238,4041,4321,2255,1913,-,-,1635
40,Total Liabilities & Equity,22676,19910,18647,15816,14710,14630,13518,12828,11870,10483,9648,8956,7790,6679,7097,4661,4361,-,-,-
41,Total Debt,6650,6923,6097,3793,3345,4513,4026,3575,3331,2611,2341,1553,785.89,464.03,435.16,447.63,473.7,-,-,247.91
42,Net Cash (Debt),4274,2531,3291,4840,4371,2992,2907,1228,3228,1902,2111,2035,1521,2000,3065,1049,881.15,-,-,697.18
43,Net Cash Growth,-2.22%,-15.41%,13.20%,294.11%,35.42%,57.30%,37.70%,-39.66%,112.26%,-4.89%,-31.13%,94.05%,72.58%,-,-,50.44%,-,-,-,-
44,Net Cash Per Share,8.22,4.87,6.33,9.31,8.41,5.75,5.59,2.36,6.21,3.66,4.06,3.91,2.92,3.85,6.32,2.24,1.87,-,-,1.49
45,Filing Date Shares Outstanding,520.01,520.01,520.01,520.01,520.01,520.01,520.01,520.01,520.01,520.01,520.01,520.01,520.01,520.01,520.01,468,468,464.93,467.96,468
