,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,3263,4697,4379,3482,2610,3186,2964,2491,1847,2360,2278,2007,1404,1888,1961,1711,908.89,1568,1530,929.7
1,Other Revenue,17.09,-11.65,11.65,-,12.31,-5.21,5.21,-,14.06,-7.01,7.01,-,13.98,-9.78,9.78,-,6.02,6.57,6.73,3.52
2,Revenue,3281,4685,4391,3482,2622,3181,2969,2491,1861,2353,2285,2007,1418,1878,1971,1711,914.91,1574,1536,933.22
3,Revenue Growth (YoY),25.12%,47.29%,47.88%,39.80%,40.88%,35.17%,29.96%,24.14%,31.28%,25.30%,15.92%,17.26%,54.95%,19.30%,28.30%,83.37%,-,-,-,-
4,Cost of Revenue,1854,2532,2376,1993,1452,1856,1704,1407,1044,1407,1323,1140,871.98,1057,1040,919.09,638.76,825.68,850.24,475.08
5,Gross Profit,1426,2153,2016,1489,1170,1324,1265,1084,816.93,946,961.41,866.56,545.63,820.52,931,792.17,276.14,748.45,686,458.14
6,"Selling, General & Admin",725.18,956.71,712.92,698.63,637.88,656.35,551.3,471.6,411.39,454.37,422.18,407.84,373.2,415.36,490.03,334.52,139.92,404.82,295.78,241.8
7,Research & Development,12.63,20.42,18.55,11.07,11.25,17.71,15.06,10.37,6.99,16.28,11.43,9.05,13.23,9.11,10.74,9.72,8.6,11.63,10.7,4.61
8,Other Operating Expenses,47.57,23.32,42.37,33.8,46.54,18.27,32.51,16.49,78.24,-25.69,22.21,16.36,27.54,15.24,16.01,15.33,27,6.55,10.02,6.79
9,Operating Expenses,783.17,1002,774.65,744.12,695.77,692.61,599.14,500.02,496.35,444.68,456.16,433.46,413.92,439.57,517.03,360.11,174.36,422.53,317.62,253.05
10,Operating Income,643.32,1151,1241,745.23,474.32,631.8,666.14,584.2,320.58,501.32,505.24,433.1,131.71,380.95,413.97,432.06,101.78,325.92,368.39,205.09
11,Interest Expense,-29.43,-31.15,-23.59,-18.7,-21.12,-20.69,-19.31,-18.97,-15.57,-15.21,-13.9,-8,-5.7,-1.91,-4.27,-3.56,-5.15,-1.35,-3.31,-1.42
12,Interest & Investment Income,82.09,100.62,104.04,68.92,68.39,83.62,74.99,37.05,32.95,35.11,13.76,8.01,13.87,16.71,11.29,9.91,11.76,8.52,10.38,5.21
13,Currency Exchange Gain (Loss),44.72,-16.39,16.39,-,-40.87,-5.79,5.79,-,-0.78,-,-,-,-,-,-,-,-,-,-,-
14,Other Non Operating Income (Expenses),-13.33,8.44,-5.42,-1.53,-3.76,0.14,-7.07,7.4,13.59,-11.34,-7.16,-2.84,8.07,-6.79,-3.75,-0.76,19.32,-1.51,-18.13,-0.07
15,EBT Excluding Unusual Items,727.37,1212,1332,793.92,476.96,689.08,720.54,609.69,350.78,509.87,497.95,430.27,147.96,388.97,417.24,437.65,127.72,331.58,357.33,208.81
16,Gain (Loss) on Sale of Investments,3.17,15.25,-12.82,27.35,-33.46,-9.48,40.71,31.6,-32.14,12.05,23.84,9.04,98.26,12.19,6.21,-,-,-,-1.09,1.09
17,Gain (Loss) on Sale of Assets,-0.63,0.51,-0.52,-0.18,-0.57,0.37,-0.38,-,-2.69,-0.1,-0.14,0.04,-7.75,2.25,-1.88,0.65,-2.31,1.19,-1.19,-
18,Asset Writedown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.77,-0.77
19,Legal Settlements,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.04,-,-,-
20,Other Unusual Items,23.42,-15.87,-6.73,8.63,54.2,0,-0,-,37.23,-,-,-,11.76,-,-,-,6.38,-,11,-11
21,Pretax Income,753.34,1212,1312,829.72,497.13,679.97,760.87,641.29,353.18,521.82,521.65,439.36,250.24,403.41,421.57,438.3,131.83,332.78,366.82,198.12
22,Income Tax Expense,134.3,235.23,245.51,165.84,112.96,132.49,150,144.04,78.16,110.95,111.67,94.71,53.31,83.21,87.63,96.41,23.81,70.04,79.16,44.48
23,Earnings From Continuing Operations,619.04,976.8,1067,663.88,384.17,547.48,610.87,497.25,275.01,410.88,409.98,344.65,196.93,320.21,333.94,341.89,108.02,262.74,287.66,153.65
24,Minority Interest in Earnings,0.28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,Net Income,619.32,976.8,1067,663.88,384.17,547.48,610.87,497.25,275.01,410.88,409.98,344.65,196.93,320.21,333.94,341.89,108.02,262.74,287.66,153.65
26,Net Income to Common,619.32,976.8,1067,663.88,384.17,547.48,610.87,497.25,275.01,410.88,409.98,344.65,196.93,320.21,333.94,341.89,108.02,262.74,287.66,153.65
27,Net Income Growth,61.21%,78.42%,74.62%,33.51%,39.69%,33.25%,49.00%,44.28%,39.65%,28.32%,22.77%,0.81%,82.30%,21.87%,16.09%,122.52%,-,-,-,-
28,Shares Outstanding (Basic),520,520,520,520,520,520,520,520,520,520,520,520,520,520,485,468,471,465,468,468
29,Shares Outstanding (Diluted),520,520,520,520,520,520,520,520,520,520,520,520,520,520,485,468,471,465,468,468
30,Shares Change (YoY),-0.01%,0.01%,0.00%,-0.01%,0.01%,-0.01%,0.00%,0.01%,-0.02%,0.01%,7.14%,11.11%,10.40%,11.85%,3.71%,-,-,-,-,-
31,EPS (Basic),1.19,1.88,2.05,1.28,0.74,1.05,1.17,0.96,0.53,0.79,0.79,0.66,0.38,0.62,0.69,0.73,0.23,0.57,0.61,0.33
32,EPS (Diluted),1.19,1.88,2.05,1.28,0.74,1.05,1.17,0.96,0.53,0.79,0.79,0.66,0.38,0.62,0.69,0.73,0.23,0.57,0.61,0.33
33,EPS Growth,61.22%,78.40%,74.62%,33.52%,39.67%,33.26%,49.00%,44.27%,39.68%,28.31%,14.59%,-9.27%,65.13%,8.97%,12.39%,122.51%,-,-,-,-
34,Free Cash Flow,2073,261.4,1162,606.42,965.01,492.64,392.31,513.58,414.07,425.46,303.03,90.85,355.19,94.46,665.69,350.9,279.67,168.53,584.12,-337.32
35,Free Cash Flow Per Share,3.99,0.50,2.23,1.17,1.86,0.95,0.75,0.99,0.80,0.82,0.58,0.17,0.68,0.18,1.37,0.75,0.59,0.36,1.25,-0.72
36,Dividend Per Share,3.077,-,1.923,-,1.923,-,-,-,1.538,-,-,-,1.154,-,1.154,-,0.385,-,-,-
37,Dividend Growth,60.00%,-,-,-,25.00%,-,-,-,33.33%,-,-,-,200.03%,-,-,-,-,-,-,-
38,Gross Margin,43.48%,45.95%,45.90%,42.77%,44.63%,41.64%,42.61%,43.53%,43.90%,40.20%,42.08%,43.19%,38.49%,43.69%,47.23%,46.29%,30.18%,47.55%,44.65%,49.09%
39,Operating Margin,19.61%,24.56%,28.26%,21.40%,18.09%,19.86%,22.43%,23.45%,17.23%,21.30%,22.11%,21.58%,9.29%,20.29%,21.00%,25.25%,11.13%,20.70%,23.98%,21.98%
40,Profit Margin,18.88%,20.85%,24.29%,19.07%,14.65%,17.21%,20.57%,19.96%,14.78%,17.46%,17.94%,17.18%,13.89%,17.05%,16.94%,19.98%,11.81%,16.69%,18.72%,16.46%
41,Free Cash Flow Margin,63.18%,5.58%,26.45%,17.42%,36.81%,15.49%,13.21%,20.62%,22.25%,18.08%,13.26%,4.53%,25.06%,5.03%,33.77%,20.51%,30.57%,10.71%,38.02%,-36.15%
42,EBITDA,727.22,1213,1321,807.65,536.74,686.92,725.94,639.33,375.7,546.83,558.24,478.61,177.22,425.24,458.25,470.86,134.68,355.79,398.26,234.67
43,EBITDA Margin,22.17%,25.89%,30.09%,23.19%,20.47%,21.60%,24.45%,25.67%,20.19%,23.24%,24.43%,23.85%,12.50%,22.64%,23.25%,27.52%,14.72%,22.60%,25.92%,25.15%
44,D&A For EBITDA,83.9,62.42,80.32,62.42,62.42,55.12,59.8,55.12,55.12,45.51,53,45.51,45.51,44.29,44.29,38.79,32.9,29.87,29.87,29.59
45,EBIT,643.32,1151,1241,745.23,474.32,631.8,666.14,584.2,320.58,501.32,505.24,433.1,131.71,380.95,413.97,432.06,101.78,325.92,368.39,205.09
46,EBIT Margin,19.61%,24.56%,28.26%,21.40%,18.09%,19.86%,22.43%,23.45%,17.23%,21.30%,22.11%,21.58%,9.29%,20.29%,21.00%,25.25%,11.13%,20.70%,23.98%,21.98%
47,Effective Tax Rate,17.83%,19.41%,18.71%,19.99%,22.72%,19.48%,19.71%,22.46%,22.13%,21.26%,21.41%,21.56%,21.30%,20.63%,20.79%,22.00%,18.06%,21.05%,21.58%,22.45%
