,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,25.94,33.66,11.98,7.57,14.71,12.25,9.65,8.65,13.82,26.54
1,Revenue Growth (YoY),116.45%,344.50%,-18.52%,-38.18%,52.46%,41.63%,-30.21%,-67.41%,-45.50%,3.97%
2,Cost of Revenue,18.52,26.68,6.93,2.49,9.68,7.38,6.79,4.29,9.33,19.82
3,Gross Profit,7.42,6.98,5.05,5.09,5.03,4.87,2.85,4.36,4.49,6.72
4,"Selling, General & Admin",13.89,11.15,4.81,6.21,4.05,4.87,3.84,5.47,5.15,7.24
5,Operating Expenses,13.89,11.81,4.81,6.07,4.05,5.32,3.84,5.56,5.15,7.24
6,Operating Income,-6.47,-4.83,0.24,-0.98,0.98,-0.44,-0.99,-1.19,-0.66,-0.51
7,Interest Expense,-0.35,-0.17,-0.05,-0.06,-0.03,-0.07,-0.06,-0.16,-0.16,-0.14
8,Interest & Investment Income,0.06,0.3,0.06,0.28,0.16,0.1,0.07,0.03,0,0.01
9,Currency Exchange Gain (Loss),0.45,-0.7,0.06,-0.35,0.47,-0.12,0.3,-0.94,0.69,-0.02
10,Other Non Operating Income (Expenses),0.24,2.18,0.44,0.45,0.1,0.06,0.13,0.31,0.31,-0.1
11,EBT Excluding Unusual Items,-6.07,-3.23,0.76,-0.66,1.69,-0.47,-0.55,-1.95,0.19,-0.77
12,Gain (Loss) on Sale of Investments,0.04,-0.65,-0.37,-0.46,-0.43,-1.01,0.2,0.45,-0,0.01
13,Gain (Loss) on Sale of Assets,-,-0.02,-,-0.03,0.18,0,0.28,0.14,-,0
14,Asset Writedown,-,-,-,-0,0,-0.08,-,0.04,-,-0.07
15,Other Unusual Items,0.04,0.06,0.13,0.17,0.15,0.67,0.82,1.3,1.05,0.02
16,Pretax Income,-5.94,-3.81,0.59,-0.85,1.63,-0.84,0.78,0.04,1.38,-0.75
17,Income Tax Expense,0.01,0.89,0.01,0.37,0.3,0.4,0.04,-0.07,0.24,0.63
18,Earnings From Continuing Operations,-5.95,-4.7,0.59,-1.22,1.33,-1.23,0.74,0.12,1.15,-1.38
19,Minority Interest in Earnings,-0.09,0.62,0.35,0.28,0.07,0.25,-,-,-,-
20,Net Income,-6.04,-4.08,0.94,-0.93,1.4,-0.98,0.74,0.12,1.15,-1.38
21,Net Income to Common,-6.04,-4.08,0.94,-0.93,1.4,-0.98,0.74,0.12,1.15,-1.38
22,Net Income Growth,-,-,-32.96%,-,90.23%,-,-35.79%,-,65.52%,-
23,Shares Outstanding (Basic),5170,5023,4920,4920,4920,4920,4920,4920,4920,4920
24,Shares Outstanding (Diluted),5170,5023,4920,4920,4920,4920,4920,4920,4920,4920
25,Shares Change (YoY),5.08%,2.09%,-,-,-,-,-,-,-,-
26,EPS (Basic),-0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,-0.00
27,EPS (Diluted),-0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,-0.00
28,EPS Growth,-,-,-32.75%,-,90.60%,-,-36.05%,-,66.43%,-
29,Free Cash Flow,0.59,-2.16,-0.99,1.54,1.52,0.32,2.41,0.87,6.38,2.59
30,Free Cash Flow Per Share,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
31,Operating Margin,-24.93%,-14.36%,2.01%,-12.95%,6.67%,-3.62%,-10.27%,-13.81%,-4.75%,-1.94%
32,Profit Margin,-23.30%,-12.12%,7.84%,-12.34%,9.53%,-8.03%,7.64%,1.33%,8.30%,-5.20%
33,Free Cash Flow Margin,2.29%,-6.41%,-8.25%,20.32%,10.36%,2.62%,25.00%,10.04%,46.14%,9.74%
34,EBITDA,-5.31,-3.26,1.94,0.81,2.76,1.42,0.9,1.5,0.65,1.56
35,D&A For EBITDA,1.16,1.57,1.7,1.79,1.78,1.87,1.89,2.69,1.31,2.07
36,EBIT,-6.47,-4.83,0.24,-0.98,0.98,-0.44,-0.99,-1.19,-0.66,-0.51
37,Revenue as Reported,-,-,-,-,-,-,-,22.47,-,-
