,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,13.17,20.2,12.94,15.39,14.26,16.26,20.09,18.6,26.69,21.66
1,Short-Term Investments,-,3.34,0.93,3.08,-,0.92,-,0.22,-,0.38
2,Trading Asset Securities,4.5,6.56,7.26,7.59,8.39,8.74,5.77,7.14,0.08,0.08
3,Cash & Short-Term Investments,17.68,30.1,21.13,26.06,22.65,25.91,25.86,25.95,26.77,22.12
4,Cash Growth,-16.35%,15.51%,-6.69%,0.55%,-12.42%,-0.16%,-3.40%,17.34%,26.43%,13.71%
5,Accounts Receivable,7.66,5.53,8.62,2.21,5.74,1.46,1.64,2.28,1.52,6.44
6,Other Receivables,9.08,1.96,7.07,1.3,8.33,0.94,3.48,3.7,1.72,0.84
7,Receivables,16.74,7.61,15.7,3.51,14.07,2.44,5.12,6.01,3.23,7.28
8,Inventory,2.73,2.1,2.51,0.96,0.9,0.87,0.07,-,-,-
9,Prepaid Expenses,-,0.98,-,0.19,-,0.15,-,0.15,-,0.37
10,Other Current Assets,-,1.9,-,2.59,-,1.34,-,0.33,-,0.32
11,Total Current Assets,37.15,42.68,39.34,33.3,37.62,30.71,31.04,32.45,30,30.09
12,"Property, Plant & Equipment",6.05,6.43,5.04,5.73,0.87,1.83,2.01,4.29,5.39,6.95
13,Long-Term Investments,0.56,0.56,-,-,-,-,-,-,-,-
14,Long-Term Deferred Tax Assets,0.04,0.04,0.16,0.16,0.19,0.19,0.21,0.21,0.17,0.17
15,Other Long-Term Assets,21.06,12.51,2.46,1.08,1.01,1.01,0.98,2.44,3.92,5.42
16,Total Assets,64.85,62.22,46.99,40.27,39.72,33.77,34.27,39.41,39.48,42.64
17,Accounts Payable,7,5.46,8.73,0.48,5.82,0.26,0.25,1.26,0.75,0.62
18,Accrued Expenses,3.21,4.57,3.49,4.52,2,4.53,3.58,4.24,3.16,5.19
19,Short-Term Debt,7.47,4.72,0.93,0.97,-,-,-,-,-,-
20,Current Portion of Leases,0.78,1.89,3.1,1.8,1.42,1.61,1.75,4.8,5.24,5.09
21,Current Income Taxes Payable,0.52,0.89,0.39,0.7,0.52,0.43,0.16,0.35,0.61,0.38
22,Current Unearned Revenue,1.9,0.53,0.96,2.09,0.6,1.2,0.66,1.24,0.5,0.66
23,Other Current Liabilities,3.23,3.19,2.65,3.45,3.05,1.43,1.19,1.28,1.45,1.41
24,Total Current Liabilities,24.1,21.25,20.25,14,13.41,9.47,7.59,13.17,11.7,13.35
25,Long-Term Debt,-,-,0.93,0.97,-,-,-,-,-,-
26,Long-Term Leases,3.05,3.48,0.37,0.71,0.1,0.25,0.39,0.71,2.34,5
27,Long-Term Deferred Tax Liabilities,-,-,-,-,0.03,0.03,0.05,0.05,0.09,0.09
28,Total Liabilities,27.15,24.73,21.55,15.68,13.54,9.75,8.02,13.92,14.13,18.44
29,Common Stock,2.25,2.25,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14
30,Additional Paid-In Capital,32.32,32.32,14.96,14.96,14.96,14.96,14.96,14.96,14.96,14.96
31,Retained Earnings,-4.37,1.68,7.06,6.12,8.2,5.65,7.75,7.01,6.9,5.75
32,Comprehensive Income & Other,7.39,1.23,1.01,1.15,1.2,1.52,1.39,1.37,1.35,1.35
33,Total Common Equity,37.59,37.47,25.17,24.37,26.5,24.28,26.25,25.49,25.35,24.2
34,Minority Interest,0.11,0.02,0.27,0.22,-0.32,-0.25,-,-,-,-
35,Shareholders' Equity,37.7,37.49,25.44,24.59,26.18,24.02,26.25,25.49,25.35,24.2
36,Total Liabilities & Equity,64.85,62.22,46.99,40.27,39.72,33.77,34.27,39.41,39.48,42.64
37,Total Debt,11.3,10.08,5.34,4.45,1.52,1.87,2.13,5.5,7.57,10.09
38,Net Cash (Debt),6.38,20.01,15.79,21.61,21.13,24.04,23.73,20.45,19.2,12.03
39,Net Cash Growth,-59.64%,-7.37%,-25.24%,-10.14%,-10.96%,17.57%,23.60%,70.02%,116.73%,-37.06%
40,Net Cash Per Share,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
41,Filing Date Shares Outstanding,5170,5170,4920,4920,4920,4920,4920,4920,4920,4920
42,Total Common Shares Outstanding,5170,5170,4920,4920,4920,4920,4920,4920,4920,4920
43,Working Capital,13.05,21.43,19.09,19.3,24.2,21.24,23.45,19.28,18.3,16.73
44,Book Value Per Share,0.01,0.01,0.01,0.00,0.01,0.00,0.01,0.01,0.01,0.00
45,Tangible Book Value,37.59,37.47,25.17,24.37,26.5,24.28,26.25,25.49,25.35,24.2
46,Tangible Book Value Per Share,0.01,0.01,0.01,0.00,0.01,0.00,0.01,0.01,0.01,0.00
47,Buildings,-,4.17,-,4.17,-,4.17,-,4.17,-,-
48,Machinery,-,1.83,-,4.6,-,2.08,-,2.44,-,3
49,Construction In Progress,-,1.64,-,0.99,-,0.25,-,-,-,-
50,Leasehold Improvements,-,1.93,-,1.96,-,1.7,-,2.27,-,2.27
