,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,7083,6488,3076,1870,2681,2448,3444,2706,1697,1722,2202
1,Market Cap Growth,247.04%,247.04%,14.72%,-23.62%,-22.14%,-9.55%,102.90%,57.14%,-22.91%,-19.54%,-8.67%
2,Enterprise Value,7047,6370,2986,1745,2560,2317,3307,2586,1591,1652,2151
3,Last Close Price,1.37,1.25,0.59,0.38,0.55,0.50,0.70,0.55,0.34,0.35,0.45
4,PE Ratio,-,-,-,55060.91,-,1036.00,-,549.88,229.10,-1338.64,-
5,PS Ratio,20.34,18.90,11.39,16.51,20.70,16.10,27.19,25.62,12.88,7.67,7.33
6,PB Ratio,32.71,29.88,13.86,12.69,18.75,16.57,24.79,17.86,11.35,12.22,15.71
7,P/TBV Ratio,29.97,29.97,13.87,12.83,18.92,16.37,24.53,17.86,11.35,12.22,15.71
8,P/FCF Ratio,-,-720.95,-,-,150.54,235.20,217.95,142.87,39.93,34.56,52.40
9,P/OCF Ratio,-,-5122.80,-,-,108.73,175.98,178.33,138.96,39.19,32.87,48.11
10,EV/Sales Ratio,20.53,18.56,11.05,15.41,19.76,15.23,26.11,24.48,12.07,7.36,7.16
11,EV/EBITDA Ratio,-,-,-,109.62,123.30,98.14,245.77,186.43,125.97,134.30,117.16
12,EV/EBIT Ratio,-,-,-,-407.37,-,763.39,-,-,-,-,-
13,EV/FCF Ratio,-782.73,-707.80,-,-,143.75,222.60,209.28,136.54,37.42,33.16,51.19
14,Debt / Equity Ratio,0.30,0.30,0.27,0.21,0.18,0.06,0.08,0.08,0.22,0.30,0.42
15,Debt / FCF Ratio,-,-7.23,-,-,1.45,0.82,0.68,0.65,0.76,0.84,1.39
16,Return on Capital Employed (ROCE),-,-,-,-2.77%,-,2.04%,-,-,-,-,-
17,Earnings Yield,-0.82%,-0.90%,-0.60%,0.00%,0.10%,0.10%,-0.04%,0.18%,0.44%,-0.07%,-0.18%
18,FCF Yield,-0.13%,-0.14%,-0.60%,0.17%,0.66%,0.43%,0.46%,0.70%,2.50%,2.89%,1.91%
19,Buyback Yield / Dilution,-3.58%,-5.08%,-2.09%,-,-,-,-,-,-,-,-
20,Total Shareholder Return,-3.58%,-5.08%,-2.09%,-,-,-,-,-,-,-,-
