,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Market Capitalization,168,177,253,347,304,-,-,-
1,Market Cap Growth,-48.85%,-48.85%,-16.67%,-,-,-,-,-
2,Enterprise Value,52,-269,-157,-132,-56,-,-,-
3,Last Close Price,1.26,1.33,1.90,2.48,2.18,-,-,-
4,PE Ratio,3.91,5.31,7.51,5.54,3.50,-,-,-
5,PS Ratio,0.52,0.27,0.25,0.34,0.43,-,-,-
6,PB Ratio,0.29,0.30,0.44,0.60,0.53,-,-,-
7,P/TBV Ratio,0.31,0.31,0.44,0.61,0.54,-,-,-
8,P/FCF Ratio,-,-,-21.28,-,-,-,-,-
9,P/OCF Ratio,-,-,-44.21,-,-,-,-,-
10,Debt / Equity Ratio,0.02,0.02,0.01,0.01,0.01,0.01,0.01,-
11,Debt / FCF Ratio,-,-,-0.25,-,-,0.07,-0.36,-
12,Return on Capital Employed (ROCE),7.91%,6.30%,7.06%,12.19%,17.36%,28.21%,31.27%,-
13,Earnings Yield,25.50%,18.83%,13.32%,18.07%,28.59%,-,-,-
14,FCF Yield,-18.16%,-16.76%,-4.70%,-28.23%,-3.75%,-,-,-
15,Buyback Yield / Dilution,-0.16%,-2.11%,0.19%,-32.18%,-32.63%,-0.33%,-,-
16,Total Shareholder Return,-0.16%,-2.11%,0.19%,-32.18%,-32.63%,-0.33%,-,-
