,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Operating Revenue,308.04,306.11,612.25,302.96,324.25,312.8,270
1,Other Revenue,0.51,0.9,15.01,0.42,0.11,-,-
2,Revenue,308.55,307.01,627.26,303.37,324.36,312.8,270
3,Revenue Growth (YoY),-50.81%,1.20%,93.38%,-3.01%,20.13%,-,-
4,Cost of Revenue,248.09,257.87,549.44,231.35,246.98,232.46,202.49
5,Gross Profit,60.46,49.14,77.82,72.03,77.39,80.34,67.51
6,"Selling, General & Admin",23.57,34.85,30.02,30.59,19.21,34.32,18.4
7,Research & Development,2.46,2.02,2.21,2.76,2.36,-,-
8,Other Operating Expenses,1.48,1.5,10.96,0.83,0.51,-2.67,-0.68
9,Operating Expenses,34.73,40.36,49.49,35.05,26.53,34.18,18.95
10,Operating Income,25.72,8.78,28.33,36.97,50.85,46.16,48.56
11,Interest Expense,-0.12,-0.06,-0.1,-,-0.15,-0.1,-2.6
12,Interest & Investment Income,3.12,3.26,3.69,3.05,2.01,1.69,4.15
13,Currency Exchange Gain (Loss),-0.03,-0.07,-0.68,9.31,-,-,-
14,Other Non Operating Income (Expenses),-0.76,-0.62,-0.71,-0.35,-0.47,-,-
15,EBT Excluding Unusual Items,27.94,11.28,30.53,48.98,52.25,47.76,50.1
16,Gain (Loss) on Sale of Investments,-0.38,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,-,-,-,-,-,-0.04,-0.02
18,Asset Writedown,-0.01,-0.14,-,-0.03,-,-,-
19,Other Unusual Items,1.35,0.8,-0.1,-0,-0.02,-,-
20,Pretax Income,28.9,11.95,30.43,48.95,52.22,47.72,50.09
21,Income Tax Expense,6.97,2.48,8.43,11.33,11.41,9.69,11.1
22,Earnings From Continuing Operations,21.93,9.46,22,37.62,40.81,38.03,38.99
23,Minority Interest in Earnings,-0.26,-0.05,-0.78,-0.87,-0.68,-0.28,-0.92
24,Net Income,21.67,9.42,21.22,36.74,40.13,37.75,38.07
25,Net Income to Common,21.67,9.42,21.22,36.74,40.13,37.75,38.07
26,Net Income Growth,2.11%,-74.37%,-47.13%,-2.65%,5.43%,-,-
27,Shares Outstanding (Basic),135,132,133,133,100,100,100
28,Shares Outstanding (Diluted),135,132,133,133,100,100,100
29,Shares Change (YoY),2.11%,-0.19%,32.18%,32.63%,0.33%,-,-
30,EPS (Basic),0.16,0.07,0.16,0.28,0.40,0.38,0.38
31,EPS (Diluted),0.16,0.07,0.16,0.28,0.40,0.38,0.38
32,EPS Growth,0%,-74.32%,-60.00%,-26.60%,5.08%,-,-
33,Free Cash Flow,-54.5,26.83,-37.64,-52.92,42.85,19.45,-29.89
34,Free Cash Flow Per Share,-0.40,0.20,-0.28,-0.40,0.43,0.19,-0.30
35,Operating Margin,8.34%,2.86%,4.52%,12.19%,15.68%,14.76%,17.98%
36,Profit Margin,7.02%,3.07%,3.38%,12.11%,12.37%,12.07%,14.10%
37,Free Cash Flow Margin,-17.66%,8.74%,-6.00%,-17.45%,13.21%,6.22%,-11.07%
38,EBITDA,29.66,11.01,32.24,41.51,51.86,48.42,50.44
39,D&A For EBITDA,3.94,2.23,3.91,4.54,1,2.26,1.88
40,EBIT,25.72,8.78,28.33,36.97,50.85,46.16,48.56
41,Revenue as Reported,308.55,-,627.26,-,324.36,-,-
42,Advertising Expenses,-,-,3.36,-,-,-,-
